fecha,H1Q1,H1Q2,H1Q3,H1Q4,H2Q1,H2Q2,H2Q3,H2Q4,H3Q1,H3Q2,H3Q3,H3Q4,H4Q1,H4Q2,H4Q3,H4Q4,H5Q1,H5Q2,H5Q3,H5Q4,H6Q1,H6Q2,H6Q3,H6Q4,H7Q1,H7Q2,H7Q3,H7Q4,H8Q1,H8Q2,H8Q3,H8Q4,H9Q1,H9Q2,H9Q3,H9Q4,H10Q1,H10Q2,H10Q3,H10Q4,H11Q1,H11Q2,H11Q3,H11Q4,H12Q1,H12Q2,H12Q3,H12Q4,H13Q1,H13Q2,H13Q3,H13Q4,H14Q1,H14Q2,H14Q3,H14Q4,H15Q1,H15Q2,H15Q3,H15Q4,H16Q1,H16Q2,H16Q3,H16Q4,H17Q1,H17Q2,H17Q3,H17Q4,H18Q1,H18Q2,H18Q3,H18Q4,H19Q1,H19Q2,H19Q3,H19Q4,H20Q1,H20Q2,H20Q3,H20Q4,H21Q1,H21Q2,H21Q3,H21Q4,H22Q1,H22Q2,H22Q3,H22Q4,H23Q1,H23Q2,H23Q3,H23Q4,H24Q1,H24Q2,H24Q3,H24Q4
2025-04-01,88.5836,90.4341,86.6505,94.3318,77.9252,76.7536,75.3387,73.1025,69.5944,70.4568,69.6561,70.4126,60.2074,61.3573,61.1058,59.2495,61.5111,61.4848,61.7885,61.5756,67.3676,67.6515,68.9519,68.829,83.9806,81.917,83.4001,87.5024,157.5556,154.7793,155.0381,154.627,161.429,165.2932,157.1129,153.6449,90.3743,85.8323,88.2784,87.395,37.2192,39.1439,38.7408,37.2962,5.3197,5.1087,5.2717,5.0999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0098,-0.0103,-0.0101,-0.0098,-0.071,-0.0731,-0.0689,-0.067,-0.0105,-0.0107,-0.0103,-0.0085,-0.0102,-0.0099,-0.0102,-0.0098,17.7422,17.8923,17.7963,18.1692,54.0158,55.1116,53.1165,52.5961,112.7165,112.677,112.7552,121.6913,117.5178,118.742,124.0987,123.3615,83.2068,84.6341,82.1755,86.7837,58.6386,56.4404,57.629,61.052
2025-04-02,39.8677,37.6682,38.9733,35.9307,26.5808,26.2595,25.9987,26.521,26.7805,26.0076,26.9096,24.7023,19.7144,20.0229,20.1871,20.0756,20.1498,19.5125,19.7361,20.6015,26.237,25.8941,26.6992,26.5297,40.3417,38.3396,38.4562,42.3426,87.8005,90.2915,93.8185,88.4096,104.1009,105.4272,102.6931,107.3788,53.2043,52.2444,54.2992,57.5721,21.5545,20.9996,21.749,20.2968,1.004,0.9993,1.0104,0.9864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-0.0103,-0.0098,-0.0099,-0.0203,-0.0204,-0.0202,-0.0191,-0.0102,-0.0099,-0.0099,-0.01,0.0408,0.0406,0.0411,0.0375,7.9939,8.2227,7.9152,7.7082,32.2684,31.6441,32.2419,35.6856,53.9866,51.5765,52.6317,54.2452,51.3485,50.0709,51.0254,44.4753,32.303,31.3681,33.9646,34.1643,26.5372,27.3497,27.4188,27.8943
2025-04-03,19.9871,21.0125,21.0111,19.4694,19.2815,19.0588,19.1432,18.7966,15.9662,16.2422,16.2858,16.7859,12.0626,12.4802,11.9249,12.6123,8.9881,8.6704,9.1606,9.4609,12.1187,12.0893,12.6576,10.8945,20.0738,19.3323,20.7779,18.616,37.4149,38.7159,38.6806,37.6285,55.3476,57.9241,56.7309,55.3174,38.5477,37.5984,39.1159,37.178,28.4656,27.9476,29.7973,29.6294,3.4901,3.5231,3.658,3.4089,0.5115,0.5064,0.5108,0.4713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8993,1.88,1.8776,1.8231,4.8538,4.8562,5.0372,5.2528,10.0753,10.088,10.0935,9.9832,35.2892,35.0253,35.1106,34.5749,80.4108,81.501,79.1807,78.9075,80.2523,80.0119,79.1667,76.569,34.6789,35.2694,35.6202,34.4715,9.8852,10.1126,10.1131,10.2892
2025-04-04,3.5527,3.5557,3.49,3.8016,3.4432,3.4134,3.4769,3.7465,3.4808,3.4821,3.5463,3.5708,3.4969,3.4592,3.4597,3.6243,3.4412,3.5062,3.505,3.6276,3.6361,3.6297,3.6256,3.1886,3.6695,3.4354,3.5677,3.4075,35.5368,35.3349,36.5208,32.6075,36.8329,35.7025,35.4703,32.0343,18.412,18.4128,19.0956,19.3997,4.7229,4.6058,4.7183,4.8731,3.5454,3.5865,3.5124,3.4356,0.0,0.0,0.0,0.0,-0.0098,-0.0102,-0.0104,-0.0096,-0.0203,-0.0194,-0.02,-0.0202,-0.0097,-0.0096,-0.0101,-0.0106,0.0,0.0,0.0,0.0,0.0097,0.01,0.01,0.0102,0.659,0.6701,0.6456,0.6253,6.3594,6.2827,6.2377,6.3202,34.839,35.6892,34.2973,35.2145,51.1746,51.5199,50.0558,47.3297,35.1889,34.0353,36.7025,34.1133,21.3234,20.9822,20.934,20.4004
2025-04-05,35.3171,34.5471,35.1988,34.937,19.6045,20.1696,19.701,20.4049,19.4452,19.0541,19.2029,18.6978,20.5199,19.6536,19.4439,17.7427,13.2117,12.9285,13.4894,13.1704,16.9341,16.4211,16.9593,15.2855,19.7057,19.0619,19.4936,20.7387,19.8754,20.1888,20.5562,20.5796,21.065,21.4256,21.5457,21.8037,9.8545,9.8198,10.0175,10.3083,0.6716,0.6521,0.6502,0.6661,-0.1296,-0.1308,-0.1286,-0.131,-0.298,-0.2986,-0.2936,-0.3098,-0.9965,-0.9889,-1.0322,-0.9825,-0.9996,-1.0193,-1.0177,-1.0034,-1.1735,-1.1704,-1.1894,-1.2668,-1.0133,-0.9886,-0.987,-1.0111,0.0944,0.0992,0.1006,0.1058,10.0893,10.0862,9.9346,9.8898,46.2793,47.2703,46.364,46.0464,91.306,97.5805,93.5713,99.9822,98.2763,98.9051,97.0791,88.1795,80.4313,81.9802,77.2679,76.2806,69.0999,69.0795,67.433,69.3876
2025-04-06,73.3424,69.6365,69.4272,69.3938,46.4581,47.1729,45.6578,45.5512,34.5927,35.3648,34.0259,36.0567,26.5959,26.561,26.7764,28.1068,25.4275,26.4581,25.967,24.1474,25.5815,25.4553,26.0211,25.2221,26.7381,26.9868,27.2524,25.0627,28.2937,27.5981,28.8574,30.7308,26.2918,26.401,25.9375,26.3698,0.0995,0.1011,0.1012,0.0981,-1.0372,-0.9672,-0.9772,-1.0583,-1.5857,-1.5588,-1.5646,-1.4508,-1.5313,-1.5255,-1.5462,-1.5571,-0.9814,-0.9699,-0.978,-1.0707,-1.0023,-1.0128,-1.0336,-0.9513,-1.3299,-1.3325,-1.3653,-1.2523,-1.467,-1.4617,-1.4741,-1.5572,-0.01,-0.0104,-0.0099,-0.0097,8.4788,8.1823,8.3416,8.0374,35.6829,35.5772,35.7327,33.8071,73.9735,77.2163,76.486,72.3241,78.8848,80.8133,78.3012,82.0006,70.143,68.3893,71.0231,70.4846,70.4345,68.3617,67.3573,59.3665
2025-04-07,47.5044,48.7393,49.5296,47.7067,41.826,42.0085,40.5039,43.2616,42.5852,41.7478,45.0109,43.9361,39.9155,40.1173,39.38,38.7472,38.5959,39.8801,39.2373,41.2467,45.3321,46.2713,46.3216,46.955,69.8474,69.0228,68.7314,72.7984,159.8802,163.8167,154.8121,160.931,141.1722,142.5763,142.5866,145.8249,59.2929,62.3594,60.4817,57.866,17.0899,16.7861,17.3701,18.474,3.1004,3.0216,2.8738,3.0442,0.0097,0.01,0.0102,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5362,1.4757,1.5215,1.5066,19.9499,20.6033,19.7051,19.7417,67.5829,69.7948,67.9273,71.095,152.0136,158.8654,157.3486,155.7724,159.753,166.9071,166.2839,187.096,119.8749,121.8771,123.3128,108.2952,101.26,97.6753,97.6064,102.8183
2025-04-08,81.4334,83.8164,85.1274,81.6228,69.0982,72.6802,73.1448,72.2767,69.5079,73.6884,69.8134,63.2704,57.6875,58.3582,57.026,57.5283,50.1062,51.6543,52.4155,50.704,52.9108,54.1534,52.762,52.8138,62.5065,60.7605,61.15,57.583,133.1954,127.6705,130.6931,133.121,107.8996,104.0759,106.9587,97.0657,37.5379,35.5562,37.4055,37.0204,0.636,0.6534,0.6446,0.666,-0.01,-0.01,-0.01,-0.01,-0.8523,-0.8371,-0.8428,-0.9078,-1.0287,-1.0454,-1.0147,-0.9512,-1.0373,-1.0401,-0.9925,-1.01,-0.9729,-1.009,-0.9725,-1.0857,-0.9946,-0.9709,-0.9876,-1.047,-0.0099,-0.0101,-0.0099,-0.0102,0.0098,0.01,0.0106,0.0096,34.0136,32.3951,33.7416,34.5698,123.8054,117.9985,120.651,107.9451,126.2624,126.4602,126.1127,115.1247,86.4373,85.6337,85.4725,86.2565,69.3867,69.8137,67.4763,70.2033
2025-04-09,49.8496,50.0893,50.2383,50.3428,36.7715,37.6016,36.9231,36.7038,33.4281,32.8571,33.1604,35.2745,32.2076,32.1365,30.7791,33.1169,28.991,28.0629,27.9512,28.8349,29.5515,29.5803,28.4917,27.9764,36.7378,36.1052,37.6075,37.5496,88.5477,86.2002,89.4144,83.6777,100.031,97.9673,99.6376,95.2041,32.5837,33.5034,33.8499,34.783,5.7988,6.0427,5.8361,5.5223,-0.0101,-0.0097,-0.01,-0.0102,-0.0098,-0.0105,-0.0099,-0.0098,-0.02,-0.0205,-0.0203,-0.0192,-0.1944,-0.2026,-0.2029,-0.2001,-0.4982,-0.5047,-0.501,-0.4961,-0.0195,-0.0198,-0.02,-0.0208,0.0,0.0,0.0,0.0,9.8638,9.7372,10.0811,9.558,37.1019,37.2625,36.4393,37.1962,69.696,71.4114,71.049,67.8437,88.6676,89.0147,89.3549,88.9628,52.9538,53.7604,53.4107,55.7151,35.6385,36.7517,36.5348,37.6351
2025-04-10,32.7083,33.1487,33.6214,35.2416,26.8611,28.5649,28.6122,29.8018,21.7403,21.206,20.858,22.0357,20.3339,19.5353,20.2984,20.1523,18.1136,17.9921,18.4684,18.866,17.8563,17.4053,17.3744,17.204,14.5019,15.2514,15.0219,15.2248,34.8203,35.9382,33.9295,35.352,37.1234,37.5036,37.279,38.0939,29.0303,30.6937,30.4614,31.7346,11.2144,11.4476,10.9488,10.3492,0.655,0.6533,0.6522,0.6395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0101,-0.0096,-0.01,-0.0104,-0.0098,-0.0101,-0.0102,-0.0099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9361,5.0422,4.9446,5.0371,20.6043,20.2219,20.6502,19.7236,40.2884,39.7598,39.277,34.8348,51.9969,50.4494,50.0427,50.7909,42.5736,43.4699,44.595,42.5616,33.1923,33.9972,32.8503,34.6803
