fecha,H1Q1,H1Q2,H1Q3,H1Q4,H2Q1,H2Q2,H2Q3,H2Q4,H3Q1,H3Q2,H3Q3,H3Q4,H4Q1,H4Q2,H4Q3,H4Q4,H5Q1,H5Q2,H5Q3,H5Q4,H6Q1,H6Q2,H6Q3,H6Q4,H7Q1,H7Q2,H7Q3,H7Q4,H8Q1,H8Q2,H8Q3,H8Q4,H9Q1,H9Q2,H9Q3,H9Q4,H10Q1,H10Q2,H10Q3,H10Q4,H11Q1,H11Q2,H11Q3,H11Q4,H12Q1,H12Q2,H12Q3,H12Q4,H13Q1,H13Q2,H13Q3,H13Q4,H14Q1,H14Q2,H14Q3,H14Q4,H15Q1,H15Q2,H15Q3,H15Q4,H16Q1,H16Q2,H16Q3,H16Q4,H17Q1,H17Q2,H17Q3,H17Q4,H18Q1,H18Q2,H18Q3,H18Q4,H19Q1,H19Q2,H19Q3,H19Q4,H20Q1,H20Q2,H20Q3,H20Q4,H21Q1,H21Q2,H21Q3,H21Q4,H22Q1,H22Q2,H22Q3,H22Q4,H23Q1,H23Q2,H23Q3,H23Q4,H24Q1,H24Q2,H24Q3,H24Q4
2025-08-01,100.6113,102.713,98.4157,107.1399,96.116,94.6709,92.9256,90.1675,80.4962,81.4937,80.5675,81.4425,72.2229,73.6024,73.3007,71.074,63.898,63.8707,64.1862,63.965,72.7017,73.0081,74.4115,74.2788,82.9233,80.8857,82.3502,86.4008,101.9501,100.1536,100.3211,100.0551,101.2919,103.7166,98.5837,96.4077,66.8382,63.479,65.2881,64.6347,44.7509,47.0651,46.5804,44.8435,35.8874,34.4642,35.5636,34.4049,31.5409,31.5798,32.1945,32.1648,25.5033,25.1627,24.7472,24.8268,19.6822,20.5964,20.2491,19.5122,13.6247,14.0295,13.2126,12.8532,18.3349,18.5531,17.9931,14.7989,27.9282,27.1077,28.0218,26.8223,44.4051,44.7806,44.5405,45.4738,70.5192,71.9499,69.3452,68.6658,85.6355,85.6055,85.6649,92.4541,100.1132,101.1561,105.7194,105.0914,101.3107,103.0485,100.055,105.6658,95.7343,92.1454,94.0859,99.6744
2025-08-02,102.3108,96.6663,100.0154,92.2075,77.7847,76.8445,76.0812,77.6095,66.9717,65.0389,67.2947,61.7747,48.8523,49.6169,50.0236,49.7472,43.6546,42.2739,42.7583,44.6332,44.1167,43.5402,44.8941,44.609,51.6843,49.1193,49.2686,54.2478,48.5495,49.927,51.8772,48.8863,37.0456,37.5176,36.5447,38.2121,3.4471,3.3849,3.518,3.7301,1.0803,1.0525,1.09,1.0172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6636,0.6594,0.6683,0.6086,3.535,3.6362,3.5002,3.4087,14.8811,14.5932,14.8688,16.4569,75.7601,72.3781,73.8587,76.1231,103.9277,101.3419,103.2738,90.0167,97.6835,94.8564,102.7081,103.312,78.2507,80.6465,80.8503,82.2525
2025-08-03,78.8886,82.9358,82.9303,76.8453,70.0281,69.2192,69.5257,68.2671,42.0286,42.7551,42.8699,44.1863,36.7483,38.0203,36.3286,38.4228,29.749,28.6974,30.3198,31.3138,30.6519,30.5776,32.015,27.5555,32.6377,31.4322,33.7825,30.2675,25.8007,26.6978,26.6735,25.9479,6.0526,6.3343,6.2038,6.0493,0.0,0.0,0.0,0.0,-0.9928,-0.9747,-1.0392,-1.0333,-2.0822,-2.1018,-2.1823,-2.0337,-3.069,-3.0382,-3.0649,-2.8279,-4.9278,-5.0759,-5.1122,-4.8841,-4.0609,-3.9837,-3.7112,-4.2442,-5.0358,-4.9915,-4.9433,-4.9494,-1.5134,-1.4979,-1.4961,-1.4526,-0.0097,-0.0097,-0.0101,-0.0105,0.01,0.01,0.01,0.0099,27.3038,27.0995,27.1656,26.7511,78.6016,79.6672,77.3992,77.1321,97.6539,97.3613,96.3329,93.1719,96.4789,98.1217,99.0976,95.9017,83.2801,85.1958,85.2003,86.6838
2025-08-04,79.926,79.9931,78.516,85.5249,78.6456,77.9654,79.4146,85.5744,79.109,79.1386,80.5972,81.1552,80.099,79.2364,79.2476,83.0171,83.362,84.9361,84.9057,87.8762,88.0832,87.9269,87.828,77.2419,99.7323,93.3694,96.9664,92.6119,107.8593,107.2466,110.8458,98.9683,102.9027,99.7447,99.0961,89.4965,51.4031,51.4052,53.3114,54.1604,29.9547,29.2122,29.9257,30.9075,13.8494,14.0098,13.7204,13.4204,6.7237,6.7608,6.7834,6.772,3.9569,4.1181,4.2314,3.8937,3.5778,3.4195,3.5267,3.556,3.3979,3.3936,3.5667,3.7219,5.799,5.711,5.5533,6.0968,25.6897,26.4356,26.3668,26.9079,39.4809,40.1447,38.6767,37.4578,71.4369,70.5752,70.0707,70.9972,102.7457,105.2531,101.148,103.8531,171.8984,173.0583,168.1401,158.9831,139.5095,134.9357,145.51,135.2449,117.3144,115.4371,115.1722,112.2363
2025-08-05,141.9748,138.8793,141.4994,140.4466,105.9645,109.019,106.4858,110.2908,97.124,95.1706,95.9141,93.3912,101.22,96.9469,95.9123,87.5208,94.5839,92.5563,96.5716,94.2883,94.2216,91.3675,94.362,85.0489,101.1925,97.8866,100.1036,106.4973,103.9981,105.6384,107.5603,107.6832,78.5274,79.8717,80.3196,81.2813,29.6619,29.5575,30.1525,31.028,5.088,4.94,4.9254,5.0465,1.7151,1.73,1.7014,1.7334,0.7947,0.7963,0.7828,0.8262,0.847,0.8405,0.8773,0.8351,0.9897,1.0092,1.0076,0.9935,0.9877,0.9851,1.001,1.0662,1.7429,1.7004,1.6976,1.7391,0.6228,0.6548,0.6641,0.6983,3.0268,3.0259,2.9804,2.9669,46.1897,47.1788,46.2742,45.9573,79.6457,85.1188,81.6217,87.2138,105.4818,106.1566,104.1968,94.6447,100.1548,102.0834,96.2156,94.9862,83.5833,83.5586,81.567,83.9312
2025-08-06,84.2944,80.0351,79.7944,79.7561,75.664,76.8282,74.3607,74.1871,79.0464,80.8107,77.7512,82.3917,79.1672,79.0634,79.7046,83.6648,85.4764,88.9407,87.2898,81.173,97.3936,96.9135,99.0673,96.0256,94.8089,95.6905,96.6324,88.8682,102.3258,99.81,104.3645,111.1397,97.5048,97.91,96.191,97.7942,76.5928,77.8147,77.8985,75.4939,52.3758,48.8376,49.3458,53.4408,28.491,28.0086,28.1126,26.0678,28.2387,28.132,28.5137,28.7157,26.6935,26.3802,26.6025,29.1238,27.2635,27.5489,28.1133,25.8744,27.403,27.4583,28.134,25.8047,28.3561,28.2527,28.4918,30.0994,51.9,54.1473,51.6385,50.3142,82.4474,79.5643,81.1133,78.155,107.6773,107.3583,107.8276,102.0169,113.071,118.0277,116.9114,110.5498,167.6303,171.7283,166.3901,174.2513,150.295,146.5373,152.1808,151.0269,122.4805,118.876,117.1295,103.234
2025-08-07,114.8571,117.8428,119.7538,115.3463,108.4681,108.9413,105.0395,112.191,103.2189,101.1893,109.0983,106.4934,109.6516,110.2058,108.1805,106.4421,104.8518,108.3406,106.5944,112.0532,106.504,108.7104,108.8288,110.3168,114.2867,112.9375,112.4606,119.1152,119.2951,122.2323,115.5135,120.0791,117.6633,118.8335,118.8421,121.5411,79.4821,83.5928,81.0757,77.5694,49.0243,48.1529,49.8281,52.9947,27.1825,26.4919,25.1955,26.69,25.6732,26.455,26.9595,26.4723,28.5003,28.505,29.0365,27.6382,27.8921,26.8344,27.4393,26.6342,25.8895,25.8279,26.7024,27.1403,26.4366,27.2926,27.3715,27.6994,49.8209,47.8561,49.3444,48.8586,69.8246,72.1117,68.9678,69.0958,99.3008,102.5508,99.807,104.4613,112.4706,117.54,116.4178,115.2516,136.2613,142.3634,141.8318,159.5835,126.7834,128.9009,130.4194,114.5363,111.5645,107.615,107.5391,113.2813
2025-08-08,104.5291,107.5879,109.2708,104.7722,99.5092,104.6676,105.3367,104.0865,105.0618,111.3807,105.5236,95.6338,103.5873,104.7918,102.3994,103.3015,100.1635,103.2582,104.7799,101.3584,104.2291,106.6769,103.9359,104.0381,109.185,106.135,106.8154,100.5847,112.1656,107.513,110.0584,112.103,108.6466,104.7965,107.6992,97.7377,69.8747,66.1858,69.6281,68.9114,40.2444,41.3455,40.7895,42.1406,9.0039,8.9873,9.0438,8.965,4.9554,4.8667,4.9,5.2779,1.5277,1.5526,1.507,1.4126,1.5255,1.5296,1.4596,1.4853,0.7128,0.7392,0.7125,0.7954,10.433,10.1844,10.3599,10.9827,49.0279,50.2903,49.1299,50.632,67.0628,68.687,72.8154,65.9148,105.1007,100.0996,104.2602,106.8195,115.6991,110.2724,112.7513,100.8772,139.9428,140.162,139.7769,127.5983,116.6274,115.5433,115.3257,116.3836,109.2625,109.9349,106.2542,110.5484
2025-08-09,104.8403,105.3445,105.6577,105.8775,104.779,107.1442,105.211,104.5859,104.6413,102.8539,103.8035,110.4213,105.8952,105.6615,101.1984,108.8848,106.6739,103.2587,102.8479,106.0994,107.0809,107.1851,103.2406,101.3735,109.9155,108.0229,112.5175,112.3442,115.1854,112.1316,116.3128,108.8503,103.9625,101.8178,103.5537,98.946,41.6873,42.8641,43.3074,44.5011,0.8498,0.8856,0.8553,0.8093,0.0,0.0,0.0,0.0,-0.0098,-0.0105,-0.0099,-0.0098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-0.0101,-0.01,-0.0099,0.0,0.0,0.0,0.0,3.479,3.5582,3.5913,3.4516,28.7669,28.3975,29.4005,27.875,70.1828,70.4866,68.9294,70.3612,93.5917,95.8953,95.4087,91.1043,99.8856,100.2765,100.6598,100.2181,94.8379,96.2825,95.6563,99.7834,92.1892,95.0689,94.5078,97.3541
2025-08-10,101.6986,103.0681,104.5378,109.5755,80.6399,85.755,85.897,89.4681,80.0319,78.065,76.7837,81.1193,68.8599,66.1555,68.7397,68.2449,83.859,83.2966,85.5018,87.3425,92.5542,90.2164,90.0563,89.1731,93.2376,98.0566,96.5806,97.8852,89.5123,92.3862,87.2224,90.8791,49.3989,49.9048,49.6059,50.6903,0.0,0.0,0.0,0.0,-0.449,-0.4583,-0.4383,-0.4143,-0.9976,-0.995,-0.9934,-0.974,-0.9972,-1.0078,-1.0228,-0.9722,-0.6096,-0.644,-0.6263,-0.6001,-0.6036,-0.5736,-0.5999,-0.6229,-0.5884,-0.6069,-0.6116,-0.5931,-0.5116,-0.4983,-0.4993,-0.4908,1.7351,1.6493,1.7051,1.7904,26.2139,26.7775,26.2587,26.7499,81.7066,80.1901,81.8889,78.2144,102.4563,101.1121,99.8842,88.5874,133.0106,129.052,128.0117,129.9256,134.5738,137.4069,140.9633,134.536,111.3439,114.044,110.1967,116.3355
