fecha,H1Q1,H1Q2,H1Q3,H1Q4,H2Q1,H2Q2,H2Q3,H2Q4,H3Q1,H3Q2,H3Q3,H3Q4,H4Q1,H4Q2,H4Q3,H4Q4,H5Q1,H5Q2,H5Q3,H5Q4,H6Q1,H6Q2,H6Q3,H6Q4,H7Q1,H7Q2,H7Q3,H7Q4,H8Q1,H8Q2,H8Q3,H8Q4,H9Q1,H9Q2,H9Q3,H9Q4,H10Q1,H10Q2,H10Q3,H10Q4,H11Q1,H11Q2,H11Q3,H11Q4,H12Q1,H12Q2,H12Q3,H12Q4,H13Q1,H13Q2,H13Q3,H13Q4,H14Q1,H14Q2,H14Q3,H14Q4,H15Q1,H15Q2,H15Q3,H15Q4,H16Q1,H16Q2,H16Q3,H16Q4,H17Q1,H17Q2,H17Q3,H17Q4,H18Q1,H18Q2,H18Q3,H18Q4,H19Q1,H19Q2,H19Q3,H19Q4,H20Q1,H20Q2,H20Q3,H20Q4,H21Q1,H21Q2,H21Q3,H21Q4,H22Q1,H22Q2,H22Q3,H22Q4,H23Q1,H23Q2,H23Q3,H23Q4,H24Q1,H24Q2,H24Q3,H24Q4
2026-01-01,112.01,110.01,107.05,106.45,104.7,103.98,103.5,102.22,102.22,101.55,98.5,94.9,93.22,88.5,86.43,85.73,83.5,79.5,77.32,75.4,75.0,70.68,70.0,70.0,70.5,70.6,70.6,73.18,75.0,75.0,75.0,75.0,70.0,69.02,66.33,66.33,65.24,64.72,61.0,55.4,62.0,57.4,55.01,52.01,55.0,52.01,52.19,52.01,52.01,55.0,55.01,55.01,55.01,56.2,59.09,60.0,60.3,61.55,61.76,62.0,64.12,64.72,64.98,65.87,65.5,71.0,84.0,88.67,86.43,90.0,96.94,101.68,98.0,100.78,102.2,103.74,103.98,104.5,105.0,105.36,106.32,106.92,106.94,106.94,106.94,106.94,106.5,105.01,105.5,104.94,103.98,102.2,102.2,100.0,95.0,89.52
2026-01-02,87.75,83.96,80.0,70.0,68.87,65.0,61.33,59.5,59.5,59.24,58.98,58.72,58.72,56.2,55.25,55.2,55.01,55.01,55.01,55.01,55.01,55.01,55.25,56.2,58.98,59.37,61.0,66.0,69.33,75.5,80.67,82.76,83.02,84.7,84.8,86.93,97.5,93.0,86.5,80.99,98.97,91.07,84.52,80.0,90.64,84.7,82.53,80.67,80.67,80.0,79.99,79.99,71.48,75.0,75.1,75.99,75.0,76.0,79.99,80.67,80.67,82.76,86.58,90.5,89.31,94.34,97.2,100.22,94.46,99.74,100.46,104.66,101.72,102.8,103.73,106.16,102.8,102.8,103.52,103.52,105.76,107.04,108.3,105.35,108.5,108.3,107.7,103.52,108.3,103.5,101.94,100.7,100.46,99.74,96.94,94.0
2026-01-03,84.34,82.79,78.86,75.48,80.9,77.99,77.95,77.9,79.3,77.37,76.06,74.72,77.77,76.42,75.12,74.2,74.44,73.8,73.8,73.72,74.18,74.24,75.3,77.35,73.46,75.07,77.45,80.31,78.56,77.57,80.33,82.6,87.85,90.35,91.91,92.65,95.35,95.63,94.34,91.04,98.94,95.0,91.45,87.85,91.95,89.0,87.85,86.03,87.85,87.06,87.16,87.58,85.85,85.55,86.03,88.99,85.11,88.15,90.7,95.35,90.0,94.05,97.27,99.02,95.0,99.7,101.36,104.78,105.0,106.01,109.44,111.91,103.24,103.24,103.62,105.0,101.36,101.36,101.36,100.0,99.78,99.46,98.2,94.67,96.32,92.86,91.72,86.01,95.13,91.66,90.0,84.8,91.53,86.48,84.8,81.0
2026-01-04,94.01,89.42,87.02,80.52,74.0,65.5,62.33,61.87,61.57,60.5,60.0,58.37,58.24,57.98,57.85,56.2,55.25,54.6,52.18,51.5,51.38,50.34,50.0,50.0,52.71,54.6,55.0,55.25,55.25,56.2,57.72,57.85,57.72,57.72,57.72,57.98,56.2,56.2,56.2,55.25,57.22,56.2,55.25,53.52,58.11,57.98,57.98,57.85,57.98,57.98,58.24,58.24,59.0,60.35,60.5,60.5,60.5,61.33,61.57,61.57,60.5,60.5,61.16,61.87,60.5,61.57,62.33,66.33,61.87,62.5,70.0,78.0,75.0,80.0,82.67,85.7,81.88,85.0,85.7,85.7,87.74,88.22,88.4,88.36,100.25,100.2,97.61,92.65,95.0,90.14,85.7,81.01,85.7,82.36,77.05,69.94
2026-01-05,94.07,90.01,86.61,82.01,79.0,72.62,70.0,65.01,65.0,62.5,62.33,62.12,62.12,61.87,61.87,61.87,61.87,61.87,61.87,62.12,62.33,62.5,65.0,67.0,67.0,73.5,82.0,86.61,87.06,93.21,97.5,98.7,98.46,100.0,105.0,107.98,110.01,110.0,108.67,103.0,110.0,105.41,102.01,99.94,103.2,101.17,99.94,97.77,97.77,97.74,97.55,97.77,97.98,98.21,97.98,97.98,97.98,97.98,97.98,97.98,96.78,97.5,97.74,98.36,98.22,100.0,104.01,110.04,104.94,110.01,116.6,128.05,117.84,121.58,124.32,131.0,115.35,115.86,117.82,118.57,117.24,117.24,117.06,115.35,116.6,114.0,111.63,109.94,113.37,110.01,110.01,105.41,109.0,104.77,100.48,98.7
2026-01-06,107.78,105.01,97.94,91.26,89.0,85.0,79.2,74.0,75.0,69.65,69.01,68.5,69.01,68.33,68.12,67.87,67.87,65.16,64.5,64.37,64.37,64.24,64.24,64.24,63.98,64.11,64.24,64.44,65.0,67.87,68.33,69.0,69.01,70.0,71.36,75.0,80.0,68.5,64.11,50.0,34.42,6.0,3.78,3.78,1.98,1.63,1.51,1.5,0.92,0.91,0.91,0.92,0.95,1.0,1.0,1.0,1.0,1.0,0.99,0.91,0.0,0.0,0.0,0.0,0.01,4.9,19.46,56.47,67.87,82.4,101.32,109.22,109.22,109.94,110.94,115.65,110.4,113.02,115.66,120.0,119.03,123.8,118.0,110.78,117.66,114.77,109.91,107.86,109.94,109.22,107.78,104.72,107.88,102.0,97.22,86.19
2026-01-07,104.73,100.01,90.67,86.93,95.04,91.81,87.93,86.59,88.2,86.16,86.93,84.78,84.61,82.48,81.63,80.78,81.63,81.58,81.63,83.0,85.74,85.59,87.98,92.0,89.04,93.56,98.88,102.17,106.83,108.84,111.46,114.84,111.7,114.91,122.26,117.15,120.58,111.94,110.74,107.17,109.18,105.0,102.17,99.0,104.7,102.17,100.04,98.93,97.94,96.0,95.35,95.3,95.0,95.0,94.26,92.98,90.0,90.31,90.98,91.0,95.0,95.4,99.42,102.17,102.0,104.73,107.0,110.74,108.2,110.74,115.0,127.89,129.57,129.01,134.18,147.0,134.13,135.3,131.33,127.46,122.97,125.65,117.82,112.94,111.36,110.67,109.61,106.83,106.83,104.13,102.17,98.93,97.94,91.13,88.13,84.1
2026-01-08,88.59,86.61,83.14,80.8,85.78,83.45,83.45,81.63,83.45,83.45,81.6,80.22,80.21,79.66,78.37,78.0,75.0,73.08,75.0,74.78,74.94,75.7,80.0,81.27,71.59,79.96,83.45,89.21,86.59,92.87,98.93,104.61,104.61,107.98,108.65,108.2,105.0,100.0,94.18,83.45,86.59,77.1,65.5,64.85,75.0,70.0,65.37,65.0,67.7,65.24,65.0,65.0,64.72,64.5,63.75,61.21,60.33,60.0,60.0,60.0,60.0,63.5,64.85,65.24,65.24,69.33,82.1,90.76,72.5,81.27,90.7,98.93,95.0,96.0,100.0,100.48,99.0,98.93,99.97,97.05,97.5,96.71,92.32,88.0,90.32,90.32,86.27,80.15,87.16,81.27,83.2,80.29,82.76,75.96,69.79,65.69
2026-01-09,76.93,66.71,52.5,50.5,49.98,46.4,42.58,38.5,42.58,40.06,35.0,35.35,30.0,28.59,20.9,20.68,20.0,19.54,20.0,20.46,33.0,33.0,35.35,41.63,45.0,49.98,50.5,52.5,57.0,70.0,76.0,78.01,76.44,78.01,80.0,80.0,77.0,72.0,65.0,58.65,65.0,57.66,50.5,49.85,50.11,46.15,40.0,34.01,35.0,27.01,21.55,20.79,20.68,20.33,14.0,10.01,6.0,7.0,7.0,6.0,7.96,10.01,17.0,25.0,37.5,45.0,50.5,59.33,52.16,69.0,78.01,85.95,82.0,85.0,86.22,86.94,91.13,92.53,91.05,90.29,90.38,87.4,86.64,85.98,87.53,86.3,83.78,79.41,85.98,83.91,83.18,79.12,81.21,76.76,76.69,74.21
2026-01-10,81.83,76.48,72.13,70.22,73.31,70.55,69.4,67.21,67.69,65.52,64.17,63.5,62.98,62.72,58.16,55.76,55.0,55.0,55.0,55.0,53.37,53.5,55.0,55.22,55.5,58.85,66.54,70.66,69.12,65.5,70.2,76.36,76.69,78.77,82.76,83.64,90.41,88.94,82.32,71.59,71.59,65.12,63.24,60.0,53.32,50.25,45.0,40.0,31.78,30.0,27.01,26.3,28.52,30.0,30.0,34.62,34.48,35.35,37.5,40.0,42.58,45.0,50.25,55.0,54.87,60.0,80.0,90.0,87.77,95.12,97.36,104.29,105.01,116.46,123.17,129.52,126.7,129.52,125.36,123.47,115.98,116.18,109.59,107.27,104.0,101.47,99.94,99.27,100.99,100.34,101.25,99.12,101.76,97.5,97.75,95.78
2026-01-11,108.2,97.72,93.7,87.99,90.0,86.1,85.0,81.64,85.0,81.64,80.1,79.5,84.18,83.0,81.64,81.64,82.0,81.64,81.42,81.23,81.64,81.64,82.2,83.47,80.93,81.64,81.64,82.2,81.13,82.46,85.68,87.77,87.02,89.97,92.84,92.67,93.6,87.77,79.33,74.98,75.5,74.98,69.01,58.61,57.69,55.0,52.18,51.2,50.25,50.25,50.25,51.11,51.2,52.4,53.6,55.0,55.11,55.3,55.0,55.0,53.06,55.0,59.5,65.0,65.37,70.99,81.64,89.35,83.5,90.05,95.64,101.36,100.5,101.65,104.22,106.19,102.52,103.31,101.36,101.36,100.99,100.01,97.59,97.5,99.2,97.59,96.0,93.38,95.12,92.84,92.77,89.35,86.82,81.64,80.0,75.43
2026-01-12,80.0,77.76,76.33,75.87,81.95,78.29,76.5,75.0,75.4,74.37,73.98,68.3,65.0,63.8,61.62,63.3,60.0,60.0,60.0,60.51,61.23,64.17,70.01,76.14,76.12,79.84,85.26,88.57,90.25,95.8,99.0,103.5,104.09,105.01,105.01,104.5,116.01,105.01,96.13,88.0,100.0,92.84,85.35,79.11,83.0,79.01,77.1,75.87,76.5,76.33,76.33,76.33,77.1,76.5,77.76,76.12,76.14,77.76,76.5,78.93,68.86,76.14,77.1,82.01,74.72,81.64,90.0,96.12,92.84,99.16,106.36,113.03,108.5,109.7,119.11,128.64,116.65,118.89,116.26,111.0,119.46,119.7,119.94,119.46,122.05,119.7,118.74,113.2,108.1,100.01,96.02,92.84,92.04,88.2,85.0,80.0
2026-01-13,87.46,85.0,81.64,79.33,82.48,79.5,79.33,78.83,79.28,78.83,78.0,77.76,76.37,76.11,75.72,75.35,74.92,73.95,74.36,75.4,76.07,76.24,77.0,78.87,79.48,83.33,90.0,94.0,92.0,96.76,99.65,101.82,105.01,108.02,108.99,104.29,111.4,102.39,99.09,93.67,101.93,96.74,92.84,88.6,92.15,88.25,86.8,82.0,80.3,80.72,81.64,80.0,77.76,77.19,75.1,77.0,75.35,77.76,79.43,81.64,81.64,86.82,88.6,93.62,85.18,92.84,92.78,98.36,92.17,97.87,104.99,115.99,111.5,112.78,114.36,118.12,113.21,115.94,117.82,120.02,133.88,140.0,142.07,146.64,151.02,136.9,135.0,119.3,125.0,117.82,113.03,112.46,114.82,112.78,107.85,101.84
