fecha,H1Q1,H1Q2,H1Q3,H1Q4,H2Q1,H2Q2,H2Q3,H2Q4,H3Q1,H3Q2,H3Q3,H3Q4,H4Q1,H4Q2,H4Q3,H4Q4,H5Q1,H5Q2,H5Q3,H5Q4,H6Q1,H6Q2,H6Q3,H6Q4,H7Q1,H7Q2,H7Q3,H7Q4,H8Q1,H8Q2,H8Q3,H8Q4,H9Q1,H9Q2,H9Q3,H9Q4,H10Q1,H10Q2,H10Q3,H10Q4,H11Q1,H11Q2,H11Q3,H11Q4,H12Q1,H12Q2,H12Q3,H12Q4,H13Q1,H13Q2,H13Q3,H13Q4,H14Q1,H14Q2,H14Q3,H14Q4,H15Q1,H15Q2,H15Q3,H15Q4,H16Q1,H16Q2,H16Q3,H16Q4,H17Q1,H17Q2,H17Q3,H17Q4,H18Q1,H18Q2,H18Q3,H18Q4,H19Q1,H19Q2,H19Q3,H19Q4,H20Q1,H20Q2,H20Q3,H20Q4,H21Q1,H21Q2,H21Q3,H21Q4,H22Q1,H22Q2,H22Q3,H22Q4,H23Q1,H23Q2,H23Q3,H23Q4,H24Q1,H24Q2,H24Q3,H24Q4
2025-07-01,127.9345,130.6069,125.1426,136.236,121.6695,119.8401,117.6309,114.1395,115.9742,117.4113,116.077,117.3376,115.4572,117.6624,117.1801,113.6204,114.6529,114.6039,115.1701,114.7732,114.5644,115.0472,117.2587,117.0496,115.9171,113.0688,115.1159,120.7782,123.0048,120.8373,121.0394,120.7185,116.2224,119.0045,113.115,110.6182,107.8698,102.4485,105.3681,104.3137,94.6695,99.5651,98.5399,94.8655,82.5573,79.2833,81.8125,79.1469,79.1739,79.2715,80.8146,80.74,81.4151,80.3277,79.0015,79.2556,78.8764,82.5402,81.1483,78.1951,81.5657,83.9888,79.0987,76.9467,96.832,97.9842,95.0266,78.1571,104.3622,101.2962,104.7121,100.2295,108.9412,109.8624,109.2734,111.563,116.1575,118.5141,114.2237,113.1047,122.5606,122.5176,122.6026,132.3192,162.2879,163.9785,171.3759,170.3578,157.7766,160.4831,155.8211,164.5591,130.2211,125.3394,127.9789,135.5806
2025-07-02,136.1424,128.6315,133.088,122.6982,121.0971,119.6334,118.4451,120.8244,115.0535,111.7329,115.6083,106.1254,110.0361,111.7581,112.6741,112.0517,112.97,109.3969,110.6506,115.5025,112.4783,111.0084,114.4601,113.7333,112.3131,106.7392,107.0638,117.8839,110.6766,113.8166,118.2625,111.4443,109.6086,111.0051,108.1264,113.06,101.9431,100.1038,104.041,110.3121,83.3542,81.2086,84.1065,78.4907,76.6929,76.3344,77.1844,75.3484,71.3319,72.2804,69.516,69.4317,67.4803,70.8023,69.7811,74.4963,70.6016,73.0309,69.099,69.8285,72.6731,72.9368,72.2325,68.4375,81.5337,79.0024,78.6506,79.7333,81.6798,81.1608,82.2558,74.9036,88.0531,90.5738,87.1867,84.9064,104.7939,102.7666,104.7079,115.8915,114.7837,109.6596,111.903,115.3337,131.5889,128.3148,130.7609,113.9754,122.6435,119.0941,128.9521,129.7103,107.1695,110.4507,110.7297,112.6501
2025-07-03,109.8553,115.4912,115.4836,107.0099,111.2199,109.9351,110.422,108.423,106.7543,108.5995,108.8912,112.2349,100.1779,103.6455,99.0339,104.7427,90.3866,87.1915,92.1208,95.1411,101.679,101.4326,106.2007,91.4078,111.8935,107.7606,115.8183,103.7677,109.4763,113.283,113.1797,110.101,103.0705,107.8687,105.6466,103.0143,71.3906,69.6326,72.443,68.8539,66.269,65.0632,69.3693,68.9785,55.1077,55.6282,57.759,53.8251,43.1293,42.6969,43.0719,39.742,36.6627,37.7645,38.035,36.3378,40.2333,39.4685,36.7684,42.0498,57.3052,56.8004,56.2527,56.3218,65.7249,65.0548,64.9745,63.0858,78.6319,78.6701,81.6025,85.0955,96.4867,96.6077,96.6609,95.6048,109.9007,109.0787,109.3445,107.6762,119.4101,121.0289,117.5834,117.1776,144.8504,144.4164,142.8909,138.2023,139.0128,141.3799,142.7861,138.1812,116.8114,119.4984,119.5046,121.5855
2025-07-04,109.1668,109.2583,107.2409,116.8139,105.5455,104.6326,106.5776,114.8443,106.0654,106.1051,108.0607,108.8088,106.3603,105.2149,105.2297,110.2351,104.6253,106.6009,106.5628,110.2909,111.3875,111.1898,111.0648,97.6779,115.7549,108.3698,112.5447,107.4906,115.1088,114.4549,118.296,105.6202,115.7275,112.1758,111.4463,100.6504,89.1267,89.1303,92.4355,93.9076,76.0249,74.1405,75.9514,78.4432,72.5203,73.3604,71.8451,70.2742,74.5973,75.0093,75.2599,75.1335,73.8421,76.8502,78.9645,72.6632,77.1257,73.7137,76.0236,76.657,73.2472,73.1542,76.8871,80.2315,76.2583,75.1008,73.0267,80.1742,77.0008,79.2366,79.0304,80.6522,91.4427,92.9802,89.5801,86.757,109.5224,108.2014,107.4278,108.8483,113.294,116.0588,111.5322,114.515,142.4746,143.4359,139.3596,131.77,138.7355,134.1871,144.7028,134.4946,125.1462,123.1436,122.8611,119.7291
2025-07-05,132.752,129.8576,132.3074,131.323,116.6257,119.9875,117.1994,121.3873,111.9879,109.7355,110.5928,107.6838,113.5489,108.7553,107.5947,98.1811,107.095,104.7991,109.3456,106.7603,110.1644,106.8274,110.3285,99.4396,109.1746,105.6078,107.9998,114.8978,108.3061,110.0143,112.0159,112.1438,98.1592,99.8396,100.3995,101.6017,36.2644,36.1368,36.8642,37.9346,5.8614,5.6909,5.6741,5.8136,3.5101,3.5405,3.482,3.5475,4.2813,4.2901,4.2174,4.4512,4.9823,4.9443,5.1609,4.9125,4.9485,5.0459,5.0381,4.9674,4.8894,4.8767,4.9556,5.2783,5.0667,4.943,4.9348,5.0555,24.0063,25.2389,25.5995,26.9153,41.6185,41.6056,40.9804,40.7955,99.5467,101.6785,99.7289,99.0459,107.7222,115.1248,110.3948,117.9583,134.9925,135.8561,133.348,121.1235,136.4451,139.0726,131.0786,129.4038,120.6108,120.5751,117.7012,121.1128
2025-07-06,116.7753,110.8748,110.5415,110.4884,106.5791,108.2189,104.7433,104.4987,102.3651,104.6498,100.6878,106.6972,99.0378,98.9079,99.7101,104.6642,99.8156,103.861,101.9331,94.7903,100.8652,100.3679,102.5985,99.4484,102.1717,103.1218,104.1369,95.7697,95.0441,92.7073,96.9377,103.2308,52.0827,52.2991,51.3809,52.2372,7.3657,7.4832,7.4912,7.26,2.054,1.9152,1.9351,2.0957,1.0297,1.0122,1.016,0.9421,0.8452,0.842,0.8534,0.8594,3.4545,3.4139,3.4427,3.769,2.997,3.0283,3.0904,2.8443,0.6549,0.6562,0.6723,0.6167,0.64,0.6376,0.643,0.6793,0.6488,0.6768,0.6455,0.6289,4.4242,4.2694,4.3526,4.1938,31.9626,31.8679,32.0072,30.2824,88.7682,92.6596,91.7832,86.7889,106.7016,109.3101,105.9122,110.9161,110.8302,108.0592,112.2208,111.3699,115.3182,111.9245,110.2801,97.1972
2025-07-07,104.7415,107.4642,109.2068,105.1875,96.0101,96.429,92.9754,99.3055,90.6852,88.9021,95.8507,93.5621,89.8554,90.3095,88.6499,87.2253,82.5625,85.3097,83.9347,88.2331,93.1751,95.1053,95.2089,96.5107,103.1271,101.9096,101.4792,107.4841,106.6635,109.2897,103.2823,107.3645,92.7726,93.6953,93.702,95.8301,56.8223,59.7611,57.9616,55.4549,36.7682,36.1146,37.3711,39.7461,18.5509,18.0796,17.1948,18.2148,14.6023,15.0469,15.3339,15.0568,6.017,6.0179,6.1302,5.835,5.9373,5.7122,5.8409,5.6695,4.9052,4.8935,5.0592,5.1422,3.499,3.6123,3.6227,3.6661,4.3849,4.212,4.343,4.3002,4.9875,5.1508,4.9263,4.9354,36.5691,37.7659,36.7555,38.4695,77.9557,81.4694,80.6916,79.8833,99.3699,103.8199,103.4323,116.3779,105.8351,107.6028,108.8704,95.6117,96.4526,93.0381,92.9725,97.9369
2025-07-08,78.5882,80.8879,82.1531,78.7709,60.052,63.165,63.5688,62.8143,50.317,53.3433,50.5381,45.8016,35.1228,35.5312,34.7201,35.0259,34.3367,35.3976,35.9193,34.7464,29.9589,30.6625,29.8746,29.904,62.7442,60.9914,61.3825,57.8019,76.1479,72.9893,74.7173,76.1054,62.2498,60.0438,61.707,55.9994,18.3313,17.3635,18.2666,18.0786,4.2172,4.3326,4.2743,4.4159,1.7207,1.7176,1.7284,1.7133,1.7046,1.6741,1.6856,1.8156,3.0453,3.0949,3.0039,2.8158,3.5798,3.5894,3.4251,3.4856,3.3906,3.5164,3.3893,3.7837,4.9728,4.8543,4.938,5.2348,16.845,17.2788,16.8801,17.3961,43.9788,45.0439,47.7513,43.226,60.9881,58.086,60.5004,61.9855,110.0142,104.8541,107.2112,95.9206,113.1751,113.3523,113.0409,103.1917,111.2471,110.213,110.0055,111.0145,106.3154,106.9697,103.3883,107.5666
2025-07-09,110.0013,110.5303,110.8589,111.0896,103.3678,105.7011,103.7939,103.1772,100.6613,98.9419,99.8553,106.2214,103.7956,103.5666,99.1919,106.7259,110.6263,107.0846,106.6586,110.0306,112.8582,112.9681,108.8108,106.8429,106.5098,104.6758,109.0311,108.8633,113.8616,110.8429,114.9761,107.5993,110.7664,108.4813,110.3308,105.4215,96.2611,98.9784,100.0021,102.7584,56.8981,59.2917,57.2645,54.1856,40.2942,38.9516,39.8503,40.9039,34.5543,36.7882,34.8094,34.2481,36.2863,37.091,36.6786,34.7441,35.1925,36.6653,36.7179,36.2243,37.4138,37.9003,37.6287,37.2571,48.6336,49.4397,50.0207,51.906,72.6924,74.3472,75.0388,72.1216,75.8134,74.8401,77.4834,73.463,110.7141,111.1934,108.737,110.9955,114.5403,117.3595,116.764,111.4962,155.1684,155.7757,156.371,155.6849,142.3059,144.4735,143.5339,149.7267,116.7198,120.3658,119.6554,123.259
2025-07-10,119.9465,121.5617,123.2951,129.2367,109.0111,115.9258,116.1178,120.9453,114.4963,111.6824,109.8494,116.0519,113.801,109.3317,113.6024,112.7848,110.8715,110.1279,113.0435,115.4771,116.107,113.1742,112.9734,111.8654,113.9753,119.8662,118.0619,119.6566,122.8407,126.7846,119.6982,124.7165,109.5488,110.6707,110.0078,112.4126,102.9584,108.8579,108.0341,112.5496,108.6748,110.9348,106.1005,100.2899,90.7048,90.4667,90.3162,88.5523,76.7674,77.5775,78.7367,74.8385,74.2976,78.4984,76.3391,73.145,75.8985,72.1217,75.424,78.3158,73.5503,75.8665,76.4471,74.136,75.7215,73.7541,73.8897,72.6346,77.4037,73.5769,76.0672,79.8721,87.129,89.0023,87.278,88.9108,105.5487,103.5897,105.7841,101.0374,124.0326,122.4054,120.9189,107.2431,157.3106,152.6288,151.3985,153.662,167.148,170.6669,175.0841,167.101,130.0884,133.2431,128.7481,135.9204
2025-07-11,118.8142,123.8462,120.0794,124.2203,113.8197,120.113,115.6193,112.288,113.7488,113.3284,114.7997,113.5232,111.1454,112.8593,115.2069,111.7084,112.0094,107.4923,111.2631,120.1553,115.0844,115.8993,114.1571,108.1792,121.9009,116.0322,121.5392,114.4078,125.5255,126.7014,118.0497,129.7234,113.0704,111.5887,115.3911,104.2299,105.7372,103.3093,103.6612,108.6522,63.614,63.4896,62.3048,62.9916,75.128,79.1127,76.3845,76.3748,79.8904,79.1512,82.269,78.6894,75.6797,72.5131,73.8967,73.9505,61.0536,64.5397,62.7438,60.4229,59.5652,59.497,60.5555,59.9822,55.1281,57.1359,54.3832,54.9528,60.4683,63.7533,61.4546,62.2439,68.9299,68.1895,65.2046,65.676,98.7884,100.0987,99.5601,101.5528,114.9241,112.8392,114.0361,115.1206,128.2125,129.0652,123.6999,121.7024,137.5205,137.8101,134.48,142.8294,132.4618,131.4766,131.3627,124.699
2025-07-12,119.5161,121.8832,122.1103,115.6103,119.3573,116.224,117.4377,113.461,111.3111,111.4578,114.4038,111.5473,107.6456,107.2,108.8351,106.4393,106.8325,103.8416,104.0632,106.9427,105.2792,104.8878,103.3558,101.6372,112.509,109.6325,105.6877,111.5709,117.1109,115.5316,121.7478,121.5696,106.4906,105.6706,100.6451,108.8737,70.8262,72.7304,70.3984,77.845,42.9005,42.0134,41.9797,41.5064,18.9759,18.6424,18.6077,19.774,14.4411,15.007,15.1224,15.4295,5.7327,5.7275,5.6527,5.927,4.3317,4.1038,4.2158,4.5887,0.8389,0.8414,0.8537,0.866,13.6275,13.7226,14.0251,13.3448,35.9738,35.4563,35.885,32.6849,51.8427,50.4524,48.6989,49.326,76.9313,73.9145,78.2606,72.4936,111.5323,106.639,105.4058,107.4228,123.951,125.5065,128.9319,124.2905,129.754,135.3667,127.6071,139.2722,124.7313,121.5892,122.2273,118.4122
2025-07-13,119.1069,121.6148,120.2497,116.4685,121.0793,112.9744,114.9601,119.2262,111.0791,115.7599,110.3229,119.2781,119.6692,114.1995,116.81,105.2813,106.5899,109.0975,110.0352,108.9573,103.1722,104.1644,107.9506,103.2728,107.3242,105.8587,108.8481,96.5291,86.5648,90.5257,89.3161,93.5933,56.5886,56.2345,56.3015,50.8753,22.233,22.7541,22.9914,22.0215,4.3925,4.2014,4.2219,4.3042,0.0502,0.0514,0.0506,0.0477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0178,1.0075,0.9955,0.9791,5.7722,5.763,5.8913,5.7335,30.2056,30.8048,29.1476,31.402,71.845,73.608,70.804,64.143,107.5038,106.5437,109.2078,107.5047,122.8915,122.478,119.3103,133.3202,135.2748,133.8393,133.9862,135.3798,121.7344,120.028,122.197,123.0006
2025-07-14,115.5766,117.8278,117.4372,121.5585,108.6729,109.757,111.1254,120.2447,108.6312,110.431,108.9737,111.4041,109.1183,108.3406,103.7157,115.7455,108.6316,107.0811,108.5524,111.3349,108.426,111.5533,109.9989,110.4218,119.7443,119.9195,116.7296,115.8466,124.7374,123.2827,120.1506,122.7092,115.7313,116.2184,118.9839,113.0664,74.6676,77.5898,76.3567,72.1459,62.3088,63.6676,65.767,68.2566,32.7527,34.0427,34.6654,33.4192,33.8778,35.0325,34.9739,32.3557,38.7563,38.7741,38.9409,38.7287,31.7714,30.5242,31.3989,32.2655,17.6107,18.0847,18.1303,19.0143,26.123,26.414,26.8752,28.9478,49.5973,46.2007,47.6185,46.5835,58.9373,59.5516,61.1939,60.3172,78.2444,78.425,78.5238,75.8468,118.4151,112.1072,117.9673,119.7504,126.4247,127.6507,128.7762,123.7085,125.7208,126.4135,121.7928,124.7929,119.3239,118.0018,118.0556,117.6586
2025-07-15,116.1411,112.0594,111.6614,112.7782,106.6413,108.8347,111.8497,110.5944,103.8863,107.951,102.1046,115.698,105.75,108.1623,106.0713,108.8964,102.9256,104.6564,107.5364,106.6016,110.6324,110.6772,108.8553,99.3551,113.979,115.4133,110.5729,112.6748,116.5292,121.919,120.8622,115.9297,109.2962,107.8775,105.6425,106.7838,71.4106,74.3519,74.5675,71.55,29.8241,30.0522,30.4373,31.6864,40.5736,39.5994,39.1962,40.1109,47.1224,46.7552,45.5629,45.3595,44.4105,46.0101,43.8619,45.7175,34.7956,35.3159,35.1153,34.7732,30.5119,28.9424,29.9605,30.3851,30.1309,30.1505,30.2976,29.221,47.8697,50.4369,49.447,48.2464,50.6447,49.5055,50.2614,49.9084,74.8042,72.8179,73.1252,70.6127,113.6375,109.2915,112.531,116.22,137.7663,134.5489,135.7555,135.4093,134.9616,130.8493,137.24,137.1491,116.8426,121.0691,119.7297,122.5586
