fecha,H1Q1,H1Q2,H1Q3,H1Q4,H2Q1,H2Q2,H2Q3,H2Q4,H3Q1,H3Q2,H3Q3,H3Q4,H4Q1,H4Q2,H4Q3,H4Q4,H5Q1,H5Q2,H5Q3,H5Q4,H6Q1,H6Q2,H6Q3,H6Q4,H7Q1,H7Q2,H7Q3,H7Q4,H8Q1,H8Q2,H8Q3,H8Q4,H9Q1,H9Q2,H9Q3,H9Q4,H10Q1,H10Q2,H10Q3,H10Q4,H11Q1,H11Q2,H11Q3,H11Q4,H12Q1,H12Q2,H12Q3,H12Q4,H13Q1,H13Q2,H13Q3,H13Q4,H14Q1,H14Q2,H14Q3,H14Q4,H15Q1,H15Q2,H15Q3,H15Q4,H16Q1,H16Q2,H16Q3,H16Q4,H17Q1,H17Q2,H17Q3,H17Q4,H18Q1,H18Q2,H18Q3,H18Q4,H19Q1,H19Q2,H19Q3,H19Q4,H20Q1,H20Q2,H20Q3,H20Q4,H21Q1,H21Q2,H21Q3,H21Q4,H22Q1,H22Q2,H22Q3,H22Q4,H23Q1,H23Q2,H23Q3,H23Q4,H24Q1,H24Q2,H24Q3,H24Q4
2025-11-01,49.3,47.8,44.3,42.3,32.69,30.0,20.0,15.0,20.0,20.1,20.1,29.74,30.0,30.0,30.0,30.0,30.0,30.0,30.05,30.3,30.3,32.36,35.05,37.73,44.2,45.0,50.0,50.0,50.94,51.2,52.82,53.03,53.2,52.57,50.81,45.0,36.11,25.29,20.1,13.48,23.72,18.08,16.4,15.0,15.0,15.06,15.0,14.52,9.5,9.0,10.0,14.6,15.0,15.75,15.75,16.09,15.0,14.74,15.36,15.75,16.39,17.62,20.1,29.92,16.9,36.0,41.3,50.68,27.94,50.2,71.92,76.56,78.75,79.96,85.0,85.88,100.0,103.57,104.97,104.97,104.94,104.94,104.94,104.94,104.92,104.92,100.5,91.37,85.76,81.75,79.95,76.48,75.0,73.1,72.16,71.2
2025-11-02,81.86,80.8,71.0,64.1,60.0,53.62,51.93,50.0,40.0,34.94,30.05,20.1,23.27,15.0,16.62,11.93,16.79,16.9,16.79,16.68,20.58,16.9,16.79,16.9,27.64,28.26,30.05,33.99,33.99,35.0,40.0,40.0,38.1,26.45,16.79,14.0,17.87,8.16,3.52,1.2,0.65,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.2,4.31,15.0,10.38,20.24,51.93,71.92,72.4,80.0,81.55,88.01,99.0,102.18,103.23,108.4,110.0,110.57,110.96,110.96,113.5,112.44,110.57,110.0,107.9,102.88,102.18,100.0,103.23,102.18,96.0,89.11
2025-11-03,92.1,90.1,87.5,86.14,84.56,83.69,83.64,83.4,83.16,82.98,82.92,82.92,82.68,82.44,82.44,82.68,82.44,82.68,82.98,83.16,83.64,83.69,85.37,91.33,94.97,102.79,105.0,110.07,118.67,123.89,140.39,149.39,143.19,118.67,105.55,87.51,90.51,82.68,65.0,45.37,50.0,37.77,30.05,18.74,28.54,19.14,16.68,15.52,16.79,16.65,16.79,15.73,15.16,12.86,12.87,14.0,14.25,16.68,19.71,23.84,18.99,25.33,39.72,50.55,45.0,51.07,72.51,83.4,85.37,103.9,111.82,140.39,118.67,123.27,129.0,129.19,140.39,150.0,150.01,150.01,157.15,155.34,150.01,143.19,150.0,135.01,121.69,115.26,110.5,105.0,100.24,93.37,96.74,94.5,90.0,86.14
2025-11-04,80.54,77.64,77.16,76.2,75.8,68.68,67.03,62.0,68.68,68.68,67.03,65.0,60.85,58.92,52.92,52.79,50.05,50.0,50.0,50.05,50.0,52.0,54.79,65.0,56.51,65.0,68.68,75.0,76.92,78.0,80.54,80.54,87.79,78.96,73.44,50.05,68.68,42.0,20.3,1.55,19.81,14.71,10.05,10.05,5.79,5.0,3.83,3.52,4.31,3.6,3.52,3.52,3.52,3.52,3.52,3.52,3.52,3.52,4.31,5.0,5.11,10.0,13.15,20.95,8.84,16.71,31.81,35.54,33.72,48.75,70.0,77.0,76.44,77.16,77.38,78.9,81.67,83.69,83.69,85.24,83.69,83.69,83.19,80.0,80.54,78.96,77.16,75.8,77.38,75.8,70.0,66.2,52.0,48.0,40.0,34.1
2025-11-05,35.01,30.0,29.47,29.07,28.81,28.33,21.2,20.0,20.1,16.79,16.35,15.6,16.46,16.46,12.57,10.0,7.0,7.0,7.0,7.0,8.07,14.0,16.68,16.79,22.12,28.55,29.72,29.93,30.9,35.01,35.02,35.02,39.86,35.01,31.94,29.47,29.21,28.81,16.9,10.21,14.87,10.65,5.11,3.6,4.31,3.52,3.52,3.52,4.39,5.11,5.79,6.0,5.0,5.0,5.05,6.0,5.79,9.3,10.14,13.79,14.65,15.83,16.35,20.06,20.0,28.24,28.68,29.72,29.2,33.15,35.02,36.25,35.02,39.86,50.0,60.0,59.52,65.0,69.0,70.0,70.2,70.68,70.68,70.44,70.68,70.0,67.0,59.52,58.98,49.0,44.19,39.58,39.78,35.01,35.01,30.1
2025-11-06,20.81,20.55,21.07,20.94,20.0,16.36,13.71,10.28,20.0,15.24,14.0,12.22,14.0,13.08,10.0,9.33,9.49,8.71,5.73,7.5,13.73,11.42,19.33,20.81,24.29,30.87,44.65,56.92,62.76,66.03,72.26,78.59,75.0,65.0,61.68,43.0,30.0,20.55,7.96,1.1,3.52,3.52,3.52,3.52,1.72,0.8,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.8,1.0,1.0,1.0,1.6,1.72,1.7,2.5,3.52,3.52,3.52,3.6,14.24,20.55,34.2,58.98,64.67,79.73,98.53,96.28,100.41,101.07,106.89,115.75,127.39,115.75,119.44,119.44,114.97,103.23,100.83,96.52,93.0,93.0,88.83,89.12,86.57,89.12,85.42,91.64,83.49,74.54,65.0
2025-11-07,65.55,62.52,57.26,52.52,55.01,54.1,52.86,49.66,54.1,50.0,49.66,45.0,42.0,38.17,35.91,34.73,34.56,33.0,33.0,34.46,38.0,40.67,45.01,49.66,58.98,61.08,63.55,68.33,68.67,79.89,84.76,87.5,98.66,94.92,90.0,81.99,85.0,75.59,65.0,61.8,62.52,60.99,55.68,51.2,51.5,50.0,50.0,45.32,50.0,46.25,50.0,48.75,43.62,43.5,41.34,43.62,45.0,50.0,50.93,54.1,54.1,58.84,61.8,64.67,64.67,74.07,87.52,91.5,84.47,92.0,96.61,104.12,101.58,104.01,110.0,112.52,106.94,110.0,106.67,106.67,103.96,103.96,103.96,100.95,100.07,98.12,95.0,91.22,87.52,85.0,85.01,85.0,80.0,75.0,70.55,63.28
2025-11-08,80.68,74.59,63.64,51.43,63.67,54.0,56.3,51.43,51.91,51.07,50.94,50.0,50.81,50.0,45.67,35.63,38.25,35.0,34.8,34.8,34.8,34.7,35.75,42.7,41.72,47.0,50.0,50.68,50.68,50.97,51.01,50.94,51.22,50.68,37.14,15.0,10.0,3.52,3.52,0.65,0.01,0.0,0.0,0.0,0.0,-0.01,-0.01,-0.01,-0.19,-0.45,-0.3,-0.1,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.0,0.0,0.0,0.65,3.52,14.0,38.8,51.43,74.59,83.84,76.31,86.16,90.91,95.92,88.43,90.0,90.0,86.92,87.55,84.48,82.94,81.47,80.13,79.72,78.24,75.0,76.28,74.59,77.8,74.59,76.42,72.0,72.11,71.52
2025-11-09,78.81,72.11,61.15,59.6,65.0,62.72,59.9,59.49,60.1,54.67,53.6,53.43,53.6,53.43,53.59,52.81,52.81,52.81,53.43,53.43,55.36,55.0,55.0,59.7,62.63,66.99,70.49,70.52,72.11,72.9,77.26,75.01,80.68,72.0,65.64,53.22,70.53,47.25,30.01,13.94,4.96,3.52,1.55,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.75,1.55,1.72,3.52,3.52,3.38,3.52,4.31,5.0,8.16,10.9,17.3,34.2,31.11,53.2,61.47,81.52,72.0,78.81,85.53,100.83,85.0,91.69,98.66,104.67,104.92,106.61,104.92,105.56,112.55,113.29,113.89,111.94,122.94,120.2,110.74,106.61,110.0,104.67,103.91,97.44,98.66,91.5,85.53,82.21
2025-11-10,91.52,90.8,90.0,85.0,85.25,80.0,76.29,73.27,71.31,69.99,63.78,60.33,60.1,60.0,59.9,59.7,59.6,59.6,59.7,59.8,60.0,60.0,70.0,77.46,85.96,90.8,91.76,96.3,105.75,109.25,110.91,114.33,121.55,114.33,106.94,103.59,93.84,90.23,65.0,41.55,51.68,45.08,44.63,35.03,36.18,37.0,35.03,34.5,40.0,37.0,38.85,35.03,35.03,34.2,29.0,25.77,28.04,32.4,34.2,36.48,40.0,49.0,50.0,52.07,45.0,56.0,82.9,96.7,95.0,106.36,110.61,130.0,123.22,133.04,135.01,135.01,136.88,137.83,150.0,150.01,136.88,137.83,136.88,135.93,137.83,135.93,131.66,119.72,113.28,109.25,106.23,99.32,97.8,92.49,93.84,91.76
