fecha,H1Q1,H1Q2,H1Q3,H1Q4,H2Q1,H2Q2,H2Q3,H2Q4,H3Q1,H3Q2,H3Q3,H3Q4,H4Q1,H4Q2,H4Q3,H4Q4,H5Q1,H5Q2,H5Q3,H5Q4,H6Q1,H6Q2,H6Q3,H6Q4,H7Q1,H7Q2,H7Q3,H7Q4,H8Q1,H8Q2,H8Q3,H8Q4,H9Q1,H9Q2,H9Q3,H9Q4,H10Q1,H10Q2,H10Q3,H10Q4,H11Q1,H11Q2,H11Q3,H11Q4,H12Q1,H12Q2,H12Q3,H12Q4,H13Q1,H13Q2,H13Q3,H13Q4,H14Q1,H14Q2,H14Q3,H14Q4,H15Q1,H15Q2,H15Q3,H15Q4,H16Q1,H16Q2,H16Q3,H16Q4,H17Q1,H17Q2,H17Q3,H17Q4,H18Q1,H18Q2,H18Q3,H18Q4,H19Q1,H19Q2,H19Q3,H19Q4,H20Q1,H20Q2,H20Q3,H20Q4,H21Q1,H21Q2,H21Q3,H21Q4,H22Q1,H22Q2,H22Q3,H22Q4,H23Q1,H23Q2,H23Q3,H23Q4,H24Q1,H24Q2,H24Q3,H24Q4
2025-10-01,105.1,104.24,102.28,102.0,106.63,105.68,105.19,105.01,104.21,102.0,100.0,100.0,97.57,97.51,97.51,97.91,98.5,100.0,102.28,105.0,101.08,101.28,101.76,102.24,101.76,102.24,104.24,105.68,106.55,110.41,114.15,122.58,140.78,130.56,115.17,106.63,125.5,105.01,92.24,60.0,100.24,65.0,58.81,45.0,59.07,44.2,35.87,24.97,26.76,22.5,23.92,22.5,16.99,16.68,15.98,15.45,6.67,15.31,16.35,17.76,16.68,18.94,16.79,24.57,19.0,26.56,43.78,58.55,25.1,50.0,60.0,77.67,59.07,75.01,101.52,110.69,105.68,112.21,148.01,134.33,194.14,217.45,230.0,230.0,150.0,130.0,123.9,113.75,114.01,109.0,106.63,104.24,105.68,104.21,102.0,101.52
2025-10-02,105.68,105.01,103.33,103.33,102.28,100.0,99.0,98.7,95.0,95.0,95.0,95.0,95.5,96.99,97.1,98.7,98.7,99.0,100.3,103.29,103.29,103.71,105.68,107.38,103.26,103.5,105.19,110.0,110.41,119.87,125.85,129.55,153.01,140.11,121.06,110.41,119.87,103.36,92.29,58.94,84.5,60.2,55.56,36.2,44.1,37.22,33.32,22.5,28.05,20.7,22.5,17.15,20.16,19.0,16.46,15.06,15.59,16.46,16.79,16.79,15.0,16.46,16.0,18.91,20.7,29.9,30.09,46.89,25.1,40.59,55.52,61.33,47.16,67.4,101.68,104.48,90.0,103.36,110.41,123.9,170.51,201.52,220.0,225.0,180.0,173.66,147.3,125.0,128.81,121.0,115.44,109.91,106.57,105.1,103.84,103.27
2025-10-03,117.88,117.8,116.3,114.74,114.74,112.2,111.9,111.6,106.63,106.31,105.0,104.06,104.06,104.06,104.06,104.06,104.04,104.04,104.04,104.04,104.02,104.02,105.08,111.6,104.01,108.8,111.84,117.8,119.24,121.8,126.92,129.82,144.93,138.58,126.23,120.0,126.99,119.02,116.3,100.0,102.28,69.07,60.16,48.0,58.94,45.96,50.0,43.88,47.97,44.2,40.0,35.0,45.76,42.0,36.2,32.55,38.08,37.44,40.0,40.95,32.91,40.0,40.0,40.0,34.45,41.2,45.76,55.0,40.01,55.0,59.05,79.49,61.33,87.73,111.57,119.02,111.6,117.88,119.46,130.96,129.12,136.05,144.93,144.93,144.93,142.74,129.2,121.04,126.23,119.24,119.0,118.76,118.76,117.88,117.37,111.97
2025-10-04,112.1,111.6,111.04,109.0,105.83,102.99,102.28,100.57,102.97,100.57,100.57,97.99,100.01,97.99,95.0,90.0,96.85,95.0,91.2,89.0,100.05,100.0,98.45,100.0,90.0,94.0,95.0,98.5,100.3,100.57,100.01,100.3,100.3,97.99,89.0,82.1,85.65,52.8,20.87,2.14,14.41,7.96,2.14,0.15,0.41,0.02,0.01,0.0,0.0,-0.01,-0.01,-0.01,0.0,0.0,-0.01,-0.05,-0.03,-0.02,-0.01,0.0,-0.03,0.0,0.0,0.0,-0.01,-0.01,-0.01,0.0,-0.05,-0.01,0.0,0.65,0.66,5.11,16.12,21.33,39.76,69.3,72.46,80.91,74.04,74.66,74.66,74.04,74.04,72.24,71.52,70.0,72.0,71.04,70.0,60.0,60.0,45.0,43.31,39.8
2025-10-05,35.02,35.02,35.02,35.01,35.01,35.01,34.7,29.33,29.33,29.12,28.87,28.87,29.12,28.87,28.87,28.87,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.99,29.12,29.33,29.33,27.94,28.07,28.2,28.2,28.2,27.94,25.1,18.15,14.24,5.0,1.85,0.0,0.09,0.0,-0.01,-0.1,-0.45,-0.5,-0.6,-0.99,-0.6,-1.0,-1.06,-1.8,-2.02,-2.1,-2.27,-2.5,-2.64,-2.57,-2.5,-2.1,-2.1,-1.51,-0.62,-0.62,-0.99,-0.6,-0.48,-0.45,-0.45,-0.01,0.0,0.0,0.65,3.52,20.5,30.8,35.01,44.2,58.44,72.05,64.92,64.92,75.76,75.76,87.26,87.26,82.25,75.76,68.46,64.92,62.65,45.93,45.1,45.0,39.4,35.02
2025-10-06,45.33,45.2,44.9,44.87,44.87,44.8,40.0,40.0,39.67,42.79,44.87,44.87,45.1,45.12,45.2,45.5,45.76,46.1,47.55,47.81,47.94,48.2,55.0,72.1,55.7,81.68,88.56,102.28,101.03,113.99,115.64,120.74,131.63,130.69,123.17,113.55,136.74,110.34,100.25,86.28,87.64,82.6,64.78,48.07,48.31,47.68,46.4,45.5,45.12,44.87,44.87,42.88,44.87,44.67,40.0,36.2,36.2,36.64,36.2,36.2,36.2,40.0,40.0,45.1,37.8,44.0,45.5,47.81,47.68,60.0,79.78,87.0,73.05,86.76,106.09,129.82,107.04,125.34,158.18,159.99,158.18,161.18,167.0,167.0,182.59,175.01,160.43,158.93,143.22,126.23,119.94,113.55,112.33,106.83,101.2,92.16
2025-10-07,111.6,110.46,110.0,109.28,110.86,108.89,107.5,107.45,107.45,107.45,107.45,106.63,104.57,104.17,102.94,102.94,102.94,102.94,102.94,104.57,100.0,101.36,102.94,107.42,104.57,108.09,109.76,111.6,112.55,117.88,124.5,129.12,150.55,135.79,126.92,116.0,161.42,119.77,107.67,83.54,96.93,78.72,67.81,60.1,66.33,57.12,45.0,38.6,58.78,50.73,49.0,45.0,45.0,43.42,40.0,37.2,37.2,35.75,36.83,39.58,37.2,40.2,45.0,48.84,44.25,49.0,59.0,67.55,60.1,67.81,81.2,101.76,84.22,104.57,115.8,133.99,118.73,130.34,170.13,180.81,175.0,160.09,169.68,168.63,175.0,168.0,153.06,129.11,126.23,120.0,117.0,115.8,117.88,116.28,114.0,111.0
2025-10-08,112.52,111.92,111.79,110.0,106.0,105.01,103.78,102.2,102.2,101.37,101.0,100.01,100.0,100.0,99.99,99.0,100.0,100.0,100.0,100.0,94.6,96.0,98.62,101.0,100.0,102.2,106.94,111.8,113.99,121.28,134.79,146.52,188.82,160.79,145.94,121.52,133.41,111.8,102.2,92.0,110.22,102.2,97.86,81.83,100.62,85.0,70.0,63.33,80.77,76.49,75.0,72.5,75.39,70.58,63.5,63.33,63.33,63.33,63.12,63.12,59.84,62.2,62.87,62.87,47.78,51.0,60.1,63.33,60.68,70.0,84.62,90.89,65.0,86.05,102.2,110.87,111.6,121.73,158.81,175.0,158.93,150.05,128.49,118.73,120.28,114.05,111.8,106.94,111.8,108.67,105.01,100.0,102.2,99.79,95.48,90.0
2025-10-09,101.03,100.01,88.0,80.42,88.0,80.42,80.4,75.0,83.41,80.42,79.4,72.55,75.2,70.0,69.22,65.0,65.0,65.0,65.0,67.32,60.5,64.5,70.0,78.88,75.84,80.42,89.83,97.02,94.0,100.01,105.37,108.13,113.01,113.02,112.71,106.36,104.94,103.36,89.83,66.1,58.07,57.42,23.0,1.1,30.2,11.6,6.0,2.4,6.0,5.11,5.1,4.96,10.0,10.0,10.0,7.7,6.0,6.0,6.0,6.0,5.11,5.11,6.0,7.7,5.11,6.0,16.46,21.74,13.83,30.2,57.42,57.68,35.99,58.07,81.23,100.2,93.36,100.19,110.23,120.2,122.29,117.2,111.79,106.55,109.81,104.59,99.54,92.8,101.37,94.94,93.76,90.2,102.72,97.98,89.83,80.42
2025-10-10,98.23,90.01,86.63,81.2,90.89,84.5,83.5,81.17,83.18,79.99,78.8,78.0,75.0,72.0,73.9,70.92,66.0,66.0,70.01,77.0,70.92,77.89,81.75,84.92,86.27,96.88,97.0,99.78,92.23,100.01,104.96,104.96,111.8,111.73,109.4,96.01,105.18,101.28,90.89,78.0,60.2,59.75,44.03,30.2,48.57,41.0,42.1,40.01,42.81,41.0,44.23,47.59,46.88,39.77,34.4,43.26,32.5,30.2,30.2,40.0,31.65,44.88,51.31,55.0,40.0,49.0,59.55,60.2,57.0,75.22,85.48,100.0,78.0,92.94,101.76,111.8,105.2,111.8,121.22,121.8,124.39,119.0,113.99,112.49,111.8,111.43,107.79,101.37,107.83,104.63,101.37,99.9,105.01,101.43,101.37,100.01
