fecha,H1Q1,H1Q2,H1Q3,H1Q4,H2Q1,H2Q2,H2Q3,H2Q4,H3Q1,H3Q2,H3Q3,H3Q4,H4Q1,H4Q2,H4Q3,H4Q4,H5Q1,H5Q2,H5Q3,H5Q4,H6Q1,H6Q2,H6Q3,H6Q4,H7Q1,H7Q2,H7Q3,H7Q4,H8Q1,H8Q2,H8Q3,H8Q4,H9Q1,H9Q2,H9Q3,H9Q4,H10Q1,H10Q2,H10Q3,H10Q4,H11Q1,H11Q2,H11Q3,H11Q4,H12Q1,H12Q2,H12Q3,H12Q4,H13Q1,H13Q2,H13Q3,H13Q4,H14Q1,H14Q2,H14Q3,H14Q4,H15Q1,H15Q2,H15Q3,H15Q4,H16Q1,H16Q2,H16Q3,H16Q4,H17Q1,H17Q2,H17Q3,H17Q4,H18Q1,H18Q2,H18Q3,H18Q4,H19Q1,H19Q2,H19Q3,H19Q4,H20Q1,H20Q2,H20Q3,H20Q4,H21Q1,H21Q2,H21Q3,H21Q4,H22Q1,H22Q2,H22Q3,H22Q4,H23Q1,H23Q2,H23Q3,H23Q4,H24Q1,H24Q2,H24Q3,H24Q4
2025-09-01,35.2268,35.9626,34.458,37.5126,18.5815,18.3022,17.9648,17.4315,22.2011,22.4762,22.2207,22.462,17.5605,17.8959,17.8225,17.2811,14.9808,14.9744,15.0484,14.9965,24.9023,25.0072,25.488,25.4425,33.1434,32.329,32.9143,34.5333,53.883,52.9335,53.022,52.8815,64.8268,66.3786,63.0936,61.7009,36.7682,34.9203,35.9155,35.5561,3.4386,3.6164,3.5792,3.4457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.489,3.5185,3.4996,3.5729,55.3131,56.4353,54.3922,53.8594,78.4388,78.4113,78.4657,84.6843,97.1881,98.2005,102.6305,102.0209,91.7053,93.2784,90.5687,95.6476,80.2719,77.2627,78.8898,83.5757
2025-09-02,105.5119,99.6909,103.1447,95.0925,95.8685,94.7098,93.769,95.6526,89.4735,86.8912,89.9049,82.5304,80.7109,81.974,82.6459,82.1893,80.9015,78.3428,79.2406,82.7151,79.9859,78.9406,81.3952,80.8783,82.5147,78.4197,78.6581,86.6075,92.7422,95.3734,99.0989,93.3855,86.5357,87.6382,85.3655,89.2605,38.192,37.5029,38.9779,41.3273,8.1122,7.9034,8.1854,7.6389,1.2048,1.1991,1.2125,1.1836,1.5147,1.5348,1.4761,1.4743,0.6209,0.6515,0.6421,0.6855,0.2099,0.2171,0.2054,0.2076,1.5231,1.5286,1.5139,1.4343,3.5996,3.4879,3.4723,3.5201,14.294,14.2031,14.3948,13.1081,33.0299,33.9755,32.705,31.8496,82.2374,80.6465,82.1699,90.9463,111.3276,106.3578,108.5336,111.861,166.8851,162.7328,165.835,144.5471,114.4281,111.1164,120.3141,121.0214,101.308,104.4097,104.6735,106.4888
2025-09-03,103.2518,108.5489,108.5418,100.5775,96.0535,94.944,95.3644,93.638,83.1572,84.5946,84.8218,87.4264,79.1395,81.8789,78.2358,82.7457,75.3635,72.6994,76.8094,79.3277,77.1879,77.0009,80.6205,69.3907,84.799,81.6668,87.7734,78.6408,91.3039,94.4787,94.3925,91.8249,81.7686,85.5751,83.8123,81.724,17.701,17.2651,17.9619,17.072,0.0,0.0,0.0,0.0,-0.0099,-0.01,-0.0104,-0.0097,-0.0102,-0.0101,-0.0102,-0.0094,-0.0197,-0.0203,-0.0204,-0.0195,-0.0203,-0.0199,-0.0186,-0.0212,-0.0101,-0.01,-0.0099,-0.0099,-0.0102,-0.0101,-0.01,-0.0097,0.0,0.0,0.0,0.0,12.8696,12.8857,12.8928,12.7519,70.5784,70.0505,70.2212,69.1498,103.6596,105.0649,102.0738,101.7216,135.5655,135.1594,133.7316,129.3435,106.414,108.2261,109.3025,105.7775,98.7147,100.9854,100.9907,102.7492
2025-09-04,90.0414,90.1169,88.4529,96.3488,83.1452,82.4261,83.9583,90.4705,79.02,79.0496,80.5065,81.0639,71.9994,71.2241,71.2341,74.6224,68.4337,69.7259,69.701,72.1395,73.0325,72.9029,72.8209,64.0436,84.4602,79.0717,82.1179,78.4302,105.1382,104.541,108.0493,96.4715,98.3999,95.3801,94.7598,85.5803,48.8901,48.8921,50.7051,51.5126,18.0427,17.5955,18.0252,18.6166,5.8318,5.8994,5.7775,5.6512,3.1828,3.2004,3.2111,3.2057,1.6805,1.7489,1.797,1.6536,1.6263,1.5543,1.603,1.6164,1.4962,1.4943,1.5706,1.6389,3.7058,3.6495,3.5487,3.896,6.8343,7.0328,7.0145,7.1584,28.5815,29.0621,27.9994,27.117,66.6623,65.8582,65.3874,66.252,101.9994,104.4886,100.4133,103.0987,115.5982,116.3782,113.0708,106.9129,100.9634,97.6534,105.306,97.8772,87.1904,85.7951,85.5983,83.4162
2025-09-05,90.0586,88.0951,89.7571,89.0892,77.5738,79.8099,77.9554,80.7409,66.1747,64.8437,65.3503,63.6313,63.6604,60.9729,60.3222,55.0445,53.3573,52.2135,54.4786,53.1906,61.9539,60.0773,62.0462,55.9226,76.6178,74.1147,75.7933,80.6343,88.1076,89.4972,91.1255,91.2296,86.5961,88.0785,88.5724,89.633,77.9488,77.6745,79.238,81.5387,35.616,34.5803,34.478,35.3257,9.9718,10.0582,9.892,10.0781,3.4966,3.5038,3.4444,3.6353,3.5075,3.4808,3.6333,3.4584,1.0194,1.0395,1.0378,1.0233,0.6356,0.634,0.6442,0.6862,0.8613,0.8403,0.8389,0.8594,3.3216,3.4922,3.5421,3.7241,45.6341,45.6199,44.9344,44.7316,88.8454,90.748,89.0081,88.3984,99.2897,106.1128,101.753,108.7245,110.0868,110.791,108.7457,98.7765,96.7334,98.5962,92.9289,91.7415,88.8298,88.8036,86.687,89.1996
2025-09-06,77.7045,73.7782,73.5563,73.521,59.0956,60.0048,58.0776,57.942,48.1294,49.2036,47.3408,50.1662,39.2882,39.2367,39.5549,41.5202,34.7011,36.1075,35.4373,32.9541,33.475,33.31,34.0503,33.0048,35.3012,35.6294,35.9802,33.0892,41.1616,40.1496,41.9817,44.7071,34.9555,35.1007,34.4845,35.0592,15.1593,15.4011,15.4177,14.9418,1.7664,1.6471,1.6642,1.8023,0.0,0.0,0.0,0.0,-0.0199,-0.0198,-0.0201,-0.0202,-0.844,-0.8341,-0.8411,-0.9208,-0.9923,-1.0027,-1.0232,-0.9418,-0.1612,-0.1615,-0.1655,-0.1518,-0.0197,-0.0196,-0.0198,-0.0209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.7043,24.6312,24.7388,23.4057,41.4252,43.2411,42.8322,40.5015,57.724,59.1352,57.2969,60.0039,55.5453,54.1566,56.2423,55.8158,41.9127,40.6792,40.0816,35.3266
2025-09-07,22.5884,23.1756,23.5514,22.6846,13.9753,14.0362,13.5335,14.4549,24.7234,24.2373,26.1317,25.5077,21.1994,21.3066,20.915,20.5789,17.7926,18.3846,18.0883,19.0146,25.7752,26.3091,26.3378,26.6979,13.9496,13.7849,13.7267,14.5389,19.9925,20.4848,19.3588,20.1239,26.154,26.4141,26.416,27.0159,25.0018,26.2949,25.5031,24.4002,4.8632,4.7768,4.943,5.2571,0.6798,0.6625,0.6301,0.6675,0.0,0.0,0.0,0.0,0.01,0.01,0.0102,0.0097,0.1641,0.1578,0.1614,0.1567,0.0,0.0,0.0,0.0,0.6318,0.6522,0.6541,0.6619,6.1856,5.9417,6.1265,6.0662,47.381,48.9329,46.7996,46.8865,77.2851,79.8145,77.679,81.3014,95.7004,100.0139,99.059,98.0667,104.8294,109.5239,109.1149,122.7718,106.2606,108.0354,109.308,95.996,98.3796,94.8969,94.83,99.8936
2025-09-08,102.5276,105.5279,107.1785,102.766,90.9441,95.6585,96.27,95.1274,92.1203,97.6608,92.5252,83.8537,85.5756,86.5706,84.5943,85.3395,79.1799,81.6263,82.8292,80.1246,81.5857,83.5018,81.3563,81.4362,95.0719,92.4161,93.0086,87.5833,106.0628,101.6634,104.0702,106.0036,112.4231,108.4391,111.4428,101.135,99.962,94.6848,99.6093,98.5839,83.982,86.2796,85.1195,87.9388,63.0274,62.9108,63.3065,62.7553,51.5457,50.6235,50.97,54.9007,39.2731,39.9131,38.7398,36.314,27.6621,27.7366,26.467,26.9342,26.0845,27.0523,26.0743,29.1089,27.0522,26.4076,26.8626,28.4776,47.9147,49.1485,48.0144,49.4824,71.4216,73.1514,77.5481,70.199,92.0528,87.6725,91.3166,93.5581,103.3922,98.5428,100.758,90.147,97.3986,97.5512,97.2832,88.807,91.0231,90.177,90.0072,90.8328,73.256,73.7068,71.2391,74.1181
2025-09-09,62.9758,63.2786,63.4668,63.5988,62.939,64.3597,63.1984,62.8229,61.0499,60.0071,60.561,64.422,61.7931,61.6568,59.0524,63.5377,62.6577,60.6517,60.4104,62.3203,71.0157,71.0848,68.4688,67.2306,82.5011,81.0806,84.4542,84.3241,97.8546,95.2603,98.8124,92.4727,98.2281,96.2017,97.8419,93.4883,78.0827,80.2869,81.1172,83.3531,54.9186,57.2289,55.2722,52.3004,30.4423,29.4279,30.1069,30.9029,25.5957,27.2505,25.7848,25.369,19.2959,19.7238,19.5045,18.4758,16.7116,17.4109,17.4359,17.2015,8.8777,8.9931,8.9287,8.8405,16.1172,16.3843,16.5769,17.2016,29.6502,30.3252,30.6072,29.4174,56.3071,55.5842,57.5474,54.5614,90.2479,90.6386,88.6362,90.4773,110.8863,113.6155,113.039,107.9393,119.5519,120.0198,120.4785,119.9498,107.9488,109.593,108.8803,113.5779,95.3893,98.3689,97.7884,100.7334
2025-09-10,87.3451,88.5212,89.7835,94.1102,78.4219,83.3963,83.5344,87.0073,84.1754,82.1066,80.759,85.319,82.1255,78.9002,81.9822,81.3921,72.0102,71.5273,73.4209,75.0015,67.4981,65.7932,65.6764,65.0323,74.9265,78.7991,77.613,78.6613,83.8034,86.494,81.6595,85.0831,75.2269,75.9974,75.5422,77.1935,42.9549,45.4162,45.0725,46.9564,8.1634,8.3331,7.97,7.5335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0098,-0.0104,-0.0101,-0.0097,-0.0101,-0.0096,-0.01,-0.0104,-0.0098,-0.0101,-0.0102,-0.0099,-0.0102,-0.01,-0.01,-0.0098,4.943,4.6986,4.8577,5.1007,22.8407,23.3318,22.8797,23.3078,63.1019,61.9307,63.2426,60.4048,100.3551,99.0385,97.8358,86.7706,107.4419,104.2443,103.4039,104.9499,94.6451,96.6376,99.1388,94.6185,81.8867,83.8725,81.043,85.5578
