fecha,t,hora,p_sell [€/MWh],p_buy [€/MWh],p_buy_eff [€/MWh],x_sell [MWh],x_buy [MWh],x_ch [MWh],x_dis [MWh],r_up [MWh],r_down [MWh],a_up [MWh],a_down [MWh],SOC [MWh],y_bat,y_grid,p_disp [€/MWh],p_act_up [€/MWh],p_act_down [€/MWh],capacidad_nominal [MWh],soc_min_limit [MWh]
2026-01-17,1,00:00,139.36,139.36,139.36,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,0.9345,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2026-01-17,2,00:15,136.2,136.2,136.2,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,0.8691,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2026-01-17,3,00:30,135.0,135.0,135.0,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,0.8036,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2026-01-17,4,00:45,131.8,131.8,131.8,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,0.7381,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2026-01-17,5,01:00,130.88,130.88,130.88,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,0.6726,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2026-01-17,6,01:15,127.99,127.99,127.99,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,0.6072,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2026-01-17,7,01:30,124.7,124.7,124.7,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,0.5417,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2026-01-17,8,01:45,123.63,123.63,123.63,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,0.4762,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2026-01-17,9,02:00,124.6,124.6,124.6,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,0.4107,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2026-01-17,10,02:15,123.63,123.63,123.63,0.0574,0.0,0.0,0.0,0.2437,0.0,0.0574,0.0,0.3469,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2026-01-17,11,02:30,122.07,122.07,122.07,0.0439,0.0,0.0,0.0,0.1862,0.0,0.0439,0.0,0.2982,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2026-01-17,12,02:45,121.32,121.32,121.32,0.0336,0.0,0.0,0.0,0.1423,0.0,0.0336,0.0,0.2609,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2026-01-17,13,03:00,120.23,120.23,120.23,0.0,0.2471,0.2471,0.0,-0.0,0.0,0.0,0.0,0.4832,0,1,10.0,114.3,50.73,2.0,0.1399999999999999
2026-01-17,14,03:15,119.99,119.99,119.99,0.0589,-0.0,0.0,0.0,0.25,0.0,0.0589,0.0,0.4178,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2026-01-17,15,03:30,119.99,119.99,119.99,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,0.3523,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2026-01-17,16,03:45,119.14,119.14,119.14,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.5773,1,1,10.0,114.3,50.73,2.0,0.1399999999999999
2026-01-17,17,04:00,119.14,119.14,119.14,0.0589,0.0,0.0,-0.0,0.25,0.0,0.0589,0.0,0.5118,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2026-01-17,18,04:15,119.14,119.14,119.14,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.7368,1,1,10.0,114.3,50.73,2.0,0.1399999999999999
2026-01-17,19,04:30,119.14,119.14,119.14,0.0589,0.0,0.0,-0.0,0.25,0.0,0.0589,0.0,0.6714,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2026-01-17,20,04:45,119.14,119.14,119.14,0.0589,0.0,-0.0,0.0,0.25,0.0,0.0589,0.0,0.6059,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2026-01-17,21,05:00,118.02,118.02,118.02,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.8309,1,1,10.0,114.3,50.73,2.0,0.1399999999999999
2026-01-17,22,05:15,119.11,119.11,119.11,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,1.0559,1,1,10.0,114.3,50.73,2.0,0.1399999999999999
2026-01-17,23,05:30,119.11,119.11,119.11,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,1.2809,1,1,10.0,114.3,50.73,2.0,0.1399999999999999
2026-01-17,24,05:45,119.11,119.11,119.11,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,1.5059,1,1,10.0,114.3,50.73,2.0,0.1399999999999999
2026-01-17,25,06:00,119.99,119.99,119.99,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,1.4404,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2026-01-17,26,06:15,119.99,119.99,119.99,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,1.3749,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2026-01-17,27,06:30,120.0,120.0,120.0,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,1.3095,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2026-01-17,28,06:45,121.43,121.43,121.43,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,1.244,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2026-01-17,29,07:00,119.99,119.99,119.99,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,1.1785,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2026-01-17,30,07:15,121.32,121.32,121.32,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,1.1131,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2026-01-17,31,07:30,123.65,123.65,123.65,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,1.0476,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2026-01-17,32,07:45,127.5,127.5,127.5,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,0.9821,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2026-01-17,33,08:00,123.67,123.67,123.67,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,0.9166,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2026-01-17,34,08:15,124.47,124.47,124.47,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,0.8512,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2026-01-17,35,08:30,128.13,128.13,128.13,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,0.7857,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2026-01-17,36,08:45,130.99,130.99,130.99,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,0.7202,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2026-01-17,37,09:00,124.53,124.53,124.53,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,0.6547,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2026-01-17,38,09:15,123.44,123.44,123.44,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,0.5893,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2026-01-17,39,09:30,120.89,120.89,120.89,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,0.5238,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2026-01-17,40,09:45,119.05,119.05,119.05,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,0.4583,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2026-01-17,41,10:00,124.58,124.58,124.58,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,0.3929,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
