fecha,beneficio [€],energia_vendida [MWh],energia_comprada [MWh],energia_cargada [MWh],energia_descargada [MWh],reserva_up [MWh],reserva_down [MWh],activacion_up [MWh],activacion_down [MWh],precio_medio [€/MWh],precio_max [€/MWh],precio_min [€/MWh],spread [€/MWh]
2025-05-01,631.32,4.3,5.31,5.185,0.0,18.25,0.565,4.3,0.126,13.29,56.44,-10.45,66.89
2025-05-02,656.19,4.3,5.31,5.185,0.0,18.25,0.565,4.3,0.126,10.94,69.94,-4.14,74.07
2025-05-03,638.03,4.3,5.31,5.185,0.0,18.25,0.565,4.3,0.126,16.17,64.81,-3.11,67.92
2025-05-04,643.17,4.123,5.092,4.69,0.0,17.5,1.81,4.123,0.403,11.0,38.15,-5.25,43.41
2025-05-05,647.02,4.3,5.31,5.185,0.0,18.25,0.565,4.3,0.126,10.89,35.56,-4.23,39.79
2025-05-06,660.38,4.361,5.386,5.282,0.08,18.17,0.468,4.281,0.104,10.24,66.75,-4.4,71.15
2025-05-07,647.09,4.3,5.31,5.185,0.0,18.25,0.565,4.3,0.126,19.01,88.04,-0.64,88.68
2025-05-08,651.56,4.302,5.313,5.117,0.08,17.92,0.883,4.222,0.196,16.76,81.5,-0.02,81.53
2025-05-09,642.36,4.361,5.386,5.282,0.08,18.17,0.468,4.281,0.104,18.24,80.59,-0.01,80.6
2025-05-10,646.7,4.241,5.238,5.02,0.0,18.0,0.98,4.241,0.218,9.08,37.73,-10.19,47.93
2025-05-11,661.19,4.241,5.238,5.02,0.0,18.0,0.98,4.241,0.218,2.21,36.19,-15.47,51.66
2025-05-12,645.88,4.898,6.048,5.991,0.936,16.813,0.259,3.961,0.058,21.69,125.2,-4.29,129.49
2025-05-13,615.48,5.51,6.804,6.748,1.97,15.024,0.252,3.54,0.056,41.42,137.14,-2.56,139.71
2025-05-14,596.05,4.322,5.338,5.221,0.048,18.143,0.529,4.275,0.118,30.55,93.03,-4.01,97.05
2025-05-15,647.17,4.241,5.238,5.02,0.0,18.0,0.98,4.241,0.218,11.62,35.93,-5.09,41.02
2025-05-16,659.98,4.3,5.31,5.185,0.0,18.25,0.565,4.3,0.126,4.68,41.86,-10.18,52.04
2025-05-17,646.39,4.3,5.31,5.185,0.0,18.25,0.565,4.3,0.126,10.64,58.51,-11.37,69.89
2025-05-18,648.91,4.295,5.304,5.177,0.0,18.229,0.573,4.295,0.128,6.76,41.18,-16.03,57.22
2025-05-19,646.38,4.3,5.31,5.185,0.0,18.25,0.565,4.3,0.126,12.85,44.55,-2.59,47.15
2025-05-20,651.89,4.241,5.238,5.02,0.0,18.0,0.98,4.241,0.218,13.41,57.12,-3.92,61.04
2025-05-21,625.99,4.3,5.31,5.185,0.0,18.25,0.565,4.3,0.126,20.19,69.16,-1.14,70.3
2025-05-22,659.41,4.241,5.238,5.02,0.0,18.0,0.98,4.241,0.218,3.35,24.69,-5.26,29.95
2025-05-23,658.04,4.241,5.238,5.02,0.0,18.0,0.98,4.241,0.218,5.11,31.49,-3.07,34.56
2025-05-24,652.45,4.241,5.238,5.02,0.0,18.0,0.98,4.241,0.218,7.2,53.37,-9.91,63.28
2025-05-25,647.28,4.241,5.238,5.02,0.0,18.0,0.98,4.241,0.218,6.47,35.35,-15.73,51.08
2025-05-26,640.05,4.361,5.386,5.282,0.08,18.17,0.468,4.281,0.104,17.18,77.38,-0.52,77.9
2025-05-27,625.56,4.493,5.548,5.491,0.252,17.998,0.259,4.24,0.058,26.84,112.66,-0.01,112.67
2025-05-28,609.32,4.491,5.546,5.488,0.25,18.0,0.262,4.241,0.058,27.78,102.8,-0.64,103.44
2025-05-29,610.09,5.1,6.298,6.241,1.278,16.221,0.259,3.822,0.058,35.01,139.78,-0.92,140.7
2025-05-30,563.97,4.316,5.33,5.282,0.0,18.318,0.218,4.316,0.049,43.96,130.89,-0.07,130.97
2025-05-31,561.75,4.287,5.295,5.165,0.014,18.136,0.585,4.273,0.13,40.24,110.02,-5.64,115.66
