fecha,t,hora,p_sell [€/MWh],p_buy [€/MWh],p_buy_eff [€/MWh],x_sell [MWh],x_buy [MWh],x_ch [MWh],x_dis [MWh],r_up [MWh],r_down [MWh],a_up [MWh],a_down [MWh],SOC [MWh],y_bat,y_grid,p_disp [€/MWh],p_act_up [€/MWh],p_act_down [€/MWh],capacidad_nominal [MWh],soc_min_limit [MWh]
2025-09-15,1,00:00,99.59,99.59,99.59,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,0.9345,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2025-09-15,2,00:15,96.09,96.09,96.09,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,0.8691,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2025-09-15,3,00:30,95.74,95.74,95.74,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,0.8036,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2025-09-15,4,00:45,96.7,96.7,96.7,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,0.7381,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2025-09-15,5,01:00,92.49,92.49,92.49,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,0.6726,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2025-09-15,6,01:15,94.39,94.39,94.39,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,0.6072,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2025-09-15,7,01:30,97.01,97.01,97.01,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,0.5417,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2025-09-15,8,01:45,95.92,95.92,95.92,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,0.4762,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2025-09-15,9,02:00,87.05,87.05,87.05,0.0,0.25,0.25,0.0,0.0,-0.0,0.0,0.0,0.7012,1,1,10.0,114.3,50.73,2.0,0.1399999999999999
2025-09-15,10,02:15,90.45,90.45,90.45,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,0.6358,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2025-09-15,11,02:30,85.55,85.55,85.55,0.0,0.25,0.25,0.0,0.0,-0.0,0.0,0.0,0.8608,1,1,10.0,114.3,50.73,2.0,0.1399999999999999
2025-09-15,12,02:45,96.94,96.94,96.94,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,0.7953,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2025-09-15,13,03:00,87.78,87.78,87.78,-0.0,0.25,0.25,0.0,-0.0,-0.0,0.0,0.0,1.0203,1,1,10.0,114.3,50.73,2.0,0.1399999999999999
2025-09-15,14,03:15,89.78,89.78,89.78,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,0.9548,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2025-09-15,15,03:30,88.05,88.05,88.05,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,0.8893,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2025-09-15,16,03:45,90.39,90.39,90.39,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,0.8239,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2025-09-15,17,04:00,85.73,85.73,85.73,0.0,0.25,0.25,0.0,0.0,-0.0,0.0,0.0,1.0489,1,1,10.0,114.3,50.73,2.0,0.1399999999999999
2025-09-15,18,04:15,87.18,87.18,87.18,-0.0,0.25,0.25,0.0,-0.0,-0.0,0.0,0.0,1.2739,1,1,10.0,114.3,50.73,2.0,0.1399999999999999
2025-09-15,19,04:30,89.57,89.57,89.57,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,1.2084,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2025-09-15,20,04:45,88.8,88.8,88.8,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,1.1429,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2025-09-15,21,05:00,97.02,97.02,97.02,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,1.0774,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2025-09-15,22,05:15,97.06,97.06,97.06,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,1.012,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2025-09-15,23,05:30,95.46,95.46,95.46,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,0.9465,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2025-09-15,24,05:45,87.13,87.13,87.13,0.0,0.25,0.25,0.0,0.0,-0.0,0.0,0.0,1.1715,1,1,10.0,114.3,50.73,2.0,0.1399999999999999
2025-09-15,25,06:00,98.03,98.03,98.03,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,1.106,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2025-09-15,26,06:15,99.27,99.27,99.27,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,1.0406,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2025-09-15,27,06:30,95.1,95.1,95.1,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,0.9751,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2025-09-15,28,06:45,96.91,96.91,96.91,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,0.9096,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2025-09-15,29,07:00,118.51,118.51,118.51,0.0589,0.0,0.0,-0.0,0.25,0.0,0.0589,0.0,0.8441,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2025-09-15,30,07:15,123.99,123.99,123.99,0.0589,0.0,0.0,-0.0,0.25,0.0,0.0589,0.0,0.7787,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2025-09-15,31,07:30,122.92,122.92,122.92,0.0589,0.0,0.0,-0.0,0.25,0.0,0.0589,0.0,0.7132,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2025-09-15,32,07:45,117.9,117.9,117.9,0.0589,0.0,0.0,-0.0,0.25,0.0,0.0589,0.0,0.6477,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2025-09-15,33,08:00,126.19,126.19,126.19,0.1608,0.0,0.0,0.1332,0.1168,0.0,0.0275,0.0,0.4691,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2025-09-15,34,08:15,124.55,124.55,124.55,0.0589,0.0,0.0,-0.0,0.25,0.0,0.0589,0.0,0.4036,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2025-09-15,35,08:30,121.97,121.97,121.97,0.0687,0.0,0.0,0.0127,0.2373,0.0,0.0559,0.0,0.3274,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2025-09-15,36,08:45,123.29,123.29,123.29,0.1211,0.0,0.0,0.0814,0.1686,0.0,0.0397,0.0,0.1928,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2025-09-15,37,09:00,82.4,82.4,82.4,-0.0,0.25,0.25,0.0,-0.0,-0.0,0.0,0.0,0.4178,1,1,10.0,114.3,50.73,2.0,0.1399999999999999
2025-09-15,38,09:15,85.79,85.79,85.79,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,0.3523,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2025-09-15,39,09:30,86.04,86.04,86.04,0.0494,0.0,0.0,0.0043,0.1911,0.0,0.045,0.0,0.2974,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2025-09-15,40,09:45,82.56,82.56,82.56,0.1417,0.0,0.0,0.1083,0.1417,0.0,0.0334,0.0,0.14,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2025-09-15,41,10:00,34.32,34.32,34.32,0.0,0.25,0.25,0.0,0.0,-0.0,0.0,0.0,0.365,1,1,10.0,114.3,50.73,2.0,0.1399999999999999
2025-09-15,42,10:15,34.58,34.58,34.58,0.0,0.1314,0.0974,0.0,0.0,0.1526,0.0,0.0339,0.4833,1,1,10.0,114.3,50.73,2.0,0.1399999999999999
