fecha,sim_id,tipo,beneficio_real [€],beneficio_previsto [€],desviacion [€],desviacion [%],ingreso_spot_real [€],ingreso_disp_real [€],ingreso_act_real [€],coste_deg_real [€],energia_no_cargada [MWh],energia_no_operada [MWh],intervalos_soc_critico,soc_final [MWh],soc_final_desv [MWh],pi_disp_real [€/MWh],pi_act_up_real [€/MWh],pi_act_down_real [€/MWh],factor_act_up,factor_act_down,n_pujas_perdidas,n_fallos_tecnicos,extremo
2025-10-19,1,normal,622.3682,592.3098,30.0584,5.07,98.4859,207.9705,335.2865,19.3747,0.25,0.0,3,0.5213,-0.4787,10.9825,109.6396,50.5813,1.1168,1.2956,3,1,False
2025-10-19,2,normal,675.0882,592.3098,82.7784,13.98,101.5236,188.2307,403.374,18.0401,0.4625,0.0,5,0.7134,-0.2866,9.9401,131.6695,56.5375,1.0275,0.9614,7,1,False
2025-10-19,3,normal,605.0319,592.3098,12.7221,2.15,99.5252,188.9895,335.4474,18.9301,0.3893,0.0,8,0.5772,-0.4228,9.9802,108.1847,57.8177,1.1407,1.2128,7,3,False
2025-10-19,4,normal,621.4319,592.3098,29.1221,4.92,97.6775,176.0053,365.7875,18.0384,0.7125,0.0,10,0.5113,-0.4887,9.2945,117.4513,45.8839,1.1097,0.833,4,2,False
2025-10-19,5,normal,517.3949,592.3098,-74.9149,-12.65,102.8431,183.5938,247.2811,16.3231,0.4625,0.0,0,1.2272,0.2272,9.6952,109.6702,50.9635,0.8312,0.7735,6,1,False
2025-10-19,6,normal,529.9208,592.3098,-62.389,-10.53,95.8926,198.2064,254.7594,18.9375,0.0,0.0,0,1.0342,0.0342,10.4669,97.128,48.7757,1.0128,1.1383,4,1,False
2025-10-19,7,normal,557.1657,592.3098,-35.1441,-5.93,102.4874,188.2324,284.7981,18.3523,0.0,0.1427,0,0.8828,-0.1172,9.9402,108.2601,48.3876,0.9762,0.9985,6,1,False
2025-10-19,8,normal,603.01,592.3098,10.7001,1.81,92.3966,184.0798,345.0962,18.5627,0.0,0.3656,5,0.5153,-0.4847,9.7209,114.9475,44.0373,1.0544,1.0187,3,2,False
2025-10-19,9,normal,590.0096,592.3098,-2.3002,-0.39,96.8232,172.1533,339.0401,18.0069,0.3656,0.0,0,0.6885,-0.3115,9.0911,118.798,54.5802,0.9901,0.9871,7,0,False
2025-10-19,10,normal,626.5376,592.3098,34.2278,5.78,94.616,185.1959,364.0454,17.3197,0.25,0.0,0,1.1921,0.1921,9.7798,137.6275,43.8836,0.8633,1.1961,5,0,False
2025-10-19,11,normal,569.8095,592.3098,-22.5003,-3.8,103.0525,190.8025,292.5825,16.628,0.25,0.1393,0,1.1939,0.1939,10.0759,121.9959,53.4772,0.8579,0.931,7,3,False
