fecha,beneficio_previsto [€],ben_medio [€],ben_std [€],ben_P10 [€],ben_P50 [€],ben_P90 [€],VaR_95 [€],pct_negativo [%],desv_media [€],desv_media [%],penalizacion_soc_media [€],energia_recortada_media [MWh],soc_final_desv_media [MWh],ben_extremo_medio [€],peor_escenario [€],CVaR_95 [€],soc_critico_medio,penalizacion_soc_ext [€],energia_recortada_ext [MWh],pujas_perdidas_media,fallos_tecnicos_media,n_sim_normal,n_sim_extremo
2025-11-01,537.6,516.69,51.11,450.28,513.79,583.08,437.88,0.0,-20.91,-3.9,11.35,0.2357,-0.1222,528.16,208.19,255.35,14.5,18.7,1.6877,4.8,2.0,200,40
2025-11-02,582.69,556.59,54.7,489.63,555.93,627.15,460.68,0.0,-26.1,-4.5,14.2,0.1572,-0.2495,525.53,306.08,325.54,11.8,22.37,1.025,4.9,2.0,200,40
2025-11-03,417.27,406.43,49.15,347.43,402.09,466.46,334.51,0.0,-10.83,-2.6,12.08,0.3453,-0.0091,441.46,153.73,203.51,13.6,20.94,1.18,4.6,1.9,200,40
2025-11-04,536.81,512.53,50.07,446.91,511.43,576.52,438.06,0.0,-24.28,-4.5,11.64,0.2491,-0.0836,511.93,282.67,283.68,12.0,17.21,1.1434,4.8,1.7,200,40
2025-11-05,603.75,571.57,53.72,505.29,563.98,643.06,489.16,0.0,-32.19,-5.3,6.53,0.1965,-0.0741,562.9,341.34,355.52,12.1,11.93,1.0905,5.0,2.0,200,40
2025-11-06,591.86,573.15,50.2,512.63,567.91,643.97,491.71,0.0,-18.71,-3.2,8.37,0.2636,-0.0918,571.17,371.97,381.0,14.4,15.02,1.4518,4.9,2.0,200,40
2025-11-07,409.89,385.66,49.79,324.13,386.79,452.18,298.08,0.0,-24.23,-5.9,15.49,0.2624,-0.0837,347.74,112.47,127.49,8.2,31.61,0.642,4.5,1.9,200,40
2025-11-08,555.99,531.77,48.02,467.33,531.64,591.71,450.24,0.0,-24.22,-4.4,10.52,0.1788,-0.136,528.74,280.54,312.43,11.6,18.84,0.8829,4.7,2.1,200,40
2025-11-09,496.02,472.07,48.74,412.92,469.13,541.12,401.85,0.0,-23.95,-4.8,16.23,0.1986,-0.1486,515.37,167.9,208.57,9.0,28.21,0.9691,4.6,1.9,200,40
2025-11-10,393.69,375.93,46.28,318.87,368.92,434.59,301.57,0.0,-17.76,-4.5,12.58,0.2906,-0.0519,410.58,102.58,144.25,14.6,23.45,1.5424,4.9,2.1,200,40
2025-11-11,450.82,430.0,47.98,374.92,425.53,493.98,361.57,0.0,-20.81,-4.6,14.2,0.2112,-0.0558,419.63,227.06,246.1,12.0,30.22,1.1319,4.6,1.8,200,40
2025-11-12,621.0,592.62,53.53,528.44,590.5,660.4,514.94,0.0,-28.39,-4.6,6.37,0.2711,-0.0593,523.91,331.34,333.93,9.5,12.11,0.8618,4.8,2.1,200,40
2025-11-13,562.21,533.37,55.4,467.89,528.13,601.25,450.28,0.0,-28.85,-5.1,7.08,0.2956,-0.099,487.75,296.08,306.74,11.5,12.44,0.9746,4.8,2.1,200,40
2025-11-14,587.36,559.6,55.46,486.78,558.38,628.44,474.16,0.0,-27.76,-4.7,6.39,0.2189,-0.054,490.49,249.12,252.11,14.4,12.68,1.2498,4.6,1.9,200,40
2025-11-15,543.99,514.38,57.15,443.51,513.72,588.47,430.9,0.0,-29.62,-5.4,8.43,0.2442,-0.0884,469.2,279.21,283.86,11.6,14.75,0.9447,4.9,1.9,200,40
2025-11-16,578.55,558.31,52.71,493.25,564.9,627.2,476.88,0.0,-20.24,-3.5,11.28,0.2041,-0.2079,527.3,342.9,347.76,8.3,17.35,0.619,4.7,1.8,200,40
2025-11-17,381.71,358.25,47.65,297.6,356.26,421.23,284.15,0.0,-23.47,-6.1,19.45,0.2562,-0.1297,320.5,150.43,160.91,10.6,36.28,0.8749,5.1,2.0,200,40
2025-11-18,414.37,396.2,52.78,336.05,388.47,472.71,317.13,0.0,-18.17,-4.4,15.44,0.2479,-0.0584,397.43,178.34,190.2,11.3,34.74,1.0666,4.7,2.0,200,40
2025-11-19,219.51,187.85,51.82,118.82,184.39,256.26,108.73,0.0,-31.66,-14.4,26.14,0.252,-0.0713,178.92,-57.32,-51.57,12.0,46.56,0.9323,5.0,1.8,200,40
2025-11-20,341.97,320.57,45.03,264.29,317.66,371.9,251.73,0.0,-21.4,-6.3,18.34,0.2942,-0.0969,318.01,44.29,48.56,11.6,28.9,1.1156,4.7,2.1,200,40
2025-11-21,520.05,503.42,48.38,444.38,502.71,562.63,422.45,0.0,-16.63,-3.2,13.21,0.2879,-0.1437,524.76,322.33,332.21,12.4,24.03,1.3649,5.0,1.8,200,40
2025-11-22,483.97,462.25,50.31,404.73,455.66,529.57,383.39,0.0,-21.72,-4.5,12.21,0.3,-0.0787,508.77,211.69,243.4,13.0,21.29,1.0673,4.8,2.0,200,40
2025-11-23,573.98,549.54,53.41,483.35,551.54,624.03,453.17,0.0,-24.44,-4.3,9.82,0.2435,-0.1103,496.37,334.24,341.19,11.8,16.32,0.959,4.8,1.9,200,40
2025-11-24,532.9,507.67,55.65,439.23,506.5,582.75,416.08,0.0,-25.23,-4.7,10.37,0.2217,-0.12,513.98,204.6,234.05,12.8,19.79,1.2308,4.9,2.1,200,40
2025-11-25,567.04,543.54,48.74,486.02,542.41,604.74,464.11,0.0,-23.5,-4.1,10.53,0.2496,-0.067,529.16,327.18,340.93,12.8,17.87,1.1055,4.7,1.9,200,40
2025-11-26,473.22,458.54,48.63,396.9,453.62,528.68,383.06,0.0,-14.67,-3.1,12.64,0.3176,-0.0854,450.77,298.12,300.25,12.6,25.58,1.0595,4.9,2.0,200,40
2025-11-27,344.87,328.97,48.03,267.43,331.39,386.43,251.19,0.0,-15.9,-4.6,10.78,0.3794,-0.0638,337.61,-7.92,38.51,12.7,21.27,1.2055,4.8,1.8,200,40
2025-11-28,243.95,225.81,44.18,177.75,222.37,280.52,156.7,0.0,-18.15,-7.4,20.52,0.31,-0.0987,236.03,72.17,74.56,11.9,40.37,1.2686,4.7,1.8,200,40
2025-11-29,308.86,272.22,49.82,207.9,272.56,330.16,198.13,0.0,-36.64,-11.9,24.7,0.2244,-0.1539,250.88,68.97,81.45,14.3,36.43,1.2261,4.7,1.8,200,40
2025-11-30,335.84,313.16,54.89,251.09,306.33,385.4,238.66,0.0,-22.67,-6.8,17.18,0.2689,-0.0637,285.38,34.06,46.2,12.7,28.66,1.0413,4.7,1.9,200,40
