fecha,sim_id,tipo,beneficio_real [€],beneficio_previsto [€],desviacion [€],desviacion [%],ingreso_spot_real [€],ingreso_disp_real [€],ingreso_act_real [€],coste_deg_real [€],penalizacion_soc [€],soc_final [MWh],soc_final_desv [MWh],precio_medio_dia [€/MWh],energia_no_cargada [MWh],energia_no_operada [MWh],energia_recortada [MWh],intervalos_soc_critico,pi_disp_real [€/MWh],pi_act_up_real [€/MWh],pi_act_down_real [€/MWh],factor_act_up,factor_act_down,n_pujas_perdidas,n_fallos_tecnicos,extremo
2026-01-15,1,normal,204.5913,170.4848,34.1065,20.01,25.2346,175.2248,62.1574,19.0516,38.9739,0.6401,-0.3599,108.2876,0.25,0.0,0.0,0,9.5592,127.903,52.4333,1.0874,1.0926,4,4,False
2026-01-15,2,normal,172.0186,170.4848,1.5338,0.9,-12.7979,187.8515,43.9305,18.1887,28.7769,1.2642,0.2642,108.9339,0.0,0.0,0.0,0,10.2481,125.0601,56.1591,0.9075,0.8877,1,3,False
2026-01-15,3,normal,238.428,170.4848,67.9432,39.85,17.5148,188.5005,75.3527,15.2105,27.7295,1.2591,0.2591,107.0063,0.4682,0.5,0.0,0,10.2835,136.035,48.2796,0.7708,1.1397,3,4,False
2026-01-15,4,normal,128.8542,170.4848,-41.6306,-24.42,-10.162,174.1763,28.3273,19.1418,44.3456,0.59,-0.41,108.1601,0.25,0.0,0.157,4,9.502,119.3118,44.2538,1.0749,0.8849,2,0,False
2026-01-15,5,normal,129.386,170.4848,-41.0988,-24.11,8.171,174.3396,10.6621,19.2111,44.5757,0.59,-0.41,108.7212,0.2309,0.0,0.1992,4,9.511,115.314,43.2689,1.1033,1.0172,5,1,False
2026-01-15,6,normal,185.8344,170.4848,15.3496,9.0,-2.2977,182.7336,37.2886,17.2504,14.6397,1.136,0.136,107.6345,0.25,0.25,0.0,0,9.9689,121.489,56.6733,0.9149,1.3341,6,4,False
2026-01-15,7,normal,136.4933,170.4848,-33.9916,-19.94,21.0847,189.3533,-49.1223,19.0117,5.8107,1.054,0.054,107.5682,0.0,0.0,0.0,0,10.33,101.6544,53.9592,0.9656,1.0598,2,0,False
2026-01-15,8,normal,126.8844,170.4848,-43.6004,-25.57,-24.279,190.3306,22.1406,17.3318,43.9761,0.59,-0.41,107.2588,0.75,0.0,0.3615,7,10.3833,117.0288,62.8452,1.0285,0.8241,6,0,False
2026-01-15,9,normal,134.3253,170.4848,-36.1595,-21.21,6.7029,184.527,2.4821,19.9794,39.4073,0.6274,-0.3726,105.7704,0.0,0.0,0.0,0,10.0667,111.3795,47.2518,1.1078,0.932,7,2,False
2026-01-15,10,normal,88.4404,170.4848,-82.0444,-48.12,-18.3569,187.1674,-22.4732,19.0597,38.8372,0.6356,-0.3644,106.5819,0.25,0.0,0.0,0,10.2108,105.8884,52.8181,1.0433,0.6587,5,1,False
