fecha,beneficio_previsto [€],ben_medio [€],ben_std [€],ben_P10 [€],ben_P50 [€],ben_P90 [€],VaR_95 [€],pct_negativo [%],desv_media [€],desv_media [%],ben_extremo_medio [€],peor_escenario [€],CVaR_95 [€],soc_critico_medio,pujas_perdidas_media,fallos_tecnicos_media,n_sim_normal,n_sim_extremo
2026-02-01,672.57,672.87,61.39,590.42,669.8,753.72,578.07,0.0,0.3,0.0,778.9,355.79,395.12,11.4,4.8,2.0,200,40
2026-02-02,662.11,661.04,80.39,579.84,651.25,752.0,547.4,0.0,-1.07,-0.2,709.13,371.3,391.77,12.1,4.9,2.0,200,40
2026-02-03,719.01,723.75,61.21,653.97,713.88,812.12,640.56,0.0,4.73,0.7,813.77,552.82,554.75,11.9,4.6,1.9,200,40
2026-02-04,650.46,644.49,72.01,551.18,642.17,744.49,538.46,0.0,-5.97,-0.9,716.96,327.75,340.84,11.6,4.8,1.7,200,40
2026-02-05,666.93,652.13,87.28,556.81,640.48,760.96,536.99,0.0,-14.8,-2.2,733.98,370.46,373.19,11.9,5.0,2.0,200,40
2026-02-06,665.65,664.33,85.16,569.81,649.73,763.31,552.6,0.0,-1.31,-0.2,729.93,384.45,385.83,14.3,4.9,2.0,200,40
2026-02-07,663.77,664.3,85.02,564.6,653.93,771.09,544.26,0.0,0.54,0.1,641.79,338.99,356.57,8.7,4.5,1.9,200,40
2026-02-08,665.33,658.77,77.4,565.61,654.74,759.97,539.23,0.0,-6.56,-1.0,745.64,343.11,368.64,9.0,4.7,2.1,200,40
2026-02-09,695.43,693.19,59.56,615.57,690.03,772.43,596.11,0.0,-2.24,-0.3,789.01,437.12,461.29,10.1,4.6,1.9,200,40
2026-02-10,666.35,655.41,83.5,559.53,647.41,762.65,534.43,0.0,-10.94,-1.6,787.53,321.37,323.56,15.7,4.9,2.1,200,40
2026-02-11,666.4,656.99,82.86,566.38,649.34,772.64,538.46,0.0,-9.41,-1.4,706.1,345.98,351.17,12.4,4.6,1.8,200,40
2026-02-12,663.42,657.64,82.42,559.41,658.89,766.98,544.67,0.0,-5.78,-0.9,619.7,322.51,326.11,8.8,4.8,2.1,200,40
2026-02-13,666.61,667.23,90.28,570.89,654.4,793.19,537.11,0.0,0.62,0.1,681.01,350.02,368.57,10.9,4.8,2.1,200,40
2026-02-14,665.53,655.95,86.85,546.78,647.28,762.02,527.92,0.0,-9.58,-1.4,668.75,252.25,261.16,12.5,4.6,1.9,200,40
2026-02-15,666.62,658.96,94.56,549.52,642.7,768.62,536.6,0.0,-7.66,-1.1,681.8,375.45,379.95,11.8,4.9,1.9,200,40
2026-02-16,666.92,671.06,86.07,560.96,672.85,774.94,545.35,0.0,4.14,0.6,670.97,379.99,395.91,8.6,4.7,1.8,200,40
2026-02-17,671.24,672.96,67.23,590.82,670.61,758.16,576.71,0.0,1.72,0.3,658.45,393.12,399.08,11.7,5.1,2.0,200,40
2026-02-18,629.41,625.67,79.13,541.58,607.0,721.57,527.04,0.0,-3.73,-0.6,669.78,316.75,325.81,12.5,4.7,2.0,200,40
2026-02-19,652.22,643.04,74.2,553.44,641.58,735.42,533.41,0.0,-9.18,-1.4,676.96,294.2,315.75,10.2,5.0,1.8,200,40
2026-02-20,644.98,647.89,61.38,586.19,638.14,733.33,572.5,0.0,2.92,0.5,710.48,370.07,380.69,10.6,4.7,2.1,200,40
2026-02-21,616.67,618.81,64.15,535.92,620.19,698.46,520.47,0.0,2.15,0.3,682.62,399.78,400.12,15.0,5.0,1.8,200,40
2026-02-22,638.94,635.24,65.57,554.27,630.93,718.72,536.03,0.0,-3.7,-0.6,750.14,424.7,437.59,12.8,4.8,2.0,200,40
2026-02-23,709.09,709.88,58.58,637.07,707.65,791.97,617.95,0.0,0.79,0.1,716.39,514.27,520.85,8.2,4.8,1.9,200,40
2026-02-24,639.9,633.45,59.81,564.06,631.32,711.68,542.95,0.0,-6.45,-1.0,719.42,344.85,390.74,11.6,4.9,2.1,200,40
2026-02-25,655.57,654.52,60.6,583.66,648.8,731.99,570.13,0.0,-1.05,-0.2,687.41,401.32,430.87,11.4,4.7,1.9,200,40
2026-02-26,650.03,653.48,67.39,576.69,641.22,754.28,564.27,0.0,3.45,0.5,691.37,417.83,419.7,11.8,4.9,2.0,200,40
2026-02-27,632.21,633.1,81.97,532.53,627.31,741.82,506.97,0.0,0.88,0.1,677.28,322.23,353.3,12.0,4.8,1.8,200,40
2026-02-28,645.18,651.16,85.37,555.22,645.65,751.33,532.25,0.0,5.98,0.9,727.76,377.2,382.31,12.4,4.7,1.8,200,40
