beneficio_real [€],beneficio_previsto [€],desviacion [€],desviacion [%],ingreso_spot_real [€],ingreso_disp_real [€],ingreso_act_real [€],coste_deg_real [€],penalizacion_soc [€],soc_final [MWh],soc_final_desv [MWh],precio_medio_dia [€/MWh],energia_no_cargada [MWh],energia_no_operada [MWh],energia_recortada [MWh],intervalos_soc_critico,pi_disp_real [€/MWh],pi_act_up_real [€/MWh],pi_act_down_real [€/MWh],factor_act_up,factor_act_down,n_pujas_perdidas,n_fallos_tecnicos,extremo,sim_id
175.9209,297.5671,-121.6462,-40.88,35.8535,200.3809,17.9326,11.3243,66.9218,1.7589,0.7589,88.1874,0.4773,0.5,0.0,0,10.7651,109.4686,48.6257,0.356,0.5772,13,8,True,1
170.9508,297.5671,-126.6163,-42.55,4.5676,209.9602,41.5925,12.342,72.8277,1.8188,0.8188,88.9427,0.3848,0.4183,0.0,0,11.2798,115.1999,70.6727,0.4382,0.4957,7,7,True,2
380.4078,297.5671,82.8408,27.84,23.7788,200.1745,190.3819,17.5685,16.3589,0.8084,-0.1916,85.3736,0.25,0.25,0.0,0,10.754,139.6726,78.3691,0.9788,1.3868,14,5,True,3
289.6215,297.5671,-7.9455,-2.67,5.3018,163.2797,189.6345,15.3459,53.2485,0.365,-0.635,83.8559,1.094,0.25,6.9193,48,8.7719,132.3562,56.3782,2.637,0.8979,17,5,True,4
230.9528,297.5671,-66.6143,-22.39,10.347,168.4854,124.5161,15.0261,57.3697,0.365,-0.635,90.3459,0.9773,0.4592,1.8582,26,9.0516,129.765,90.1964,1.3487,0.9989,20,5,True,5
331.2385,297.5671,33.6714,11.32,15.9089,180.7095,172.2592,17.0364,20.6027,1.2299,0.2299,89.6078,0.2092,0.25,0.0,0,9.7083,146.0716,34.2083,0.8662,2.4555,13,4,True,6
99.3003,297.5671,-198.2668,-66.63,15.1041,173.705,-40.9125,14.4705,34.1259,0.59,-0.41,83.2339,1.2096,0.2273,0.9354,16,9.332,75.5327,44.1793,1.0513,0.796,16,3,True,7
171.0523,297.5671,-126.5148,-42.52,-20.5934,181.7181,24.5376,14.2478,0.3622,1.0042,0.0042,86.0521,0.6683,0.6156,0.0,0,9.7625,96.4567,105.011,0.7652,0.6937,7,5,True,8
483.6722,297.5671,186.1051,62.54,61.0098,201.714,291.0672,15.9676,54.1513,0.365,-0.635,85.2777,0.943,0.25,0.3598,7,10.8368,167.1579,50.012,1.0656,1.1727,12,6,True,9
242.5211,297.5671,-55.0459,-18.5,44.7353,157.2982,90.2217,17.3796,32.3545,0.6128,-0.3872,83.5673,0.4592,0.25,0.0,0,8.4506,110.4559,68.0508,1.0088,1.4508,18,5,True,10
254.0408,297.5671,-43.5263,-14.63,23.988,195.9076,89.4373,16.4314,38.8607,0.59,-0.41,94.7822,0.4592,0.5,1.2735,21,10.5248,128.5519,60.9103,1.2556,1.1945,16,5,True,11
117.79,297.5671,-179.7771,-60.42,-13.2009,194.8912,0.0167,13.9853,49.9317,1.5665,0.5665,88.1384,0.8247,0.2273,0.0,0,10.4702,91.6112,57.7229,0.6747,1.5998,17,4,True,12
156.4545,297.5671,-141.1125,-47.42,8.8671,166.0341,39.3433,14.8596,42.9304,1.4825,0.4825,88.9724,0.7092,0.1156,0.0,0,8.9199,109.6119,50.9504,0.7559,1.6329,10,7,True,13
