fecha,H1Q1,H1Q2,H1Q3,H1Q4,H2Q1,H2Q2,H2Q3,H2Q4,H3Q1,H3Q2,H3Q3,H3Q4,H4Q1,H4Q2,H4Q3,H4Q4,H5Q1,H5Q2,H5Q3,H5Q4,H6Q1,H6Q2,H6Q3,H6Q4,H7Q1,H7Q2,H7Q3,H7Q4,H8Q1,H8Q2,H8Q3,H8Q4,H9Q1,H9Q2,H9Q3,H9Q4,H10Q1,H10Q2,H10Q3,H10Q4,H11Q1,H11Q2,H11Q3,H11Q4,H12Q1,H12Q2,H12Q3,H12Q4,H13Q1,H13Q2,H13Q3,H13Q4,H14Q1,H14Q2,H14Q3,H14Q4,H15Q1,H15Q2,H15Q3,H15Q4,H16Q1,H16Q2,H16Q3,H16Q4,H17Q1,H17Q2,H17Q3,H17Q4,H18Q1,H18Q2,H18Q3,H18Q4,H19Q1,H19Q2,H19Q3,H19Q4,H20Q1,H20Q2,H20Q3,H20Q4,H21Q1,H21Q2,H21Q3,H21Q4,H22Q1,H22Q2,H22Q3,H22Q4,H23Q1,H23Q2,H23Q3,H23Q4,H24Q1,H24Q2,H24Q3,H24Q4
2025-12-01,92.96,90.93,84.19,80.0,81.53,75.39,74.33,71.88,71.0,70.0,71.0,70.0,69.9,70.0,70.0,70.72,75.0,75.25,79.0,80.0,82.63,84.21,93.04,95.07,95.07,98.98,100.82,103.82,100.82,103.82,109.0,119.74,125.01,120.47,107.0,101.54,118.04,100.1,87.92,74.78,88.0,79.01,70.14,63.32,70.0,67.9,67.9,67.0,71.82,70.5,70.5,70.37,69.72,69.72,69.0,69.85,69.72,69.72,69.98,70.11,70.37,70.5,72.63,80.0,70.35,82.06,90.2,100.0,87.44,92.76,98.98,101.3,102.08,104.6,105.8,107.0,120.0,123.0,123.82,125.01,130.35,145.56,145.56,130.01,159.68,145.56,127.27,120.47,123.82,107.07,104.07,101.06,100.58,98.47,94.06,90.0
2025-12-02,82.54,80.53,78.21,74.82,80.35,78.9,74.99,71.2,75.0,72.1,71.0,70.82,70.0,68.68,68.5,67.91,67.91,67.5,67.91,68.5,67.37,67.91,70.0,75.13,71.2,78.6,85.0,89.18,85.0,88.0,92.82,95.34,95.07,95.82,95.72,95.34,96.3,95.02,89.16,85.19,90.63,86.0,83.0,79.94,86.0,82.63,81.78,79.64,82.54,80.53,80.53,77.6,78.13,75.13,71.34,71.0,71.0,71.2,72.34,75.13,76.35,82.54,85.05,93.9,80.53,85.61,88.75,95.82,95.58,100.0,122.88,127.27,109.63,125.68,128.17,140.06,127.25,127.27,125.73,125.01,123.82,123.82,120.0,113.57,113.16,103.75,99.41,96.3,97.98,96.06,95.07,87.0,95.07,87.0,85.66,82.98
2025-12-03,92.07,88.98,80.4,78.74,81.21,78.74,78.74,78.74,78.74,76.36,72.47,70.5,70.27,67.72,67.37,67.24,67.24,66.98,67.11,67.24,70.15,71.2,72.47,75.1,71.34,76.56,80.4,83.3,85.4,95.0,95.58,96.3,103.43,100.86,98.53,96.54,96.4,93.3,78.74,67.07,77.5,70.82,65.0,56.2,50.0,40.0,35.0,27.55,25.54,20.0,20.0,16.99,16.57,16.2,15.0,14.0,14.0,14.0,15.0,15.35,16.68,21.6,36.17,50.0,40.56,65.9,70.82,80.61,76.36,85.05,95.34,96.4,96.54,98.53,104.75,109.92,98.39,100.0,100.09,98.39,98.39,97.98,96.06,95.1,93.3,93.3,87.0,81.44,90.0,86.55,85.0,80.35,84.84,78.74,75.34,65.26
2025-12-04,70.0,65.5,56.46,52.34,64.0,55.37,54.2,50.21,54.9,52.34,45.0,38.96,50.33,45.0,40.33,36.5,35.89,32.89,35.86,38.16,42.5,41.77,50.0,51.72,54.9,56.8,63.85,70.7,70.0,76.36,80.0,82.5,85.31,86.53,84.0,82.0,84.0,80.0,76.82,70.89,73.08,70.0,63.32,57.5,65.2,59.49,54.91,52.37,52.37,51.98,51.72,50.33,50.0,50.0,47.75,44.0,44.0,45.0,50.0,50.33,51.85,52.24,54.2,54.9,54.9,60.0,70.7,76.82,71.9,76.82,80.61,87.1,80.85,84.0,87.1,90.1,87.1,88.0,90.0,90.74,90.0,90.0,88.68,86.69,86.04,86.78,87.1,81.83,83.9,82.0,80.0,75.0,73.08,67.5,63.32,57.5
2025-12-05,76.08,75.46,74.01,70.0,70.0,63.32,60.0,56.9,56.9,56.52,56.52,56.5,55.41,55.34,55.27,55.27,54.2,54.2,55.2,55.41,56.5,56.63,57.9,66.72,61.88,72.01,74.5,75.94,74.74,77.49,81.31,86.0,86.74,88.43,89.0,87.85,87.38,86.43,84.99,80.61,87.85,83.48,80.72,76.08,76.71,75.46,74.74,72.21,72.34,67.99,63.32,57.3,56.52,56.45,55.2,53.5,53.5,54.2,55.27,56.37,60.0,67.0,70.0,74.5,72.34,76.08,80.35,84.37,81.31,83.96,85.0,87.0,86.43,87.04,87.3,87.85,82.38,84.94,83.0,81.68,81.31,80.49,79.0,75.94,77.76,75.0,70.43,64.1,70.43,69.0,69.0,63.32,61.6,56.63,54.8,52.85
2025-12-06,48.59,35.02,28.85,22.85,23.07,20.0,22.99,25.3,25.3,18.36,16.9,16.57,16.57,15.99,14.0,14.0,14.0,13.99,12.8,10.0,10.94,13.42,15.12,15.21,16.68,17.51,17.99,18.3,18.36,23.24,24.22,27.56,19.95,23.09,27.86,29.33,35.01,35.01,25.72,25.0,32.0,30.0,25.01,17.95,20.0,18.62,16.79,14.98,19.55,17.38,19.91,17.46,16.64,16.57,13.75,14.3,13.96,16.5,17.1,18.88,13.95,16.68,18.08,29.33,20.77,27.6,35.01,38.08,45.95,50.24,52.82,59.0,54.7,60.0,61.5,68.0,62.37,64.06,66.0,67.36,68.63,70.14,70.64,70.2,71.24,70.24,68.1,65.0,74.64,70.64,66.0,56.5,55.16,52.82,51.5,50.0
2025-12-07,40.0,37.17,31.12,25.0,27.0,26.24,22.75,20.0,25.0,25.0,23.84,17.01,21.01,17.01,16.68,16.0,14.83,10.9,10.47,7.8,13.69,14.0,14.51,15.92,16.68,18.82,17.98,20.0,17.43,18.23,19.31,21.0,28.19,17.01,17.58,16.9,22.95,16.46,22.59,3.33,16.9,13.67,9.01,4.96,10.0,7.7,4.96,2.4,1.0,0.66,0.65,0.66,0.5,0.5,0.5,0.5,0.66,0.66,0.9,1.0,1.0,1.8,7.03,8.36,4.96,8.38,17.01,29.97,31.5,46.0,55.16,67.01,69.22,70.64,75.26,79.41,80.95,82.76,83.5,84.92,88.8,89.7,90.0,89.86,94.0,95.01,90.53,85.02,85.02,82.76,79.24,74.19,76.1,71.6,69.7,68.98
2025-12-08,72.02,71.7,71.13,70.5,70.5,68.5,65.0,58.1,55.53,54.15,50.0,50.0,50.0,50.0,50.0,50.0,47.04,47.04,47.04,48.72,50.0,50.0,50.35,50.35,49.03,50.0,51.65,57.5,62.7,66.82,70.01,70.08,70.08,68.5,60.0,58.0,68.5,50.35,35.01,26.96,35.75,29.01,25.5,21.01,24.98,20.3,24.85,21.95,23.01,20.0,20.68,20.0,16.46,16.46,11.0,12.57,13.29,15.4,16.57,16.9,20.0,24.98,25.24,29.01,20.81,29.41,43.2,64.08,68.5,71.7,75.34,88.68,77.05,82.0,85.0,89.17,90.83,90.12,91.0,92.42,95.87,97.0,96.5,95.7,100.01,96.14,95.01,90.0,87.9,83.85,79.0,75.34,76.7,73.36,71.46,70.0
2025-12-09,60.0,57.62,54.7,50.39,50.3,48.0,45.37,45.0,45.0,44.98,44.85,40.0,44.85,40.0,37.8,37.25,36.5,36.2,36.5,37.25,38.0,40.0,44.98,45.5,50.35,55.0,57.62,65.06,69.7,79.0,82.49,87.01,89.17,87.13,85.78,81.0,83.39,65.01,55.21,45.11,52.57,44.85,32.48,16.68,16.79,14.28,9.6,5.76,11.19,9.38,10.9,13.2,11.52,11.79,10.9,12.21,10.9,16.46,16.79,23.0,25.01,34.2,44.98,50.5,50.12,60.0,79.08,89.82,79.94,88.5,97.5,104.83,100.0,104.83,105.74,106.7,108.0,116.7,122.37,123.32,124.27,125.68,128.16,127.75,145.0,130.0,124.27,121.42,106.94,105.98,104.83,100.01,102.55,95.67,90.35,89.17
2025-12-10,100.01,99.5,97.0,92.0,90.0,89.02,85.91,84.97,86.86,85.0,85.0,84.97,82.0,81.0,81.0,83.2,83.08,83.35,84.97,85.0,85.0,85.91,89.0,89.82,89.82,95.01,99.53,101.6,101.08,103.56,112.14,116.22,110.35,115.5,115.98,115.74,112.14,110.35,107.0,104.6,108.5,105.64,102.09,100.85,102.18,101.08,99.8,99.53,99.5,99.21,97.5,97.5,97.42,97.42,97.42,97.42,97.0,97.76,99.5,99.53,99.5,100.01,102.09,102.72,101.08,103.93,112.14,116.46,110.35,115.98,116.46,117.94,115.98,116.7,119.98,120.47,116.89,119.98,120.47,122.37,123.32,125.68,125.68,124.0,123.32,122.37,118.0,115.98,116.94,115.98,112.14,103.76,102.72,102.35,102.72,101.08
