fecha,H1Q1,H1Q2,H1Q3,H1Q4,H2Q1,H2Q2,H2Q3,H2Q4,H3Q1,H3Q2,H3Q3,H3Q4,H4Q1,H4Q2,H4Q3,H4Q4,H5Q1,H5Q2,H5Q3,H5Q4,H6Q1,H6Q2,H6Q3,H6Q4,H7Q1,H7Q2,H7Q3,H7Q4,H8Q1,H8Q2,H8Q3,H8Q4,H9Q1,H9Q2,H9Q3,H9Q4,H10Q1,H10Q2,H10Q3,H10Q4,H11Q1,H11Q2,H11Q3,H11Q4,H12Q1,H12Q2,H12Q3,H12Q4,H13Q1,H13Q2,H13Q3,H13Q4,H14Q1,H14Q2,H14Q3,H14Q4,H15Q1,H15Q2,H15Q3,H15Q4,H16Q1,H16Q2,H16Q3,H16Q4,H17Q1,H17Q2,H17Q3,H17Q4,H18Q1,H18Q2,H18Q3,H18Q4,H19Q1,H19Q2,H19Q3,H19Q4,H20Q1,H20Q2,H20Q3,H20Q4,H21Q1,H21Q2,H21Q3,H21Q4,H22Q1,H22Q2,H22Q3,H22Q4,H23Q1,H23Q2,H23Q3,H23Q4,H24Q1,H24Q2,H24Q3,H24Q4
2026-02-01,3.78,3.78,2.2,1.98,1.5,1.2,0.92,0.91,0.91,0.8,0.45,0.2,0.18,0.16,0.12,0.1,0.1,0.09,0.1,0.1,0.16,0.16,0.3,0.91,0.91,0.92,0.93,1.84,1.98,3.78,3.78,3.78,4.96,8.61,4.96,5.37,10.0,9.4,10.0,6.93,3.78,3.78,3.78,2.1,3.78,1.98,1.84,1.8,1.7,1.84,1.84,1.84,1.98,2.1,2.1,2.0,2.0,2.1,2.1,1.98,1.84,1.84,1.97,1.98,2.1,3.78,7.96,15.44,25.68,35.0,35.01,35.02,37.0,43.0,110.23,122.15,114.75,122.85,125.85,127.45,130.6,131.8,127.45,118.45,122.15,118.45,111.89,100.0,60.0,38.4,35.02,35.01,35.0,33.0,25.46,20.0
2026-02-02,12.4,7.97,5.37,3.78,3.78,3.78,1.98,0.92,0.92,0.91,0.91,0.91,0.5,0.16,0.05,0.01,0.01,0.01,0.0,0.0,0.01,0.01,0.16,0.91,0.92,1.98,3.78,4.86,15.0,25.68,35.0,35.01,35.01,35.02,35.01,35.01,35.01,35.0,28.55,25.46,25.44,15.0,7.84,4.43,3.78,3.78,3.78,1.98,0.92,0.91,0.91,0.83,0.16,0.15,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.05,0.57,0.91,1.98,1.98,3.78,5.77,25.44,25.68,35.0,35.01,35.02,36.0,37.0,38.0,42.59,49.45,54.72,54.49,46.75,38.4,38.4,36.0,35.02,35.01,35.0,26.16,25.46,9.91,7.58,5.37,3.78
2026-02-03,0.16,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.92,3.78,3.78,8.1,33.83,44.02,70.0,99.6,110.88,109.4,110.01,104.9,111.89,89.0,55.0,38.65,35.8,25.46,9.13,3.78,3.78,2.4,1.5,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.57,0.75,0.91,0.91,0.91,0.91,0.91,1.2,1.03,3.78,3.78,6.08,7.97,25.57,36.0,55.0,55.0,85.0,107.68,121.86,127.5,127.71,126.78,121.7,121.86,118.75,114.99,106.21,105.0,100.56,96.0,70.0,65.0,38.4,32.4,25.79,21.65,9.91,7.71,5.0
2026-02-04,10.03,8.97,8.1,5.0,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,1.98,1.98,1.98,1.6,0.92,0.91,0.5,0.5,0.16,0.16,0.91,1.94,1.98,3.78,3.78,5.0,25.2,30.0,35.0,35.01,35.01,35.02,35.02,35.02,35.02,35.01,35.0,25.68,25.46,14.0,10.03,6.0,8.97,6.0,5.0,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,5.1,8.71,8.84,10.03,25.2,26.16,30.0,35.0,35.01,35.02,40.0,46.7,54.49,55.38,56.94,64.0,65.1,62.21,55.2,52.0,43.73,35.76,35.02,35.01,29.98,25.68,25.2,9.13,5.0,3.78
2026-02-05,3.78,3.78,3.78,1.98,0.91,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.91,1.98,3.78,3.78,7.96,9.04,14.59,14.0,10.0,8.91,6.34,3.78,3.78,3.78,3.78,2.81,1.98,1.2,0.91,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-0.01,-0.01,-0.05,-0.1,-0.1,-0.1,-0.1,-0.1,-0.05,-0.01,0.0,0.0,0.0,0.0,0.01,1.34,3.78,3.78,9.17,25.75,35.0,35.0,35.01,35.01,35.02,35.02,35.02,35.02,35.01,35.01,35.0,25.97,14.9,9.04,3.78,2.55,1.98,0.91,0.09,0.01
2026-02-06,0.01,0.01,0.0,0.0,0.0,-0.01,-0.02,-0.03,-0.1,-0.1,-0.14,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.1,-0.1,-0.1,-0.03,-0.01,0.0,0.01,0.16,1.98,3.78,4.28,14.0,16.64,25.68,30.0,31.91,26.23,25.46,14.0,3.78,2.23,1.01,0.5,0.03,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.92,2.84,3.78,10.0,30.0,35.0,35.01,38.3,50.0,57.0,60.0,53.26,50.0,50.0,38.47,38.0,35.02,35.01,35.0,16.16,10.0,4.28,3.78,3.78,2.33,1.98,1.98
2026-02-07,0.97,0.16,0.01,0.0,0.0,0.0,0.0,0.0,-0.01,-0.02,-0.07,-0.1,-0.1,-0.14,-0.15,-0.15,-0.15,-0.16,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,-0.15,-0.13,-0.1,-0.07,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-0.01,-0.01,-0.05,-0.1,-0.1,-0.1,-0.1,-0.11,-0.1,-0.07,-0.02,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.05,0.91,0.91,1.5,1.78,1.98,3.78,3.78,3.78,14.0,15.51,25.75,33.0,35.01,35.02,35.02,36.58,36.0,35.02,35.5,35.5,35.02,35.02,35.02,35.01,35.01,27.72,25.75,15.99,9.35,4.58,3.78,3.78,3.78
2026-02-08,0.93,0.35,0.16,0.01,0.0,0.0,0.0,0.0,0.0,-0.01,-0.01,-0.02,-0.1,-0.1,-0.1,-0.11,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.05,-0.02,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,-0.1,-0.15,-0.6,-0.81,-0.9,-1.01,-2.1,-2.1,-2.1,-2.1,-2.51,-2.1,-2.1,-2.1,-2.1,-2.03,-2.0,-2.0,-2.0,-2.1,-2.03,-2.1,-2.1,-2.1,-2.1,-2.1,-2.01,-2.0,-1.0,-0.81,-0.81,-0.45,-0.05,0.0,0.01,0.5,1.71,3.78,7.57,35.0,35.01,35.01,35.02,35.6,43.97,45.0,45.0,53.0,45.0,38.08,35.02,35.0,30.0,25.0,14.0,11.44,3.78,3.78,3.78
2026-02-09,0.98,0.74,0.16,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-0.01,-0.02,-0.03,-0.03,-0.03,-0.03,-0.01,0.0,0.0,0.0,0.0,0.01,0.91,3.78,4.28,7.4,35.0,35.02,38.0,60.0,84.66,91.0,89.0,79.0,63.8,35.02,35.01,35.0,25.46,11.89,7.64,4.28,3.78,3.78,3.34,1.98,0.99,0.91,0.79,0.16,0.16,0.1,0.1,0.02,0.02,0.02,0.03,0.02,0.02,0.04,0.1,0.16,0.16,0.79,0.93,1.98,2.33,3.78,3.78,7.16,20.0,34.0,35.01,35.5,86.05,99.99,99.99,93.48,94.93,91.13,90.72,88.8,92.7,82.65,64.04,35.02,34.34,25.57,7.96,5.37,3.78,3.78,0.91,0.25
2026-02-10,0.97,0.79,0.37,0.16,0.16,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.11,0.5,2.0,3.78,4.28,6.2,7.16,6.44,4.96,4.28,3.77,1.5,0.79,3.77,2.5,1.98,1.5,0.98,0.91,0.79,0.55,0.5,0.33,0.24,0.16,0.11,0.11,0.05,0.02,0.01,0.02,0.02,0.02,0.01,0.25,0.02,0.08,0.16,0.37,0.59,0.79,0.91,1.45,2.0,3.78,3.78,3.78,3.78,6.44,25.57,32.2,35.0,35.0,35.0,35.0,35.0,35.0,30.0,27.03,14.69,6.0,3.78,1.98,3.77,1.94,0.91,1.0,0.65,0.16
