fecha,H1Q1,H1Q2,H1Q3,H1Q4,H2Q1,H2Q2,H2Q3,H2Q4,H3Q1,H3Q2,H3Q3,H3Q4,H4Q1,H4Q2,H4Q3,H4Q4,H5Q1,H5Q2,H5Q3,H5Q4,H6Q1,H6Q2,H6Q3,H6Q4,H7Q1,H7Q2,H7Q3,H7Q4,H8Q1,H8Q2,H8Q3,H8Q4,H9Q1,H9Q2,H9Q3,H9Q4,H10Q1,H10Q2,H10Q3,H10Q4,H11Q1,H11Q2,H11Q3,H11Q4,H12Q1,H12Q2,H12Q3,H12Q4,H13Q1,H13Q2,H13Q3,H13Q4,H14Q1,H14Q2,H14Q3,H14Q4,H15Q1,H15Q2,H15Q3,H15Q4,H16Q1,H16Q2,H16Q3,H16Q4,H17Q1,H17Q2,H17Q3,H17Q4,H18Q1,H18Q2,H18Q3,H18Q4,H19Q1,H19Q2,H19Q3,H19Q4,H20Q1,H20Q2,H20Q3,H20Q4,H21Q1,H21Q2,H21Q3,H21Q4,H22Q1,H22Q2,H22Q3,H22Q4,H23Q1,H23Q2,H23Q3,H23Q4,H24Q1,H24Q2,H24Q3,H24Q4
2025-06-01,59.0558,60.2894,57.767,62.8878,37.0911,36.5334,35.8599,34.7956,34.7923,35.2234,34.8231,35.2013,34.7924,35.457,35.3116,34.2389,34.3859,34.3712,34.541,34.422,34.5728,34.7185,35.3859,35.3228,34.9188,34.0607,34.6774,36.3831,32.6459,32.0707,32.1243,32.0391,2.431,2.4892,2.366,2.3138,-0.0103,-0.0098,-0.01,-0.0099,-0.5861,-0.6164,-0.6101,-0.5873,-2.1586,-2.073,-2.1391,-2.0694,-5.4234,-5.4301,-5.5358,-5.5307,-6.1061,-6.0246,-5.9251,-5.9442,-5.9017,-6.1758,-6.0717,-5.8507,-6.0971,-6.2783,-5.9127,-5.7519,-6.3151,-6.3903,-6.1974,-5.0972,-0.6303,-0.6118,-0.6325,-0.6054,2.9141,2.9387,2.923,2.9842,22.9499,23.4155,22.5678,22.3467,34.3268,34.3147,34.3385,37.06,39.4058,39.8163,41.6125,41.3653,53.3235,54.2382,52.6626,55.6158,40.5473,39.0273,39.8492,42.2162
2025-06-02,31.6348,29.8895,30.925,28.5108,27.4991,27.1668,26.8969,27.4372,27.3551,26.5656,27.487,25.2323,18.8273,19.1219,19.2787,19.1722,20.1599,19.5223,19.746,20.6118,18.8161,18.5702,19.1476,19.0261,35.4242,33.6661,33.7685,37.1812,44.4363,45.697,47.4821,44.7446,52.5566,53.2262,51.8458,54.2115,39.181,38.4741,39.9873,42.3976,17.8856,17.4252,18.0471,16.8421,2.9617,2.9479,2.9807,2.9098,0.8583,0.8697,0.8365,0.8355,0.4394,0.4611,0.4544,0.4851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7561,1.745,1.7685,1.6104,14.9634,15.3918,14.8162,14.4287,39.4544,38.6911,39.422,43.6325,89.5032,85.5077,87.257,89.9321,104.3032,101.708,103.6469,90.3419,96.2816,93.4951,101.2341,101.8293,64.6419,66.621,66.7894,67.9477
2025-06-03,78.4961,82.5232,82.5177,76.463,70.5336,69.7189,70.0276,68.7599,68.2476,69.4273,69.6138,71.7514,68.581,70.9549,67.7979,71.7061,69.1302,66.6865,70.4566,72.7666,82.1613,81.9621,85.815,73.8616,97.7603,94.1494,101.1894,90.6609,105.6474,109.321,109.2213,106.2503,80.5699,84.3206,82.5836,80.5259,52.5972,51.302,53.3725,50.7283,30.9131,30.3506,32.3593,32.177,4.9575,5.0043,5.196,4.8421,1.0537,1.0431,1.0523,0.9709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0773,3.0788,3.1936,3.3303,17.737,17.7592,17.769,17.5748,38.8887,38.5978,38.6919,38.1016,53.3727,54.0963,52.5562,52.3748,109.9863,109.6568,108.4985,104.9384,107.7512,109.5861,110.676,107.1067,94.007,96.1695,96.1745,97.8491
2025-06-04,88.4229,88.4971,86.863,94.617,78.9488,78.266,79.7208,85.9044,74.3031,74.3309,75.7009,76.225,74.7192,73.9146,73.925,77.4413,72.8525,74.2282,74.2017,76.7976,84.8396,84.6891,84.5938,74.3975,102.3906,95.8581,99.5509,95.0804,106.6104,106.0048,109.5623,97.8224,82.1665,79.6449,79.1269,71.4618,47.2963,47.2982,49.0522,49.8333,32.3011,31.5005,32.2699,33.3286,4.8649,4.9213,4.8196,4.7142,3.5807,3.6004,3.6125,3.6064,3.4391,3.5792,3.6776,3.3842,1.7482,1.6709,1.7233,1.7376,0.0869,0.0868,0.0912,0.0952,0.0,0.0,0.0,0.0,6.0446,6.2201,6.204,6.3313,28.4295,28.9075,27.8504,26.9727,60.5654,59.8349,59.4071,60.1926,107.8507,110.4827,106.1736,109.0131,129.9418,130.8186,127.1008,120.1788,124.0911,120.0227,129.4284,120.2978,101.3448,99.723,99.4942,96.958
2025-06-05,111.7332,109.2971,111.3591,110.5305,94.243,96.9596,94.7066,98.0908,95.9533,94.0234,94.758,92.2654,97.9097,93.7763,92.7756,84.6585,92.362,90.3819,94.3029,92.0732,96.9166,93.9809,97.061,87.4815,101.0428,97.7418,99.9555,106.3398,108.9131,110.6309,112.6437,112.7723,80.6182,81.9983,82.4581,83.4454,16.7624,16.7034,17.0397,17.5344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0099,-0.01,-0.0098,-0.0103,-0.01,-0.0099,-0.0103,-0.0098,-0.0099,-0.0101,-0.0101,-0.0099,-0.0098,-0.0098,-0.0099,-0.0106,-0.0101,-0.0099,-0.0099,-0.0101,0.0,0.0,0.0,0.0,3.1983,3.1973,3.1493,3.1351,33.7862,34.5097,33.848,33.6162,95.2787,101.8262,97.6426,104.3324,144.2537,145.1766,142.4964,129.4332,144.6216,147.4065,138.9336,137.1583,118.8418,118.8067,115.975,119.3365
2025-06-06,135.3894,128.5484,128.1619,128.1004,128.6168,130.5956,126.4014,126.1062,116.8306,119.4381,114.9163,121.7749,111.0212,110.8755,111.7748,117.3284,111.9211,116.4572,114.2954,106.2863,113.821,113.2599,115.777,112.2222,124.3206,125.4767,126.7118,116.5308,124.2982,121.2422,126.7747,135.0048,123.456,123.969,121.7926,123.8224,56.7653,57.6709,57.733,55.9509,7.4559,6.9522,7.0245,7.6075,1.771,1.741,1.7475,1.6204,0.6563,0.6538,0.6626,0.6673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1977,1.2496,1.1917,1.1611,14.7198,14.2051,14.4816,13.9535,45.3031,45.1689,45.3664,42.9216,103.5629,108.1029,107.0804,101.2538,133.128,136.3826,132.1431,138.3863,140.6066,137.0912,142.3709,141.2913,128.7621,124.9728,123.1366,108.5285
2025-06-07,110.8207,113.7014,115.5452,111.2927,103.5867,104.0387,100.3125,107.1421,99.8471,97.8838,105.5345,103.0146,101.5453,102.0586,100.183,98.5731,97.6939,100.9446,99.3176,104.4038,99.6189,101.6826,101.7933,103.1852,103.6253,102.4019,101.9695,108.0033,93.8119,96.1216,90.8381,94.4284,21.9101,22.128,22.1296,22.6322,0.6918,0.7275,0.7056,0.6751,0.0,0.0,0.0,0.0,-0.0103,-0.01,-0.0095,-0.0101,-0.4864,-0.5012,-0.5108,-0.5016,-0.5014,-0.5015,-0.5108,-0.4862,-0.6153,-0.5919,-0.6053,-0.5875,-1.1871,-1.1842,-1.2243,-1.2444,-1.176,-1.2141,-1.2176,-1.2322,-0.6104,-0.5864,-0.6046,-0.5986,0.0,0.0,0.0,0.0,3.4427,3.5554,3.4603,3.6216,43.8501,45.8266,45.389,44.9343,103.5514,108.1887,107.7847,121.2751,105.3489,107.1085,108.3702,95.1724,91.28,88.0486,87.9866,92.6847
2025-06-08,77.9701,80.2517,81.5069,78.1513,75.5365,79.4522,79.9601,79.0111,79.5008,84.2824,79.8502,72.3666,65.0423,65.7985,64.2964,64.8628,63.5866,65.5512,66.5171,64.3451,64.6953,66.2146,64.5133,64.5767,66.4946,64.6371,65.0515,61.2569,22.36,21.4325,21.9399,22.3475,0.8611,0.8306,0.8536,0.7747,-0.5089,-0.4821,-0.5071,-0.5019,-1.9569,-2.0105,-1.9834,-2.0491,-2.5011,-2.4965,-2.5122,-2.4903,-2.4777,-2.4334,-2.45,-2.639,-2.5462,-2.5877,-2.5117,-2.3544,-2.1357,-2.1414,-2.0434,-2.0795,-2.8897,-2.9969,-2.8886,-3.2248,-2.7848,-2.7184,-2.7653,-2.9315,-2.0687,-2.122,-2.073,-2.1364,0.0,0.0,0.0,0.0,4.9485,4.7131,4.909,5.0295,91.3591,87.0741,89.0314,79.6554,111.2222,111.3964,111.0903,101.4111,109.9096,108.8879,108.6828,109.6797,99.0379,99.6474,96.3112,100.2035
2025-06-09,90.0932,90.5265,90.7957,90.9846,77.4588,79.2072,77.7781,77.316,77.357,76.0356,76.7376,81.6298,80.3682,80.1909,76.8037,82.6372,84.406,81.7038,81.3787,83.9515,89.3193,89.4062,86.116,84.5586,101.5253,99.7772,103.9287,103.7687,109.0147,106.1245,110.0817,103.019,86.5862,84.7999,86.2457,82.4081,19.4457,19.9946,20.2014,20.7582,7.1885,7.4909,7.2348,6.8458,3.1933,3.0869,3.1581,3.2416,1.6933,1.8027,1.7058,1.6783,1.7241,1.7623,1.7427,1.6508,2.8679,2.9879,2.9922,2.952,3.1585,3.1996,3.1766,3.1453,5.4178,5.5076,5.5723,5.7823,12.2455,12.5243,12.6408,12.1494,50.2742,49.6287,51.3816,48.7155,90.2479,90.6386,88.6362,90.4773,113.2659,116.0537,115.4648,110.2556,134.4959,135.0223,135.5383,134.9436,121.7858,123.6409,122.8368,128.1365,111.1465,114.6183,113.9418,117.3734
2025-06-10,115.5375,117.0933,118.763,124.4862,108.5297,115.414,115.605,120.4113,115.8944,113.0461,111.1906,117.4689,114.439,109.9446,114.2393,113.4171,111.5128,110.7649,113.6973,116.145,115.7695,112.8452,112.645,111.5403,110.6012,116.3177,114.5668,116.1143,116.366,120.102,113.3891,118.1429,113.8353,115.0012,114.3123,116.8112,106.4063,112.5033,111.6519,116.3186,107.1442,109.3723,104.6062,98.8773,88.1452,87.9138,87.7675,86.0535,56.4437,57.0393,57.8916,55.0255,55.0571,58.17,56.5699,54.203,55.7367,52.9632,55.3882,57.5119,53.8192,55.5141,55.9389,54.2478,56.2898,54.8272,54.928,53.995,94.1697,89.514,92.5437,97.1727,103.8663,106.0994,104.0439,105.9904,112.3593,110.2739,112.6099,107.5569,125.0048,123.3648,121.8667,108.0837,127.2298,123.4432,122.4481,124.2788,119.147,121.6554,124.8041,119.1135,112.7433,115.4774,111.5817,117.7977
