fecha,H1Q1,H1Q2,H1Q3,H1Q4,H2Q1,H2Q2,H2Q3,H2Q4,H3Q1,H3Q2,H3Q3,H3Q4,H4Q1,H4Q2,H4Q3,H4Q4,H5Q1,H5Q2,H5Q3,H5Q4,H6Q1,H6Q2,H6Q3,H6Q4,H7Q1,H7Q2,H7Q3,H7Q4,H8Q1,H8Q2,H8Q3,H8Q4,H9Q1,H9Q2,H9Q3,H9Q4,H10Q1,H10Q2,H10Q3,H10Q4,H11Q1,H11Q2,H11Q3,H11Q4,H12Q1,H12Q2,H12Q3,H12Q4,H13Q1,H13Q2,H13Q3,H13Q4,H14Q1,H14Q2,H14Q3,H14Q4,H15Q1,H15Q2,H15Q3,H15Q4,H16Q1,H16Q2,H16Q3,H16Q4,H17Q1,H17Q2,H17Q3,H17Q4,H18Q1,H18Q2,H18Q3,H18Q4,H19Q1,H19Q2,H19Q3,H19Q4,H20Q1,H20Q2,H20Q3,H20Q4,H21Q1,H21Q2,H21Q3,H21Q4,H22Q1,H22Q2,H22Q3,H22Q4,H23Q1,H23Q2,H23Q3,H23Q4,H24Q1,H24Q2,H24Q3,H24Q4
2025-05-01,28.7405,29.3408,28.1133,30.6054,23.3015,22.9511,22.528,21.8594,22.4495,22.7277,22.4694,22.7134,23.1153,23.5568,23.4603,22.7476,22.561,22.5514,22.6628,22.5847,26.868,26.9812,27.4999,27.4508,28.0866,27.3965,27.8925,29.2645,23.3243,22.9133,22.9516,22.8908,18.6276,19.0735,18.1296,17.7294,0.0,0.0,0.0,0.0,-2.9306,-3.0822,-3.0505,-2.9367,-6.1381,-5.8947,-6.0827,-5.8845,-6.9475,-6.9561,-7.0915,-7.0849,-7.9482,-7.842,-7.7125,-7.7373,-7.6821,-8.0389,-7.9033,-7.6157,-10.145,-10.4464,-9.8382,-9.5705,-5.4415,-5.5063,-5.3401,-4.3921,-4.0667,-3.9472,-4.0804,-3.9057,-1.5264,-1.5393,-1.5311,-1.5632,0.0,0.0,0.0,0.0,29.4145,29.4042,29.4246,31.7566,53.4481,54.0049,56.4411,56.1059,35.0812,35.683,34.6464,36.5893,33.9851,32.7111,33.4,35.3838
2025-05-02,13.6414,12.8888,13.3354,12.2943,5.1567,5.0944,5.0438,5.1451,2.873,2.7901,2.8869,2.6501,2.4643,2.5029,2.5234,2.5094,2.5187,2.4391,2.467,2.5752,3.1576,3.1163,3.2132,3.1928,8.0542,7.6545,7.6777,8.4537,7.7586,7.9787,8.2904,7.8124,13.8933,14.0704,13.7055,14.3308,12.1529,11.9336,12.403,13.1506,0.8663,0.844,0.8741,0.8157,-0.01,-0.01,-0.0101,-0.0099,-0.9997,-1.013,-0.9742,-0.9731,-2.8658,-3.0069,-2.9635,-3.1638,-3.9978,-4.1354,-3.9127,-3.9541,-4.0617,-4.0764,-4.037,-3.8249,-4.0905,-3.9635,-3.9458,-4.0002,-2.042,-2.029,-2.0564,-1.8726,0.0,0.0,0.0,0.0,12.7664,12.5194,12.7559,14.1183,35.5878,33.9991,34.6947,35.7583,69.9353,68.1952,69.4952,60.5743,51.028,49.5511,53.6527,53.9682,39.903,41.1247,41.2286,41.9436
2025-05-03,35.4508,37.2695,37.2671,34.5326,26.2883,25.9847,26.0997,25.6273,15.8097,16.0829,16.1261,16.6213,13.6553,14.1279,13.4993,14.2775,13.2493,12.781,13.5035,13.9462,15.397,15.3597,16.0817,13.8416,17.2308,16.5944,17.8352,15.9795,13.8723,14.3547,14.3416,13.9515,12.449,13.0286,12.7602,12.4422,5.7655,5.6235,5.8505,5.5606,0.0,0.0,0.0,0.0,-0.0496,-0.05,-0.052,-0.0484,-1.1867,-1.1748,-1.1851,-1.0935,-2.9961,-3.0861,-3.1082,-2.9695,-2.731,-2.679,-2.4958,-2.8543,-3.0336,-3.0069,-2.9779,-2.9816,-3.0471,-3.016,-3.0123,-2.9247,-0.9708,-0.9712,-1.0074,-1.0506,2.2033,2.2061,2.2073,2.1832,19.1671,19.0237,19.0701,18.7791,35.421,35.9012,34.8791,34.7587,64.8114,64.6172,63.9346,61.8368,63.0976,64.172,64.8103,62.7201,46.9497,48.0297,48.0322,48.8685
2025-05-04,35.6554,35.6853,35.0263,38.153,31.6441,31.3704,31.9535,34.432,23.7426,23.7515,24.1892,24.3567,19.2377,19.0305,19.0332,19.9386,16.1699,16.4752,16.4693,17.0455,16.094,16.0655,16.0474,14.1132,14.1983,13.2925,13.8046,13.1846,7.9501,7.9049,8.1702,7.2948,3.6822,3.5692,3.546,3.2025,0.0,0.0,0.0,0.0,-0.01,-0.0097,-0.01,-0.0103,-0.6245,-0.6317,-0.6187,-0.6051,-1.0046,-1.0101,-1.0135,-1.0118,-1.954,-2.0336,-2.0896,-1.9228,-5.0923,-4.867,-5.0195,-5.0613,-3.8612,-3.8563,-4.0531,-4.2294,-4.9978,-4.9219,-4.786,-5.2544,-3.8998,-4.013,-4.0026,-4.0847,-0.0507,-0.0515,-0.0497,-0.0481,3.5532,3.5103,3.4852,3.5313,19.6436,20.123,19.3381,19.8553,35.8079,36.0495,35.025,33.1175,35.1789,34.0256,36.692,34.1035,23.9748,23.5911,23.537,22.937
2025-05-05,28.3546,27.7364,28.2596,28.0494,19.9972,20.5736,20.0956,20.8136,16.0652,15.7421,15.865,15.4477,12.9443,12.3978,12.2655,11.1924,9.4984,9.2948,9.698,9.4687,15.4265,14.9592,15.4495,13.9247,22.8387,22.0925,22.5929,24.0359,34.2679,34.8083,35.4416,35.4821,34.3557,34.9439,35.1398,35.5606,16.0628,16.0062,16.3284,16.8025,1.0176,0.988,0.9851,1.0093,-0.01,-0.0101,-0.0099,-0.0101,-0.9834,-0.9854,-0.9687,-1.0224,-1.5345,-1.5228,-1.5895,-1.5131,-2.9691,-3.0276,-3.0229,-2.9805,-3.9116,-3.9013,-3.9645,-4.2226,-4.0534,-3.9544,-3.9479,-4.0444,-3.7746,-3.9684,-4.0251,-4.232,-0.9988,-0.9985,-0.9835,-0.9791,0.0,0.0,0.0,0.0,9.5498,10.2061,9.7868,10.4573,28.8836,29.0684,28.5318,25.9162,18.8987,19.2626,18.1554,17.9234,12.2621,12.2585,11.9663,12.3131
2025-05-06,5.2053,4.9423,4.9274,4.925,2.9658,3.0115,2.9148,2.9079,3.478,3.5557,3.4211,3.6252,1.6936,1.6914,1.7051,1.7898,1.9644,2.044,2.0061,1.8655,3.6016,3.5839,3.6635,3.551,16.642,16.7967,16.9621,15.5992,29.7344,29.0033,30.3268,32.2956,13.7418,13.7989,13.5567,13.7826,2.9761,3.0236,3.0269,2.9334,-0.5135,-0.4788,-0.4838,-0.5239,-1.5857,-1.5588,-1.5646,-1.4508,-1.7997,-1.7929,-1.8172,-1.8301,-2.9441,-2.9096,-2.9341,-3.2122,-4.0093,-4.0513,-4.1343,-3.8051,-4.0299,-4.038,-4.1374,-3.7948,-4.1451,-4.13,-4.1649,-4.3999,-2.9942,-3.1239,-2.9791,-2.9027,-1.0162,-0.9807,-0.9998,-0.9633,0.6589,0.657,0.6598,0.6243,39.4427,41.1718,40.7823,38.5632,64.2123,65.782,63.7372,66.7485,48.3216,47.1135,48.9279,48.5569,34.5382,33.5217,33.0292,29.1109
2025-05-07,11.0978,11.3863,11.5709,11.145,6.9777,7.0081,6.7571,7.2171,5.8982,5.7822,6.2342,6.0853,5.1484,5.1745,5.0794,4.9977,8.838,9.1321,8.9849,9.445,15.6044,15.9276,15.945,16.163,32.2833,31.9021,31.7674,33.6472,49.1062,50.3153,47.5496,49.4289,42.6655,43.0899,43.093,44.0717,12.3329,12.9708,12.5802,12.0361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1167,-0.1203,-0.1226,-0.1204,-0.1304,-0.1304,-0.1328,-0.1264,-0.1333,-0.1283,-0.1311,-0.1273,-0.6082,-0.6068,-0.6273,-0.6376,-0.3888,-0.4014,-0.4025,-0.4073,0.0,0.0,0.0,0.0,3.5112,3.6262,3.4681,3.4745,38.6621,39.9275,38.8592,40.6713,49.1121,51.3258,50.8357,50.3265,75.1735,78.5399,78.2466,88.04,57.8406,58.8067,59.4994,52.2533,35.9035,34.6325,34.6081,36.456
2025-05-08,15.6097,16.0665,16.3178,15.646,15.1862,15.9735,16.0756,15.8848,15.7291,16.6751,15.7982,14.3176,3.5523,3.5936,3.5116,3.5425,6.5054,6.7064,6.8052,6.583,14.9496,15.3007,14.9075,14.9222,31.088,30.2195,30.4133,28.6392,45.9893,44.0817,45.1253,45.9636,37.3499,36.0263,37.0242,33.5997,7.3895,6.9994,7.3634,7.2876,0.0978,0.1005,0.0992,0.1025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0102,-0.0104,-0.01,-0.0094,-0.0102,-0.0102,-0.0097,-0.0099,-0.0096,-0.01,-0.0096,-0.0107,-0.0199,-0.0194,-0.0198,-0.0209,-0.0099,-0.0101,-0.0099,-0.0102,0.0977,0.1001,0.1061,0.0961,16.1989,15.428,16.0693,16.4638,36.9521,35.2189,36.0106,32.2183,81.3768,81.5043,81.2804,74.1985,50.2835,49.816,49.7222,50.1783,30.1725,30.3582,29.3418,30.5276
2025-05-09,21.4891,21.5925,21.6567,21.7017,12.075,12.3475,12.1248,12.0527,12.9028,12.6824,12.7994,13.6154,9.6241,9.6029,9.1972,9.8958,7.6603,7.4151,7.3856,7.6191,11.3809,11.392,10.9728,10.7743,30.0455,29.5282,30.7568,30.7095,40.0888,39.026,40.4812,37.884,31.147,30.5044,31.0245,29.644,12.4414,12.7926,12.9249,13.2811,7.1685,7.4701,7.2147,6.8268,0.2216,0.2142,0.2192,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0097,-0.0101,-0.0101,-0.01,-0.01,-0.0101,-0.01,-0.0099,-0.0097,-0.0099,-0.01,-0.0104,0.0,0.0,0.0,0.0,7.0786,6.9877,7.2345,6.8591,15.6731,15.7409,15.3932,15.7129,41.7379,42.7652,42.5482,40.6287,79.9702,80.2832,80.5901,80.2365,56.5651,57.4268,57.0533,59.5148,38.6732,39.8812,39.6458,40.8398
2025-05-10,28.377,28.7591,29.1691,30.5748,14.5914,15.517,15.5427,16.1889,13.6966,13.36,13.1407,13.8827,15.1289,14.5348,15.1025,14.9938,10.9707,10.8972,11.1857,11.4265,13.6428,13.2982,13.2746,13.1444,15.5654,16.3699,16.1235,16.3413,15.7243,16.2292,15.3221,15.9644,9.8996,10.001,9.9411,10.1584,3.2573,3.444,3.4179,3.5608,-0.0612,-0.0625,-0.0598,-0.0565,-4.0309,-4.0203,-4.0136,-3.9352,-5.1956,-5.2504,-5.3289,-5.0651,-5.9088,-6.2429,-6.0712,-5.8171,-7.5456,-7.1701,-7.4984,-7.7859,-9.8067,-10.1155,-10.193,-9.8848,-5.9349,-5.7807,-5.7914,-5.693,-1.2105,-1.1507,-1.1896,-1.2491,-0.0099,-0.0101,-0.0099,-0.0101,0.0101,0.01,0.0102,0.0097,21.9736,21.6853,21.422,18.9992,37.7341,36.6111,36.3159,36.8589,30.9322,31.5834,32.4009,30.9235,25.0026,25.6089,24.745,26.1235
