fecha,t,hora,p_sell [€/MWh],p_buy [€/MWh],p_buy_eff [€/MWh],x_sell [MWh],x_buy [MWh],x_ch [MWh],x_dis [MWh],r_up [MWh],r_down [MWh],a_up [MWh],a_down [MWh],SOC [MWh],y_bat,y_grid,p_disp [€/MWh],p_act_up [€/MWh],p_act_down [€/MWh],capacidad_nominal [MWh],soc_min_limit [MWh]
2025-08-07,1,00:00,114.86,114.86,114.86,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,0.9345,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2025-08-07,2,00:15,117.84,117.84,117.84,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,0.8691,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2025-08-07,3,00:30,119.75,119.75,119.75,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,0.8036,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2025-08-07,4,00:45,115.35,115.35,115.35,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,0.7381,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2025-08-07,5,01:00,108.47,108.47,108.47,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,0.6726,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2025-08-07,6,01:15,108.94,108.94,108.94,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,0.6072,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2025-08-07,7,01:30,105.04,105.04,105.04,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.8322,1,1,10.0,114.3,50.73,2.0,0.1399999999999999
2025-08-07,8,01:45,112.19,112.19,112.19,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,0.7667,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2025-08-07,9,02:00,103.22,103.22,103.22,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.9917,1,1,10.0,114.3,50.73,2.0,0.1399999999999999
2025-08-07,10,02:15,101.19,101.19,101.19,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,1.2167,1,1,10.0,114.3,50.73,2.0,0.1399999999999999
2025-08-07,11,02:30,109.1,109.1,109.1,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,1.1512,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2025-08-07,12,02:45,106.49,106.49,106.49,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,1.0857,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2025-08-07,13,03:00,109.65,109.65,109.65,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,1.0203,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2025-08-07,14,03:15,110.21,110.21,110.21,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,0.9548,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2025-08-07,15,03:30,108.18,108.18,108.18,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,0.8893,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2025-08-07,16,03:45,106.44,106.44,106.44,0.0,0.25,0.25,0.0,-0.0,0.0,0.0,0.0,1.1143,1,1,10.0,114.3,50.73,2.0,0.1399999999999999
2025-08-07,17,04:00,104.85,104.85,104.85,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,1.3393,1,1,10.0,114.3,50.73,2.0,0.1399999999999999
2025-08-07,18,04:15,108.34,108.34,108.34,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,1.2739,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2025-08-07,19,04:30,106.59,106.59,106.59,0.0589,0.0,-0.0,0.0,0.25,0.0,0.0589,0.0,1.2084,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2025-08-07,20,04:45,112.05,112.05,112.05,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,1.1429,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2025-08-07,21,05:00,106.5,106.5,106.5,0.0589,-0.0,-0.0,0.0,0.25,0.0,0.0589,0.0,1.0774,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2025-08-07,22,05:15,108.71,108.71,108.71,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,1.012,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2025-08-07,23,05:30,108.83,108.83,108.83,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,0.9465,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2025-08-07,24,05:45,110.32,110.32,110.32,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,0.881,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2025-08-07,25,06:00,114.29,114.29,114.29,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,0.8156,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2025-08-07,26,06:15,112.94,112.94,112.94,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,0.7501,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2025-08-07,27,06:30,112.46,112.46,112.46,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,0.6846,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2025-08-07,28,06:45,119.12,119.12,119.12,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,0.6191,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2025-08-07,29,07:00,119.3,119.3,119.3,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,0.5537,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2025-08-07,30,07:15,122.23,122.23,122.23,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,0.4882,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2025-08-07,31,07:30,115.51,115.51,115.51,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,0.4227,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2025-08-07,32,07:45,120.08,120.08,120.08,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,0.3573,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2025-08-07,33,08:00,117.66,117.66,117.66,0.0461,0.0,0.0,0.0,0.1955,0.0,0.0461,0.0,0.306,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2025-08-07,34,08:15,118.83,118.83,118.83,0.0352,0.0,0.0,0.0,0.1494,0.0,0.0352,0.0,0.2669,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2025-08-07,35,08:30,118.84,118.84,118.84,0.0269,0.0,0.0,0.0,0.1142,0.0,0.0269,0.0,0.237,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2025-08-07,36,08:45,121.54,121.54,121.54,0.0398,0.0,0.0,0.0192,0.0873,0.0,0.0206,0.0,0.1928,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2025-08-07,37,09:00,79.48,79.48,79.48,0.0,0.25,0.25,0.0,0.0,-0.0,0.0,0.0,0.4178,1,1,10.0,114.3,50.73,2.0,0.1399999999999999
2025-08-07,38,09:15,83.59,83.59,83.59,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,0.3523,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2025-08-07,39,09:30,81.08,81.08,81.08,0.045,0.0,0.0,0.0,0.1911,0.0,0.045,0.0,0.3023,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2025-08-07,40,09:45,77.57,77.57,77.57,0.0344,0.0,0.0,-0.0,0.146,0.0,0.0344,0.0,0.264,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2025-08-07,41,10:00,49.02,49.02,49.02,0.0,0.25,0.25,0.0,0.0,-0.0,0.0,0.0,0.489,1,1,10.0,114.3,50.73,2.0,0.1399999999999999
2025-08-07,42,10:15,48.15,48.15,48.15,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,0.4235,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2025-08-07,43,10:30,49.83,49.83,49.83,0.0589,0.0,0.0,0.0,0.25,0.0,0.0589,0.0,0.3581,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2025-08-07,44,10:45,52.99,52.99,52.99,0.0463,0.0,0.0,0.0,0.1963,0.0,0.0463,0.0,0.3067,0,0,10.0,114.3,50.73,2.0,0.1399999999999999
2025-08-07,45,11:00,27.18,27.18,27.18,0.0,0.1089,0.0686,0.0,0.0,0.1814,0.0,0.0404,0.4047,1,1,10.0,114.3,50.73,2.0,0.1399999999999999
2025-08-07,46,11:15,26.49,26.49,26.49,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.6297,1,1,10.0,114.3,50.73,2.0,0.1399999999999999
2025-08-07,47,11:30,25.2,25.2,25.2,0.0,0.25,0.25,0.0,0.0,-0.0,0.0,0.0,0.8547,1,1,10.0,114.3,50.73,2.0,0.1399999999999999
2025-08-07,48,11:45,26.69,26.69,26.69,0.0,0.25,0.25,0.0,0.0,-0.0,0.0,0.0,1.0797,1,1,10.0,114.3,50.73,2.0,0.1399999999999999
2025-08-07,49,12:00,25.67,25.67,25.67,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,1.3047,1,1,10.0,114.3,50.73,2.0,0.1399999999999999
2025-08-07,50,12:15,26.46,26.46,26.46,0.0,0.25,0.25,0.0,0.0,-0.0,0.0,0.0,1.5297,1,1,10.0,114.3,50.73,2.0,0.1399999999999999
