fecha,beneficio [€],energia_vendida [MWh],energia_comprada [MWh],energia_cargada [MWh],energia_descargada [MWh],reserva_up [MWh],reserva_down [MWh],activacion_up [MWh],activacion_down [MWh],precio_medio [€/MWh],precio_max [€/MWh],precio_min [€/MWh],spread [€/MWh]
2025-08-01,450.4,4.215,5.206,5.051,0.0,17.891,0.699,4.215,0.156,64.79,107.14,12.85,94.29
2025-08-02,589.27,4.249,5.248,5.104,0.0,18.035,0.646,4.249,0.144,37.24,103.93,0.0,103.93
2025-08-03,615.32,4.257,5.258,5.117,0.0,18.068,0.633,4.257,0.141,29.88,99.1,-5.11,104.21
2025-08-04,504.3,4.832,5.966,5.824,1.014,16.201,0.645,3.817,0.144,65.55,173.06,3.39,169.66
2025-08-05,513.76,4.478,5.531,5.468,0.337,17.577,0.282,4.141,0.063,57.19,141.97,0.62,141.35
2025-08-06,415.31,4.89,6.039,5.997,1.0,16.51,0.19,3.89,0.042,78.27,174.25,25.8,148.45
2025-08-07,361.92,4.38,5.409,5.321,0.305,17.294,0.397,4.075,0.088,84.06,159.58,25.2,134.39
2025-08-08,435.62,4.193,5.178,5.087,0.0,17.796,0.414,4.193,0.092,74.08,140.16,0.71,139.45
2025-08-09,485.39,4.262,5.264,5.125,0.126,17.556,0.625,4.136,0.139,62.03,116.31,-0.01,116.32
2025-08-10,545.88,4.543,5.61,5.499,0.415,17.52,0.501,4.128,0.111,55.45,140.96,-1.02,141.99
2025-08-11,399.62,4.395,5.428,5.336,0.32,17.298,0.414,4.076,0.092,80.1,148.31,8.94,139.37
2025-08-12,336.67,4.611,5.695,5.608,0.672,16.722,0.392,3.94,0.087,89.7,160.37,25.79,134.58
2025-08-13,238.43,4.966,6.132,6.11,1.25,15.771,0.101,3.716,0.022,101.2,163.84,57.77,106.07
2025-08-14,264.08,4.728,5.839,5.804,0.662,17.257,0.154,4.066,0.034,96.7,151.53,40.83,110.7
2025-08-15,471.33,4.279,5.284,5.14,0.098,17.744,0.651,4.18,0.145,69.27,146.77,0.0,146.77
2025-08-16,447.61,4.28,5.286,5.192,0.175,17.422,0.421,4.105,0.094,74.1,148.31,0.62,147.69
2025-08-17,475.75,4.217,5.208,5.053,0.068,17.608,0.697,4.148,0.155,68.7,134.45,0.63,133.83
2025-08-18,225.61,4.359,5.383,5.382,0.0,18.5,0.007,4.359,0.002,96.68,123.23,58.97,64.26
2025-08-19,355.68,4.203,5.19,5.015,0.0,17.837,0.788,4.203,0.175,77.72,112.26,28.32,83.94
2025-08-20,397.84,4.227,5.22,4.998,0.0,17.941,1.002,4.227,0.223,68.31,106.03,25.84,80.18
2025-08-21,493.32,4.307,5.319,5.268,0.014,18.22,0.232,4.292,0.052,53.89,102.86,3.45,99.41
2025-08-22,506.47,4.248,5.246,5.102,0.0,18.028,0.648,4.248,0.144,53.61,106.81,4.24,102.57
2025-08-23,481.93,4.255,5.255,5.042,0.059,17.81,0.958,4.196,0.213,63.4,132.93,0.65,132.28
2025-08-24,490.97,4.316,5.331,5.211,0.113,17.842,0.539,4.204,0.12,62.28,118.8,-0.61,119.41
2025-08-25,312.32,4.219,5.211,5.121,0.0,17.907,0.404,4.219,0.09,92.3,147.81,24.21,123.6
2025-08-26,319.74,4.264,5.266,5.139,0.0,18.099,0.574,4.264,0.128,87.75,132.74,25.77,106.97
2025-08-27,287.31,4.326,5.343,5.329,0.0,18.361,0.06,4.326,0.013,88.03,116.54,49.1,67.44
2025-08-28,520.46,4.301,5.312,5.259,0.091,17.87,0.241,4.21,0.054,53.84,100.18,0.01,100.17
2025-08-29,554.44,4.249,5.248,5.104,0.0,18.035,0.646,4.249,0.144,45.75,103.56,0.0,103.56
2025-08-30,520.48,4.276,5.281,5.218,0.07,17.85,0.282,4.206,0.063,52.61,111.57,-0.01,111.58
2025-08-31,567.78,4.328,5.345,5.229,0.098,17.951,0.521,4.229,0.116,37.3,83.35,-1.01,84.36
