fecha,t,hora,p [€/MWh],p_eff [€/MWh],x_sell [MWh],x_buy [MWh],x_ch [MWh],x_dis [MWh],r_up [MWh],r_down [MWh],a_up [MWh],a_down [MWh],SOC [MWh],y_bat,y_grid,pi_disp_up [€/MWh],pi_disp_down [€/MWh],pi_act_up [€/MWh],pi_act_down [€/MWh],E_max [MWh],SOC_min [MWh]
2026-01-04,1,00:00,94.01,94.01,0.0295,0.0,0.0,0.0,0.125,0.0,0.0295,0.0,0.9686,0,0,9.27,8.48,118.15,53.05,2.0,0.3999999999999999
2026-01-04,2,00:15,89.42,89.42,0.0295,0.0,0.0,0.0,0.125,0.0,0.0295,0.0,0.9371,0,0,9.27,8.48,118.15,53.05,2.0,0.3999999999999999
2026-01-04,3,00:30,87.02,87.02,0.0295,0.0,0.0,0.0,0.125,0.0,0.0295,0.0,0.9057,0,0,9.27,8.48,118.15,53.05,2.0,0.3999999999999999
2026-01-04,4,00:45,80.52,80.52,0.0295,0.0,0.0,0.0,0.125,0.0,0.0295,0.0,0.8742,0,0,9.27,8.48,118.15,53.05,2.0,0.3999999999999999
2026-01-04,5,01:00,74.0,74.0,0.0295,0.0,0.0,0.0,0.125,0.0,0.0295,0.0,0.8428,0,0,9.27,8.48,118.15,53.05,2.0,0.3999999999999999
2026-01-04,6,01:15,65.5,65.5,0.0295,0.0,0.0,0.0,0.125,0.0,0.0295,0.0,0.8113,0,0,9.27,8.48,118.15,53.05,2.0,0.3999999999999999
2026-01-04,7,01:30,62.33,62.33,0.0295,0.0,0.0,0.0,0.125,0.0,0.0295,0.0,0.7799,0,0,9.27,8.48,118.15,53.05,2.0,0.3999999999999999
2026-01-04,8,01:45,61.87,61.87,0.0295,0.0,0.0,0.0,0.125,0.0,0.0295,0.0,0.7484,0,0,9.27,8.48,118.15,53.05,2.0,0.3999999999999999
2026-01-04,9,02:00,61.57,61.57,0.0295,0.0,0.0,0.0,0.125,0.0,0.0295,0.0,0.717,0,0,9.27,8.48,118.15,53.05,2.0,0.3999999999999999
2026-01-04,10,02:15,60.5,60.5,0.0295,0.0,0.0,0.0,0.125,0.0,0.0295,0.0,0.6855,0,0,9.27,8.48,118.15,53.05,2.0,0.3999999999999999
2026-01-04,11,02:30,60.0,60.0,0.0295,0.0,0.0,0.0,0.125,0.0,0.0295,0.0,0.6541,0,0,9.27,8.48,118.15,53.05,2.0,0.3999999999999999
2026-01-04,12,02:45,58.37,58.37,0.0295,0.0,0.0,0.0,0.125,0.0,0.0295,0.0,0.6226,0,0,9.27,8.48,118.15,53.05,2.0,0.3999999999999999
2026-01-04,13,03:00,58.24,58.24,0.0295,0.0,0.0,0.0,0.125,0.0,0.0295,0.0,0.5912,0,0,9.27,8.48,118.15,53.05,2.0,0.3999999999999999
2026-01-04,14,03:15,57.98,57.98,0.0295,0.0,0.0,0.0,0.125,0.0,0.0295,0.0,0.5597,0,0,9.27,8.48,118.15,53.05,2.0,0.3999999999999999
2026-01-04,15,03:30,57.85,57.85,0.0295,0.0,0.0,0.0,0.125,0.0,0.0295,0.0,0.5283,0,0,9.27,8.48,118.15,53.05,2.0,0.3999999999999999
2026-01-04,16,03:45,56.2,56.2,0.0284,-0.0,0.0,0.0,0.1204,-0.0,0.0284,0.0,0.498,0,0,9.27,8.48,118.15,53.05,2.0,0.3999999999999999
2026-01-04,17,04:00,55.25,55.25,0.0,0.125,0.125,0.0,0.0,-0.0,0.0,0.0,0.6153,1,1,9.27,8.48,118.15,53.05,2.0,0.3999999999999999
