fecha,sim_id,beneficio_real [€],beneficio_previsto [€],desviacion [€],desviacion [%],ingreso_spot_real [€],ingreso_disp_real [€],ingreso_act_real [€],coste_deg_real [€],penalizacion_ree [€],penalizacion_soc [€],soc_final [MWh],soc_final_desv [MWh],precio_medio_dia [€/MWh],energia_no_cargada [MWh],energia_no_operada [MWh],energia_recortada [MWh],intervalos_soc_critico,pi_disp_up_real [€/MWh],pi_disp_down_real [€/MWh],pi_act_up_real [€/MWh],pi_act_down_real [€/MWh],factor_act_up,factor_act_down,n_pujas_perdidas,n_fallos_tecnicos
2025-03-04,1,67.419,147.175,-79.756,-54.19,69.2947,70.6152,0.2738,29.0684,0.0,43.6963,1.459,0.459,95.1901,0.0,0.125,0.0,0,8.187,5.9525,100.2457,752.9573,0.6202,0.9437,2,4
2025-03-04,2,167.2367,147.175,20.0617,13.63,63.9943,81.3232,57.6252,31.0123,0.0,4.6937,0.9519,-0.0481,97.5023,0.125,0.25,0.0,0,9.4284,10.1514,134.8812,17.5677,0.8992,0.6061,5,5
2025-03-04,3,409.4998,147.175,262.3248,178.24,69.982,71.832,313.3278,32.5984,0.0,13.0436,1.133,0.133,98.0819,0.0,0.125,0.0,0,8.328,6.3569,283.8782,22.2827,0.8673,0.7218,3,2
2025-03-04,4,206.202,147.175,59.027,40.11,69.0473,70.9106,286.4918,37.5608,124.4852,58.2017,0.4,-0.6,97.0028,0.125,0.0,0.5481,16,8.2212,12.2023,217.6378,10.864,1.4917,0.4936,2,0
2025-03-04,5,85.4992,147.175,-61.6759,-41.91,60.2056,87.6915,-25.3456,30.3106,0.0,6.7417,1.0688,0.0688,97.9654,0.125,0.125,0.0,0,10.1668,10.5228,86.4327,31.415,0.7576,1.6428,8,2
2025-03-04,6,100.0787,147.175,-47.0963,-32.0,76.1452,96.1109,-3.5747,37.5608,-26.475,57.5169,0.4,-0.6,95.8616,0.125,0.0,1.8295,32,11.1429,11.5218,96.3593,280.4579,2.1806,0.558,5,2
2025-03-04,7,86.0627,147.175,-61.1124,-41.52,65.7566,77.92,-0.2656,29.4633,0.0,27.8851,1.2917,0.2917,95.6103,0.125,0.0,0.0,0,9.0339,7.635,100.6944,48.4347,0.6411,2.0247,5,2
2025-03-04,8,260.5272,147.175,113.3521,77.02,77.0948,90.0026,185.4805,35.9817,22.2446,33.8244,0.6539,-0.3461,97.7293,0.0,0.125,0.1268,5,10.4347,10.8386,187.9968,71.0401,1.1849,1.3857,5,2
2025-03-04,9,29.2407,147.175,-117.9344,-80.13,77.3339,73.6265,55.6899,36.0027,83.0199,58.387,0.4,-0.6,97.3117,0.25,0.0,1.8351,33,8.5361,8.1724,125.9683,48.7191,2.0699,0.7689,9,0
2025-03-04,10,196.0217,147.175,48.8467,33.19,68.6058,80.6278,351.2477,36.4514,210.296,57.7123,0.4,-0.6,96.1872,0.214,0.0,0.733,19,9.3478,17.763,247.0516,30.3873,1.5441,1.1272,4,0
2025-03-04,11,110.1342,147.175,-37.0408,-25.17,77.0395,63.3979,31.1652,24.2109,0.0,37.2575,1.3775,0.3775,98.7001,0.25,0.25,0.0,0,7.3502,7.4861,139.6426,51.4406,0.4236,1.1276,5,3
2025-03-04,12,129.9694,147.175,-17.2056,-11.69,74.7906,109.1366,9.0382,39.1189,-33.9623,57.8393,0.4,-0.6,96.3989,0.0,0.0,2.353,35,12.6531,7.3256,100.6469,26.4477,2.4682,1.313,3,1
2025-03-04,13,3.5705,147.175,-143.6045,-97.57,75.539,90.7817,180.8083,39.1189,245.6501,58.7895,0.4,-0.6,97.9825,0.0,0.0,1.9335,33,10.525,8.9701,171.7525,52.2759,2.2264,1.2521,2,0
2025-03-04,14,51.9521,147.175,-95.2229,-64.7,74.8627,99.5943,-48.574,36.6118,-6.6188,43.9379,0.5526,-0.4474,98.2043,0.125,0.0,0.2007,7,11.5467,7.7864,83.9264,204.6711,1.2507,0.6756,5,0
2025-03-04,15,118.4305,147.175,-28.7445,-19.53,63.4335,83.3068,6.9413,32.0681,0.0,3.1831,1.0326,0.0326,97.5847,0.25,0.0,0.0,0,9.6584,7.6286,106.9683,19.6421,0.8898,1.1155,3,1
2025-03-04,16,161.2989,147.175,14.1239,9.6,75.1768,78.0452,49.6944,29.0808,0.0,12.5367,1.1306,0.1306,96.0194,0.25,0.125,0.0,0,9.0484,7.1039,135.5745,263.3435,0.7383,1.0777,8,3
2025-03-04,17,151.8612,147.175,4.6861,3.18,66.6739,123.3486,235.1444,37.5608,178.5224,57.2225,0.4,-0.6,95.3709,0.125,0.0,0.881,20,14.3008,9.8251,196.9388,42.1539,1.7047,1.9173,5,2
2025-03-04,18,204.4357,147.175,57.2607,38.91,74.0883,90.5138,-105.1433,36.0027,-239.5006,58.5209,0.4,-0.6,97.5348,0.25,0.125,2.5369,38,10.494,7.2774,58.9263,54.9231,2.4761,0.4593,6,1
2025-03-04,19,176.3907,147.175,29.2157,19.85,60.1032,69.9352,97.1678,30.9883,0.0,19.8271,1.2023,0.2023,97.9977,0.0,0.125,0.0,0,8.1081,6.8613,168.405,248.2761,0.7355,1.8544,3,1
