fecha,beneficio_previsto [€],ben_medio [€],ben_std [€],ben_P10 [€],ben_P50 [€],ben_P90 [€],VaR_95 [€],pct_negativo [%],desv_media [€],desv_media [%],penalizacion_soc_media [€],energia_recortada_media [MWh],soc_final_desv_media [MWh],soc_critico_medio,pujas_perdidas_media,fallos_tecnicos_media,n_sim_normal
2025-05-01,308.11,248.67,155.95,129.54,254.32,422.68,25.9,5.0,-59.43,-19.3,7.32,0.3186,-0.0431,6.7,4.9,1.9,200
2025-05-02,318.09,260.14,135.31,112.35,244.1,444.32,27.91,3.5,-57.95,-18.2,5.32,0.335,-0.0783,6.8,5.1,1.9,200
2025-05-03,312.07,230.45,186.77,120.58,233.25,407.56,-18.65,6.5,-81.62,-26.2,7.26,0.3687,-0.0405,8.0,4.6,1.9,200
2025-05-04,313.47,250.13,143.18,117.24,255.31,405.11,-0.54,5.5,-63.34,-20.2,5.48,0.3333,-0.0828,7.7,4.8,1.8,200
2025-05-05,313.19,242.97,144.68,123.84,238.35,408.7,53.5,2.5,-70.22,-22.4,5.03,0.2888,-0.0028,6.8,4.8,1.9,200
2025-05-06,318.68,245.38,134.99,133.0,249.3,408.96,39.43,4.0,-73.3,-23.0,5.03,0.3282,-0.0396,6.5,4.9,1.9,200
2025-05-07,320.12,265.88,148.07,162.27,256.64,414.6,115.91,2.0,-54.24,-16.9,6.39,0.3439,-0.1955,6.7,4.9,1.8,200
2025-05-08,321.13,258.46,153.68,165.54,252.69,398.35,138.46,1.5,-62.67,-19.5,5.04,0.2853,-0.1652,6.2,5.0,2.0,200
2025-05-09,317.31,256.22,124.68,145.07,244.86,393.73,116.51,2.0,-61.09,-19.3,5.53,0.2823,-0.1517,6.2,4.6,2.0,200
2025-05-10,313.44,250.15,151.72,129.94,256.63,404.17,63.55,3.0,-63.29,-20.2,4.56,0.28,-0.0226,6.5,4.8,2.0,200
2025-05-11,318.2,261.78,132.35,122.68,256.33,415.79,78.34,2.5,-56.41,-17.7,2.84,0.2951,-0.0775,6.9,4.8,1.9,200
2025-05-12,340.09,287.38,120.4,174.79,281.14,396.28,81.59,2.0,-52.71,-15.5,6.31,0.2678,-0.1772,6.3,5.0,1.8,200
2025-05-13,332.04,299.9,88.28,211.36,282.28,405.47,202.53,0.0,-32.14,-9.7,11.13,0.2089,-0.1415,4.3,4.6,2.0,200
2025-05-14,297.02,220.4,130.03,108.1,217.94,369.87,34.91,4.0,-76.62,-25.8,12.27,0.3732,-0.0127,8.0,4.7,1.9,200
2025-05-15,313.73,234.13,187.44,115.8,248.68,402.32,4.7,5.0,-79.6,-25.4,5.32,0.3358,0.0387,6.9,4.8,2.0,200
2025-05-16,318.44,241.81,151.24,124.79,244.16,410.81,4.71,5.0,-76.63,-24.1,3.35,0.2966,0.0555,6.6,4.7,2.0,200
2025-05-17,313.77,236.16,186.94,99.34,231.03,424.97,26.08,5.0,-77.61,-24.7,5.91,0.3425,-0.0042,7.2,5.0,2.1,200
2025-05-18,314.36,249.51,192.02,136.7,253.3,434.13,-8.02,5.5,-64.85,-20.6,4.83,0.3048,0.0382,6.0,4.9,2.0,200
2025-05-19,313.5,241.53,146.38,88.48,242.56,408.75,25.86,4.0,-71.97,-23.0,5.66,0.3992,-0.0745,8.4,4.8,1.8,200
2025-05-20,316.01,262.09,182.17,120.08,250.47,446.22,29.42,3.5,-53.92,-17.1,6.65,0.4445,-0.0806,8.3,4.7,1.8,200
2025-05-21,306.56,244.26,153.57,100.51,238.52,433.71,-5.7,5.5,-62.31,-20.3,8.63,0.3581,-0.007,7.4,4.7,2.0,200
2025-05-22,317.64,242.52,152.37,93.39,248.2,393.74,-7.84,6.0,-75.13,-23.7,1.92,0.3233,-0.0036,7.1,4.9,1.9,200
2025-05-23,316.97,233.01,243.97,81.89,250.97,432.32,-84.33,7.0,-83.96,-26.5,2.23,0.3779,-0.0198,7.8,4.8,1.8,200
2025-05-24,315.77,232.99,186.41,87.28,238.95,418.27,-11.88,6.0,-82.78,-26.2,4.51,0.3816,-0.0402,8.6,4.8,1.9,200
2025-05-25,314.24,233.07,187.96,70.02,230.03,403.45,-23.02,6.5,-81.17,-25.8,4.48,0.3371,-0.0294,7.8,4.8,1.7,200
2025-05-26,313.87,241.23,127.83,139.03,240.55,369.38,33.49,4.0,-72.63,-23.1,4.91,0.2795,-0.1321,6.0,4.7,2.1,200
2025-05-27,326.69,279.53,110.01,165.07,268.13,410.67,128.82,1.5,-47.16,-14.4,8.02,0.2854,-0.1939,6.6,4.8,1.8,200
2025-05-28,316.49,271.49,123.28,159.04,263.53,402.82,110.2,1.5,-45.01,-14.2,8.05,0.3152,-0.2027,6.4,4.6,1.8,200
2025-05-29,329.98,283.09,102.41,186.17,276.32,396.65,146.26,0.5,-46.89,-14.2,9.02,0.327,-0.1681,7.6,4.8,1.9,200
2025-05-30,316.45,298.27,109.25,205.39,275.59,414.39,171.67,0.0,-18.19,-5.7,11.89,0.2441,-0.1792,5.3,4.6,1.8,200
2025-05-31,288.57,242.8,128.18,151.68,234.98,376.98,79.19,2.5,-45.77,-15.9,12.85,0.3739,-0.1398,7.4,4.8,1.9,200
