fecha,beneficio_previsto [€],ben_medio [€],ben_std [€],ben_P10 [€],ben_P50 [€],ben_P90 [€],VaR_95 [€],pct_negativo [%],desv_media [€],desv_media [%],penalizacion_soc_media [€],energia_recortada_media [MWh],soc_final_desv_media [MWh],ben_extremo_medio [€],peor_escenario [€],CVaR_95 [€],soc_critico_medio,penalizacion_soc_ext [€],energia_recortada_ext [MWh],pujas_perdidas_media,fallos_tecnicos_media,n_sim_normal,n_sim_extremo
2025-06-01,304.88,299.67,37.61,254.25,297.91,346.94,237.58,0.0,-5.21,-1.7,5.51,0.0399,-0.117,270.96,154.17,156.67,8.1,10.72,0.4101,4.9,1.9,200,40
2025-06-02,318.18,307.23,25.89,272.64,308.07,339.75,264.24,0.0,-10.95,-3.4,6.03,0.0595,-0.1476,306.31,189.55,198.92,6.6,10.63,0.3367,5.1,1.9,200,40
2025-06-03,291.18,280.4,25.14,252.17,279.16,314.77,240.55,0.0,-10.78,-3.7,9.09,0.0678,-0.1496,263.53,159.53,168.57,5.4,15.11,0.214,4.6,1.9,200,40
2025-06-04,294.66,282.44,24.21,250.35,281.73,317.89,245.49,0.0,-12.22,-4.1,11.31,0.068,-0.1523,264.92,156.26,171.31,7.7,22.31,0.299,4.8,1.8,200,40
2025-06-05,315.33,305.37,24.84,272.22,304.21,337.34,266.36,0.0,-9.95,-3.2,10.05,0.0654,-0.1199,325.78,198.57,201.98,6.2,20.02,0.3196,4.8,1.9,200,40
2025-06-06,293.69,282.1,24.34,249.97,279.89,316.34,245.34,0.0,-11.59,-3.9,11.71,0.0819,-0.1187,305.01,195.41,202.33,6.3,25.86,0.303,4.9,1.9,200,40
2025-06-07,303.48,295.09,26.39,261.39,293.16,329.4,257.04,0.0,-8.39,-2.8,10.18,0.0693,-0.176,304.58,182.12,193.27,6.4,17.67,0.3137,4.9,1.8,200,40
2025-06-08,320.38,309.82,24.77,281.65,307.47,340.77,271.84,0.0,-10.56,-3.3,7.42,0.0605,-0.155,297.07,183.02,189.08,10.7,16.13,0.4601,5.0,2.0,200,40
2025-06-09,295.91,281.4,25.55,250.45,278.05,315.23,242.46,0.0,-14.51,-4.9,11.03,0.0704,-0.1246,275.99,178.71,186.22,3.5,17.24,0.1782,4.6,2.0,200,40
2025-06-10,139.59,123.48,26.03,92.59,124.22,154.67,81.66,0.0,-16.11,-11.5,18.89,0.0659,-0.1085,93.04,-20.99,-17.67,8.5,43.14,0.2924,4.8,2.0,200,40
2025-06-11,254.9,241.14,25.67,208.14,239.68,272.58,197.66,0.0,-13.77,-5.4,13.01,0.069,-0.1243,235.67,91.47,96.97,7.0,24.04,0.2772,4.8,1.9,200,40
2025-06-12,303.43,294.99,22.98,268.4,293.8,320.61,263.24,0.0,-8.45,-2.8,10.24,0.0685,-0.1272,285.14,161.83,176.17,7.1,22.15,0.4265,5.0,1.8,200,40
2025-06-13,279.82,265.71,24.77,236.71,261.69,298.32,231.99,0.0,-14.12,-5.0,11.37,0.0564,-0.0893,276.37,146.89,162.75,9.9,22.96,0.4394,4.6,2.0,200,40
2025-06-14,288.1,277.1,22.89,249.18,275.53,311.67,244.39,0.0,-10.99,-3.8,9.7,0.0683,-0.1292,273.61,160.25,170.03,7.9,21.39,0.4235,4.7,1.9,200,40
2025-06-15,315.33,305.15,27.33,270.01,303.71,338.33,266.12,0.0,-10.19,-3.2,4.06,0.0626,-0.1316,280.24,168.58,172.51,7.9,9.41,0.3117,4.8,2.0,200,40
2025-06-16,362.03,352.25,24.16,321.85,350.1,385.16,314.71,0.0,-9.78,-2.7,8.76,0.0448,-0.132,361.53,214.92,230.89,7.4,16.74,0.3919,4.7,2.0,200,40
2025-06-17,228.0,215.96,22.99,188.68,215.74,244.49,176.74,0.0,-12.04,-5.3,15.07,0.0871,-0.1059,211.72,86.74,93.82,10.0,34.82,0.4091,5.0,2.1,200,40
2025-06-18,197.38,186.75,23.4,158.96,188.41,214.37,151.14,0.0,-10.63,-5.4,14.75,0.0565,-0.1214,163.78,33.78,37.4,7.4,37.84,0.3103,4.9,2.0,200,40
2025-06-19,125.21,112.48,25.33,83.63,114.9,142.39,69.41,0.0,-12.73,-10.2,16.08,0.0907,-0.1201,106.89,3.26,7.02,7.1,30.52,0.2498,4.8,1.8,200,40
2025-06-20,120.45,107.52,28.85,71.8,109.36,141.95,58.15,0.0,-12.93,-10.7,17.43,0.0867,-0.1139,101.34,-27.33,-20.03,5.6,31.66,0.2175,4.7,1.8,200,40
2025-06-21,280.38,271.5,24.31,242.69,269.05,305.54,234.11,0.0,-8.87,-3.2,13.33,0.0718,-0.1119,272.75,143.15,153.87,6.2,27.32,0.2745,4.7,2.0,200,40
2025-06-22,297.14,288.29,22.79,262.31,288.19,316.89,255.93,0.0,-8.85,-3.0,11.23,0.0662,-0.1292,280.34,160.23,171.8,7.4,25.5,0.3341,4.9,1.9,200,40
2025-06-23,159.84,144.95,27.53,110.9,146.65,178.17,101.04,0.0,-14.89,-9.3,17.48,0.0692,-0.1443,132.89,-55.2,-25.23,10.7,41.39,0.5927,4.8,1.8,200,40
2025-06-24,228.04,216.34,28.06,176.15,218.33,251.55,166.1,0.0,-11.7,-5.1,15.91,0.0879,-0.1179,200.76,67.08,67.94,7.3,31.06,0.2483,4.8,1.9,200,40
2025-06-25,274.07,263.98,21.86,238.67,261.54,290.47,233.0,0.0,-10.09,-3.7,12.58,0.0816,-0.1091,269.0,128.37,138.94,10.0,29.97,0.3965,4.8,1.7,200,40
2025-06-26,205.21,188.67,24.31,159.51,187.75,218.32,152.11,0.0,-16.54,-8.1,14.82,0.0647,-0.1295,183.22,18.25,23.08,6.5,23.84,0.3113,4.7,2.1,200,40
2025-06-27,183.98,166.71,28.03,133.1,165.91,203.84,118.91,0.0,-17.27,-9.4,18.23,0.0596,-0.1385,158.5,-17.96,4.9,9.6,38.94,0.4186,4.8,1.8,200,40
