fecha,sim_id,tipo,beneficio_real [€],beneficio_previsto [€],desviacion [€],desviacion [%],ingreso_spot_real [€],ingreso_disp_real [€],ingreso_act_real [€],coste_deg_real [€],penalizacion_soc [€],soc_final [MWh],soc_final_desv [MWh],precio_medio_dia [€/MWh],energia_no_cargada [MWh],energia_no_operada [MWh],energia_recortada [MWh],intervalos_soc_critico,pi_disp_real [€/MWh],pi_act_up_real [€/MWh],pi_act_down_real [€/MWh],factor_act_up,factor_act_down,n_pujas_perdidas,n_fallos_tecnicos,extremo
2025-09-24,1,normal,486.0223,553.2868,-67.2645,-12.16,134.6116,198.4431,176.7202,18.1596,5.593,1.1157,0.1157,48.3471,0.0,0.0,0.0,0,10.5529,102.7815,45.1456,0.9056,0.9426,4,1,False
2025-09-24,2,normal,466.6247,553.2868,-86.6621,-15.66,128.7025,188.9739,182.7979,19.7639,14.0857,0.6957,-0.3043,46.2842,0.0,0.0,0.0208,1,10.0494,93.8771,44.7608,1.0922,1.1729,4,1,False
2025-09-24,3,normal,500.4553,553.2868,-52.8315,-9.55,132.3285,182.5854,216.5942,17.2425,13.8103,0.7054,-0.2946,46.8805,0.3656,0.25,0.0,0,9.7096,110.1295,55.7138,0.9667,1.1954,6,4,False
2025-09-24,4,normal,485.3325,553.2868,-67.9543,-12.28,131.7368,195.7737,199.3393,18.3608,23.1566,0.5019,-0.4981,46.4913,0.25,0.25,0.1542,3,10.411,99.1016,52.7357,1.0873,1.25,6,3,False
2025-09-24,5,normal,543.6859,553.2868,-9.6009,-1.74,124.7631,199.5778,237.6545,14.7502,3.5593,0.922,-0.078,45.6238,0.75,0.5,0.0,0,10.6133,124.7133,52.4263,0.7899,1.0651,8,3,False
2025-09-24,6,normal,596.2715,553.2868,42.9847,7.77,124.5062,176.3398,318.6255,17.8827,5.3173,1.1164,0.1164,45.665,0.25,0.0,0.026,1,9.3775,135.5936,47.2687,0.956,1.1374,6,3,False
2025-09-24,7,normal,571.4717,553.2868,18.1849,3.29,134.1631,196.4075,300.034,18.9353,40.1976,0.1618,-0.8382,47.9586,0.5,0.0,0.1513,2,10.4447,119.397,51.4252,1.1269,1.2001,6,0,False
2025-09-24,8,normal,559.7734,553.2868,6.4866,1.17,127.0779,181.2296,285.6435,17.5031,16.6744,0.6382,-0.3618,46.0933,0.5442,0.0,0.0,0,9.6375,123.2933,51.5607,1.0006,0.8335,5,3,False
2025-09-24,9,normal,502.1807,553.2868,-51.1061,-9.24,136.892,181.1998,215.5987,17.1795,14.3303,1.3023,0.3023,47.412,0.0,0.0,0.0,0,9.6359,120.7189,53.1333,0.783,1.191,1,2,False
2025-09-24,10,normal,407.585,553.2868,-145.7018,-26.33,118.9359,188.5425,132.9261,16.199,16.6205,1.3677,0.3677,45.2063,0.25,0.0,0.0,0,10.0264,95.3237,47.148,0.7394,0.9585,6,2,False
