fecha,sim_id,tipo,beneficio_real [€],beneficio_previsto [€],desviacion [€],desviacion [%],ingreso_spot_real [€],ingreso_disp_real [€],ingreso_act_real [€],coste_deg_real [€],penalizacion_soc [€],soc_final [MWh],soc_final_desv [MWh],precio_medio_dia [€/MWh],energia_no_cargada [MWh],energia_no_operada [MWh],energia_recortada [MWh],intervalos_soc_critico,pi_disp_up_real [€/MWh],pi_disp_down_real [€/MWh],pi_act_up_real [€/MWh],pi_act_down_real [€/MWh],factor_act_up,factor_act_down,n_pujas_perdidas,n_fallos_tecnicos,extremo
2025-09-29,1,normal,267.8234,258.8408,8.9826,3.47,101.1229,82.6782,135.1031,35.7693,15.3116,0.7442,-0.2558,59.8571,0.0,0.125,0.0982,3,9.5585,7.9511,129.4002,49.2549,1.1282,0.9854,7,2,False
2025-09-29,2,normal,230.8893,258.8408,-27.9514,-10.8,104.1461,83.8544,88.4236,33.8583,11.6765,0.8001,-0.1999,58.4242,0.0,0.25,0.149,5,9.6937,8.6829,109.0823,58.5615,1.0569,0.8081,6,2,False
2025-09-29,3,normal,225.9958,258.8408,-32.8449,-12.69,114.452,76.4569,75.8188,33.4348,7.2971,1.1216,0.1216,60.0115,0.0,0.0,0.0,0,8.8384,8.0636,108.1978,52.7791,0.8419,1.0379,5,1,False
2025-09-29,4,normal,250.5931,258.8408,-8.2476,-3.19,111.5134,75.1001,101.0104,32.0319,4.9989,1.0836,0.0836,59.7948,0.25,0.0,0.0,0,8.6806,8.7485,123.0921,49.4843,0.861,0.9985,5,1,False
2025-09-29,5,normal,250.0707,258.8408,-8.7701,-3.39,107.3829,74.4296,107.004,33.3912,5.3546,1.0896,0.0896,59.7938,0.0,0.0,0.0,0,8.6036,8.1924,127.2702,56.2263,0.8511,1.0082,2,2,False
2025-09-29,6,normal,302.932,258.8408,44.0913,17.03,97.3812,80.3336,179.6404,36.1165,18.3067,0.6878,-0.3122,58.6354,0.125,0.0,0.0,0,9.2861,8.8369,144.8555,44.342,1.0895,0.8548,8,0,False
2025-09-29,7,normal,207.7829,258.8408,-51.0578,-19.73,103.4379,80.3163,89.6197,37.1711,28.4199,0.5173,-0.4827,58.8724,0.0,0.125,0.2328,7,9.2842,8.8046,103.9829,61.4416,1.2819,0.6451,1,1,False
2025-09-29,8,normal,288.8709,258.8408,30.0302,11.6,106.1943,76.3037,160.7229,37.5042,16.8457,0.7168,-0.2832,59.4803,0.0,0.0,0.033,1,8.8199,8.7302,134.878,52.2745,1.1635,1.2087,3,1,False
2025-09-29,9,normal,266.6529,258.8408,7.8121,3.02,110.5201,80.1382,126.9749,34.4252,16.5551,0.7258,-0.2742,60.3685,0.2398,0.0,0.0,0,9.2644,8.0956,126.7237,57.0205,1.0521,1.0934,3,2,False
2025-09-29,10,normal,229.7992,258.8408,-29.0415,-11.22,99.5175,80.7914,81.7159,29.7655,2.4601,0.9585,-0.0415,59.3004,0.25,0.25,0.0,0,9.3393,8.7019,113.7589,48.0656,0.8274,1.1066,11,4,False
2025-09-29,11,normal,250.4354,258.8408,-8.4053,-3.25,110.1503,78.6677,127.6339,37.1826,28.8339,0.5173,-0.4827,59.73,0.125,0.0,0.2515,8,9.0927,9.3637,119.861,57.8794,1.2915,1.0504,5,0,False
2025-09-29,12,normal,216.0117,258.8408,-42.829,-16.55,97.3859,80.5186,71.4179,32.2919,1.0188,0.983,-0.017,59.8457,0.25,0.0,0.0,0,9.3084,8.0622,105.4446,52.9211,0.9213,0.8338,4,4,False
2025-09-29,13,normal,286.9444,258.8408,28.1036,10.86,102.5384,82.8796,140.1592,33.1975,5.4353,0.9084,-0.0916,59.3242,0.125,0.125,0.0,0,9.5809,8.705,136.8661,50.298,0.9623,1.2488,2,3,False
