fecha,beneficio_previsto [€],ben_medio [€],ben_std [€],ben_P10 [€],ben_P50 [€],ben_P90 [€],VaR_95 [€],pct_negativo [%],desv_media [€],desv_media [%],ben_extremo_medio [€],peor_escenario [€],CVaR_95 [€],soc_critico_medio,pujas_perdidas_media,fallos_tecnicos_media,n_sim_normal,n_sim_extremo
2025-10-01,454.56,453.72,43.9,399.72,453.55,513.88,385.53,0.0,-0.84,-0.2,508.52,225.68,240.39,12.8,4.8,2.0,200,40
2025-10-02,466.26,466.15,48.25,415.73,461.29,525.89,391.62,0.0,-0.11,-0.0,477.5,304.3,306.28,13.0,4.9,2.0,200,40
2025-10-03,307.97,309.94,54.65,243.66,307.29,374.98,234.14,0.0,1.97,0.6,360.53,102.86,111.34,11.9,4.6,1.9,200,40
2025-10-04,511.51,507.0,53.66,436.6,505.83,577.56,422.72,0.0,-4.51,-0.9,561.26,283.24,291.3,12.0,4.8,1.7,200,40
2025-10-05,609.42,597.81,73.31,513.92,589.78,688.73,499.68,0.0,-11.62,-1.9,667.08,348.77,361.88,10.8,5.0,2.0,200,40
2025-10-06,461.33,464.92,45.1,415.82,459.57,524.96,401.75,0.0,3.59,0.8,487.11,269.46,274.38,9.9,4.9,2.0,200,40
2025-10-07,330.56,332.71,42.85,274.95,332.72,391.83,263.87,0.0,2.16,0.7,339.93,107.97,108.99,6.5,4.5,1.9,200,40
2025-10-08,290.56,292.85,40.23,242.87,288.91,346.0,232.79,0.0,2.3,0.8,340.48,12.08,41.12,10.0,4.7,2.1,200,40
2025-10-09,487.52,485.66,51.39,427.28,481.36,555.73,409.22,0.0,-1.86,-0.4,573.31,187.86,236.01,9.6,4.6,1.9,200,40
2025-10-10,368.31,361.66,54.94,292.57,356.93,424.52,279.59,0.0,-6.66,-1.8,407.85,59.57,96.21,13.6,4.9,2.1,200,40
2025-10-11,413.58,410.47,50.31,352.23,407.6,472.55,341.38,0.0,-3.12,-0.8,431.61,170.83,221.93,11.5,4.6,1.8,200,40
2025-10-12,470.35,467.85,50.66,414.0,463.28,540.57,394.72,0.0,-2.49,-0.5,445.4,276.13,283.4,8.9,4.8,2.1,200,40
2025-10-13,250.02,248.96,44.95,193.83,240.85,304.28,181.5,0.0,-1.06,-0.4,247.26,18.94,21.03,9.2,4.8,2.1,200,40
2025-10-14,230.12,231.07,39.45,177.13,231.57,280.86,167.55,0.0,0.95,0.4,203.63,-52.4,-16.67,9.0,4.6,1.9,200,40
2025-10-15,230.6,232.82,37.72,185.11,231.51,286.66,172.83,0.0,2.22,1.0,231.37,10.82,31.26,6.3,4.9,1.9,200,40
2025-10-16,194.24,194.89,41.43,149.45,189.37,248.19,131.61,0.0,0.64,0.3,195.62,-53.52,-34.92,10.6,4.7,1.8,200,40
2025-10-17,261.75,262.85,40.28,211.49,262.07,313.0,201.91,0.0,1.11,0.4,241.89,-24.63,0.76,6.8,5.1,2.0,200,40
2025-10-18,410.62,412.08,54.27,350.36,404.53,481.88,335.39,0.0,1.45,0.4,428.02,169.66,181.76,10.8,4.7,2.0,200,40
2025-10-19,592.31,583.98,63.13,504.37,586.64,664.48,492.03,0.0,-8.33,-1.4,612.36,285.45,299.17,10.2,5.0,1.8,200,40
2025-10-20,598.71,601.77,57.76,539.11,597.87,680.81,523.21,0.0,3.06,0.5,655.74,336.26,351.47,11.2,4.7,2.1,200,40
2025-10-21,616.64,620.73,58.55,543.22,621.24,691.9,531.47,0.0,4.09,0.7,676.34,414.7,422.72,11.9,5.0,1.8,200,40
2025-10-22,613.87,609.07,68.45,524.08,603.22,702.59,508.07,0.0,-4.8,-0.8,729.98,412.04,417.67,15.3,4.8,2.0,200,40
2025-10-23,643.75,643.97,75.42,552.89,641.83,748.76,529.3,0.0,0.21,0.0,636.5,365.6,390.17,11.1,4.8,1.9,200,40
2025-10-24,406.66,407.42,36.19,360.32,406.78,453.86,351.54,0.0,0.76,0.2,451.18,236.73,246.47,7.3,4.9,2.1,200,40
2025-10-25,377.25,376.47,49.93,317.77,374.63,442.49,306.86,0.0,-0.77,-0.2,384.77,156.5,176.42,12.5,4.7,1.9,200,40
2025-10-27,399.47,404.2,42.72,346.53,401.78,461.92,337.73,0.0,4.73,1.2,415.8,167.9,177.79,12.7,4.9,2.0,200,40
2025-10-28,218.59,215.82,54.52,147.08,218.72,288.29,124.8,0.0,-2.77,-1.3,224.91,-145.72,-97.3,15.4,4.8,1.8,200,40
2025-10-29,202.15,206.04,45.31,152.58,202.44,264.53,141.11,0.0,3.89,1.9,233.43,8.16,20.34,8.6,4.7,1.8,200,40
2025-10-30,358.09,350.5,49.13,289.46,349.59,412.63,276.3,0.0,-7.59,-2.1,341.0,156.84,163.84,14.4,4.7,1.8,200,40
2025-10-31,477.02,478.23,63.39,403.76,472.99,565.09,389.46,0.0,1.2,0.3,485.85,116.16,147.04,11.4,4.7,1.9,200,40
