fecha,beneficio_previsto [€],ben_medio [€],ben_std [€],ben_P10 [€],ben_P50 [€],ben_P90 [€],P5 [€],pct_negativo [%],desv_media [€],desv_media [%],penalizacion_soc_media [€],energia_recortada_media [MWh],soc_final_desv_media [MWh],soc_critico_medio,pujas_perdidas_media,fallos_tecnicos_media,n_sim_normal
2026-01-01,168.57,131.55,110.19,33.58,118.06,285.31,8.62,4.5,-37.02,-22.0,32.0,0.3272,-0.1157,7.2,4.9,1.9,200
2026-01-02,157.01,129.66,104.67,5.18,108.89,258.66,-10.81,8.5,-27.36,-17.4,34.93,0.3206,-0.1252,6.2,5.1,1.9,200
2026-01-03,120.72,72.18,125.89,-31.5,63.0,220.89,-62.92,19.5,-48.54,-40.2,34.96,0.4436,0.0443,8.7,4.6,1.9,200
2026-01-04,180.75,146.12,105.52,36.77,130.1,277.94,6.64,4.0,-34.64,-19.2,26.79,0.3151,-0.1599,6.2,4.8,1.8,200
2026-01-05,125.47,95.31,108.56,-7.84,77.12,229.94,-37.05,13.0,-30.16,-24.0,37.29,0.2624,-0.1125,5.4,4.8,1.9,200
2026-01-06,279.91,236.67,98.01,139.53,217.95,356.91,112.18,1.0,-43.24,-15.4,21.61,0.3176,-0.0952,6.9,4.9,1.9,200
2026-01-07,102.67,75.62,108.79,-19.78,65.14,177.85,-39.03,19.0,-27.05,-26.3,34.51,0.4787,0.0239,9.0,4.9,1.8,200
2026-01-08,152.02,100.82,147.23,12.77,88.06,229.99,-8.25,7.5,-51.2,-33.7,30.93,0.3121,-0.1037,7.1,5.0,2.0,200
2026-01-09,277.77,219.05,118.77,109.56,207.35,336.34,84.52,1.5,-58.72,-21.1,19.33,0.3115,-0.0828,6.5,4.6,2.0,200
2026-01-10,217.09,179.69,112.2,77.02,170.58,317.11,63.79,2.5,-37.4,-17.2,25.06,0.2805,-0.1059,6.0,4.8,2.0,200
2026-01-11,165.08,126.31,100.13,29.43,98.2,259.99,14.88,2.5,-38.78,-23.5,30.92,0.2983,-0.1412,6.9,4.8,1.9,200
2026-01-12,146.66,126.46,104.52,31.96,104.86,219.1,12.17,4.5,-20.2,-13.8,31.21,0.3081,-0.0935,6.1,5.0,1.8,200
2026-01-13,127.84,99.78,94.45,5.14,82.92,217.66,-8.81,7.5,-28.06,-21.9,30.75,0.2575,-0.0837,4.5,4.6,2.0,200
2026-01-14,106.52,106.55,64.13,35.78,95.12,194.15,22.12,1.5,0.04,0.0,12.92,0.4391,0.0113,7.5,4.7,1.9,200
2026-01-15,96.13,64.93,120.34,-30.54,57.35,186.59,-55.3,24.0,-31.21,-32.5,41.14,0.3046,-0.0948,5.6,4.8,2.0,200
2026-01-16,67.27,65.06,78.5,-13.48,51.93,155.45,-46.21,16.5,-2.21,-3.3,31.92,0.3044,-0.047,5.6,4.7,2.0,200
2026-01-17,28.73,15.59,102.27,-70.46,-8.9,142.15,-96.04,55.0,-13.13,-45.7,40.41,0.3397,-0.0896,6.5,5.0,2.1,200
2026-01-18,87.11,76.46,69.25,-0.14,69.74,155.93,-14.38,10.5,-10.65,-12.2,20.37,0.2122,-0.1348,4.2,4.9,2.0,200
2026-01-19,105.43,116.79,50.14,56.09,117.27,180.91,44.22,1.5,11.36,10.8,12.95,0.4243,-0.0232,9.7,4.8,1.8,200
2026-01-20,103.26,90.04,109.56,-10.06,65.01,241.96,-27.27,15.0,-13.22,-12.8,36.55,0.4501,-0.1207,7.8,4.7,1.8,200
2026-01-21,147.9,113.08,121.08,6.14,86.22,281.84,-35.38,9.0,-34.82,-23.5,30.22,0.3756,-0.0546,7.0,4.7,2.0,200
2026-01-22,221.54,178.71,121.1,84.95,166.95,302.94,38.01,2.0,-42.83,-19.3,21.71,0.3724,0.0534,7.3,4.9,1.9,200
2026-01-23,313.71,277.42,167.16,159.92,267.79,432.74,123.86,2.0,-36.29,-11.6,12.46,0.3448,-0.1191,6.5,4.8,1.8,200
2026-01-24,305.22,237.58,167.77,81.04,238.0,412.47,19.33,3.5,-67.64,-22.2,8.37,0.3692,-0.1064,7.8,4.8,1.9,200
2026-01-25,317.06,238.09,177.65,97.37,242.51,390.25,-9.69,6.0,-78.97,-24.9,4.23,0.3423,-0.0986,8.4,4.8,1.7,200
2026-01-26,289.75,222.96,120.0,122.87,222.09,350.59,63.93,3.5,-66.79,-23.1,11.59,0.4022,0.1275,7.8,4.7,2.1,200
2026-01-27,310.54,288.01,92.94,196.19,270.5,422.06,176.57,0.5,-22.53,-7.3,6.13,0.3985,-0.0364,6.3,4.8,1.8,200
2026-01-28,322.24,266.62,104.38,153.6,262.52,375.51,132.27,0.5,-55.62,-17.3,5.66,0.3684,-0.0884,7.0,4.6,1.8,200
2026-01-29,284.59,189.31,170.11,3.71,196.79,368.24,-85.52,9.5,-95.29,-33.5,9.44,0.4399,0.0965,9.1,4.8,1.9,200
2026-01-30,317.59,263.48,169.64,113.58,260.33,433.04,41.8,4.5,-54.12,-17.0,4.94,0.2892,-0.0106,5.8,4.6,1.8,200
2026-01-31,319.86,244.74,214.15,105.26,241.18,435.88,-35.91,6.5,-75.12,-23.5,2.44,0.3871,-0.0564,6.6,4.8,1.9,200
