fecha,sim_id,tipo,beneficio_real [€],beneficio_previsto [€],desviacion [€],desviacion [%],ingreso_spot_real [€],ingreso_disp_real [€],ingreso_act_real [€],coste_deg_real [€],energia_no_cargada [MWh],energia_no_operada [MWh],intervalos_soc_critico,soc_final [MWh],soc_final_desv [MWh],pi_disp_real [€/MWh],pi_act_up_real [€/MWh],pi_act_down_real [€/MWh],factor_act_up,factor_act_down,n_pujas_perdidas,n_fallos_tecnicos,extremo
2026-02-04,1,normal,689.1257,650.4593,38.6664,5.94,76.5972,183.3154,449.7533,20.5402,0.25,0.0,13,0.4817,-0.5183,9.6582,103.716,48.7812,1.3268,0.8441,2,4,False
2026-02-04,2,normal,638.7865,650.4593,-11.6728,-1.79,77.2065,189.5356,388.6703,16.6259,0.5,0.5,8,0.7162,-0.2838,9.9859,115.3897,53.2988,0.9934,1.1657,5,5,False
2026-02-04,3,normal,651.8499,650.4593,1.3906,0.21,79.4939,184.1942,407.7072,19.5455,0.0321,0.1259,8,0.7099,-0.2901,9.7045,105.6048,62.5195,1.1416,0.9508,3,2,False
2026-02-04,4,normal,572.951,650.4593,-77.5083,-11.92,77.4873,188.5866,323.7276,16.8506,0.5,0.0,0,1.2153,0.2153,9.9359,106.8687,56.0609,0.8635,1.1107,2,0,False
2026-02-04,5,normal,650.6974,650.4593,0.2381,0.04,78.3479,171.9912,418.2701,17.9117,0.1156,0.0,0,0.9616,-0.0384,9.0615,127.7469,53.4218,0.9432,0.8575,7,2,False
2026-02-04,6,normal,606.8486,650.4593,-43.6108,-6.7,78.5587,196.6838,347.9345,16.3284,0.0,0.0,0,1.4631,0.4631,10.3625,137.0026,54.2273,0.7038,0.9182,4,1,False
2026-02-04,7,normal,756.8824,650.4593,106.423,16.36,75.861,198.5752,501.0327,18.5864,0.1259,0.0,0,0.9837,-0.0163,10.4621,139.3096,41.8901,1.0102,1.2205,7,2,False
2026-02-04,8,normal,784.0052,650.4593,133.5459,20.53,78.3693,198.8427,526.8748,20.0816,0.0,0.25,11,0.7162,-0.2838,10.4762,123.9989,72.0882,1.1992,1.1649,5,2,False
2026-02-04,9,normal,653.6547,650.4593,3.1953,0.49,78.7456,185.334,407.9682,18.3932,0.5321,0.0,10,0.7095,-0.2905,9.7645,110.5686,42.4366,1.0725,0.9367,12,0,False
2026-02-04,10,normal,599.8509,650.4593,-50.6084,-7.78,78.422,181.9844,356.5361,17.0916,0.1851,0.0,0,1.2513,0.2513,9.588,120.6487,46.1683,0.8363,0.8003,4,0,False
2026-02-04,11,normal,742.9829,650.4593,92.5236,14.22,80.8505,185.6042,497.1675,20.6393,0.25,0.0,15,0.7176,-0.2824,9.7788,114.4234,62.2439,1.3,1.2114,5,3,False
2026-02-04,12,normal,672.659,650.4593,22.1996,3.41,75.0243,199.9933,418.4557,20.8144,0.0,0.0,10,0.7175,-0.2825,10.5369,100.8107,46.4037,1.2079,1.2062,5,0,False
2026-02-04,13,normal,723.1181,650.4593,72.6588,11.17,78.4195,186.9321,477.8875,20.121,0.0,0.0,4,0.7181,-0.2819,9.8487,119.8249,47.7144,1.1251,1.2268,2,0,False
2026-02-04,14,normal,663.697,650.4593,13.2377,2.04,79.4854,187.034,416.8115,19.6339,0.75,0.0,15,0.2633,-0.7367,9.8541,99.0733,49.5271,1.2703,1.0677,4,1,False
2026-02-04,15,normal,736.2245,650.4593,85.7652,13.19,76.1903,208.1747,471.0819,19.2223,0.0,0.25,6,0.7154,-0.2846,10.9679,121.2999,59.4706,1.0827,1.1374,3,1,False
2026-02-04,16,normal,686.2989,650.4593,35.8395,5.51,76.2985,192.5434,435.1397,17.6827,1.0,0.25,22,0.716,-0.284,10.1444,108.8258,48.6495,1.1673,1.1586,8,3,False
2026-02-04,17,normal,611.1344,650.4593,-39.3249,-6.05,76.7919,202.1537,349.994,17.8052,0.0321,0.0,0,1.1397,0.1397,10.6507,112.9692,50.8102,0.9101,0.9489,6,2,False
2026-02-04,18,normal,599.6309,650.4593,-50.8284,-7.81,78.0019,190.9509,347.4231,16.7449,0.0,0.0,0,1.4263,0.4263,10.0605,128.74,58.428,0.7573,0.8454,7,1,False
2026-02-04,19,normal,726.7074,650.4593,76.2481,11.72,80.4047,198.5317,468.0413,20.2703,0.0,0.0,6,0.7178,-0.2822,10.4599,116.9361,45.3771,1.1758,1.2185,2,2,False
2026-02-04,20,normal,545.4706,650.4593,-104.9887,-16.14,76.7418,189.4284,297.6428,18.3424,0.0,0.0,0,1.1622,0.1622,9.9802,94.7212,55.1623,0.9406,1.2458,0,2,False
2026-02-04,21,normal,611.0181,650.4593,-39.4412,-6.06,81.3829,183.2242,364.0548,17.6438,0.5,0.0,0,0.7593,-0.2407,9.6534,109.3987,56.5034,0.9588,1.0757,6,0,False
2026-02-04,22,normal,649.0844,650.4593,-1.3749,-0.21,79.1153,173.5356,414.903,18.4695,0.1851,0.25,3,0.4849,-0.5151,9.1429,114.0731,43.4767,1.0804,0.9518,5,3,False
2026-02-04,23,normal,482.9456,650.4593,-167.5137,-25.75,79.468,182.6295,235.7907,14.9426,0.25,0.0,0,1.6357,0.6357,9.622,113.1575,56.1456,0.5972,1.0928,1,2,False
2026-02-04,24,normal,749.6663,650.4593,99.2069,15.25,76.1864,184.0217,507.8879,18.4297,0.5,0.0,8,0.7089,-0.2911,9.6954,133.0903,43.1165,1.0745,0.9163,5,1,False
2026-02-04,25,normal,599.2449,650.4593,-51.2144,-7.87,79.8016,191.2681,344.7833,16.6081,0.0321,0.0,0,1.4192,0.4192,10.0772,129.9907,50.3589,0.7359,1.1443,3,0,False
2026-02-04,26,normal,706.8047,650.4593,56.3454,8.66,76.8473,181.4111,467.4551,18.9088,0.0,0.25,4,0.7159,-0.2841,9.5578,124.1802,48.8957,1.0903,1.1534,1,4,False
2026-02-04,27,normal,583.4255,650.4593,-67.0338,-10.31,77.794,176.921,346.0099,17.2995,0.0,0.25,0,1.2876,0.2876,9.3213,113.2292,54.1747,0.9359,1.1021,2,7,False
2026-02-04,28,normal,542.5443,650.4593,-107.915,-16.59,74.1701,186.5256,298.942,17.0935,0.0,0.25,0,1.2466,0.2466,9.8273,102.4925,47.1385,0.8419,0.9406,2,1,False
2026-02-04,29,normal,602.0929,650.4593,-48.3664,-7.44,76.9234,195.735,345.9897,16.5551,0.6019,0.0,0,0.8757,-0.1243,10.3125,114.6376,50.14,0.8587,1.4433,6,1,False
2026-02-04,30,normal,614.0172,650.4593,-36.4421,-5.6,76.2401,188.3511,367.1493,17.7233,0.25,0.0,0,1.1333,0.1333,9.9235,113.8697,50.1263,0.9146,0.9706,7,0,False
2026-02-04,31,normal,535.4863,650.4593,-114.973,-17.68,79.4508,201.2255,270.8412,16.0313,0.25,0.5,0,1.1992,0.1992,10.6018,96.856,50.1053,0.8456,1.1825,4,4,False
2026-02-04,32,normal,655.6869,650.4593,5.2276,0.8,78.616,190.252,406.3244,19.5054,0.25,0.0,6,0.7188,-0.2812,10.0236,105.5505,50.9486,1.142,1.2506,5,2,False
2026-02-04,33,normal,538.6073,650.4593,-111.852,-17.2,77.8567,197.9925,279.4894,16.7314,0.1019,0.0,0,1.2471,0.2471,10.4314,105.2221,52.1327,0.7655,1.0808,5,0,False
2026-02-04,34,normal,574.0324,650.4593,-76.4269,-11.75,76.7397,189.552,323.8795,16.1388,0.25,0.25,0,1.1193,0.1193,9.9867,116.6187,46.3026,0.7821,1.0628,5,1,False
2026-02-04,35,normal,653.8574,650.4593,3.398,0.52,79.5173,179.3921,412.1314,17.1835,0.3942,0.0,0,1.0685,0.0685,9.4515,129.1672,48.3205,0.9373,0.7988,3,3,False
2026-02-04,36,normal,689.8351,650.4593,39.3758,6.05,78.485,189.3551,440.8615,18.8665,0.0,0.25,1,0.7194,-0.2806,9.9764,119.1999,57.3575,1.0484,1.2714,1,2,False
2026-02-04,37,normal,575.0787,650.4593,-75.3806,-11.59,75.8111,192.1047,323.4022,16.2392,0.5,0.0,0,1.2919,0.2919,10.1212,114.281,50.0077,0.8126,0.9173,6,1,False
