beneficio_real [€],beneficio_previsto [€],desviacion [€],desviacion [%],ingreso_spot_real [€],ingreso_disp_real [€],ingreso_act_real [€],coste_deg_real [€],penalizacion_soc [€],soc_final [MWh],soc_final_desv [MWh],precio_medio_dia [€/MWh],energia_no_cargada [MWh],energia_no_operada [MWh],energia_recortada [MWh],intervalos_soc_critico,pi_disp_real [€/MWh],pi_act_up_real [€/MWh],pi_act_down_real [€/MWh],factor_act_up,factor_act_down,n_pujas_perdidas,n_fallos_tecnicos,extremo,sim_id
7.2207,37.7885,-30.5678,-80.89,-64.4434,127.8008,-23.2113,14.4282,18.4972,0.8735,-0.1265,146.1727,0.25,0.2182,0.0,0,9.7272,140.8651,39.5917,0.969,0.5868,13,6,True,1
-210.5742,37.7885,-248.3627,-657.24,-167.4502,149.269,-66.398,11.503,114.4922,0.14,-0.86,133.1304,1.4433,0.2471,4.1559,33,11.3613,90.0887,54.565,2.3694,1.1545,18,8,True,2
-50.4751,37.7885,-88.2636,-233.57,-125.752,145.9007,32.3269,14.5282,88.4224,0.3506,-0.6494,136.1552,0.5,0.25,1.6427,19,11.1049,148.5986,59.288,1.7082,1.038,15,11,True,3
2.1458,37.7885,-35.6427,-94.32,-27.3018,132.3004,-59.2816,8.9253,34.6458,1.2583,0.2583,134.1084,1.2251,0.5,0.0,0,10.0697,87.3997,80.6921,0.4187,1.6241,18,5,True,4
-23.3263,37.7885,-61.1148,-161.73,-114.3878,141.6846,63.2178,9.5818,104.2592,1.7907,0.7907,131.8635,0.5,0.9971,0.0,0,10.784,172.1343,55.4083,0.471,1.2757,11,8,True,5
244.7772,37.7885,206.9887,547.76,1.0161,143.6068,185.6159,11.753,73.7086,0.4538,-0.5462,134.9501,0.9653,0.5,0.0,0,10.9303,218.6919,53.3943,0.7905,1.3158,14,5,True,6
67.4836,37.7885,29.6951,78.58,19.8563,138.7798,-74.58,12.2903,4.2823,1.0329,0.0329,130.3073,0.5,0.4682,0.0,0,10.5629,97.0921,51.31,0.7153,0.9685,16,3,True,7
-97.4508,37.7885,-135.2393,-357.88,-4.232,145.0619,-109.5272,14.1172,114.6363,0.14,-0.86,133.298,0.4682,0.5,3.2487,27,11.041,107.7057,57.8877,2.2488,1.7527,9,9,True,8
-55.3578,37.7885,-93.1463,-246.49,-109.1611,155.5135,-50.957,10.5895,40.1636,1.2924,0.2924,137.3655,0.75,0.0,0.0,0,11.8365,94.0013,64.907,0.4012,1.0937,11,6,True,9
6.2844,37.7885,-31.5041,-83.37,-60.6242,163.3733,-25.4504,12.3154,58.6989,0.5744,-0.4256,137.9074,0.5,0.75,0.0,0,12.4348,122.016,78.2278,0.8283,0.756,19,5,True,10
-96.5899,37.7885,-134.3784,-355.61,-80.6482,106.7347,-35.2744,13.5072,73.8949,0.4652,-0.5348,138.1609,0.9751,0.0,0.0,0,8.1239,126.2785,80.2263,0.9746,1.0306,14,5,True,11
-47.65,37.7885,-85.4385,-226.1,6.8162,142.4873,-169.8226,13.5429,13.5879,0.898,-0.102,133.1602,0.5,0.25,0.0,0,10.8451,63.9809,46.357,0.9021,1.8164,12,8,True,12
177.9693,37.7885,140.1808,370.96,-8.9814,107.4982,109.7333,13.7203,16.5606,0.8744,-0.1256,131.8923,0.6933,0.0,0.0,0,8.182,167.1871,52.7541,0.8894,0.4838,15,4,True,13
-99.9267,37.7885,-137.7152,-364.44,-18.0348,161.3869,-137.8973,13.6893,91.6923,0.364,-0.636,144.1593,0.75,0.2251,0.4217,7,12.2836,91.1841,29.0836,1.1847,1.342,11,8,True,14
-181.9918,37.7885,-219.7803,-581.61,-57.1476,136.5726,-148.1485,13.8293,99.439,0.242,-0.758,131.1839,0.9971,0.0,1.3246,19,10.3949,72.0327,51.2906,1.4142,0.5574,19,2,True,15
-22.2756,37.7885,-60.0641,-158.95,-56.837,114.7531,-62.6309,13.9382,3.6227,0.9725,-0.0275,131.6168,0.25,0.25,0.0,0,8.7342,101.5874,88.7148,0.866,0.4551,12,5,True,16
111.7226,37.7885,73.934,195.65,-74.499,121.1691,94.7126,11.8537,17.8064,1.1364,0.1364,130.5178,0.75,0.25,0.0,0,9.2225,167.1093,30.026,0.693,0.595,16,6,True,17
235.977,37.7885,198.1885,524.47,14.5105,117.9551,150.3344,11.9744,34.8486,0.7638,-0.2362,147.5562,1.0,0.25,0.0,0,8.9779,207.5975,61.1131,0.771,1.272,15,4,True,18
-143.6415,37.7885,-181.43,-480.12,-69.7126,128.9999,-79.2451,15.0072,108.6764,0.1542,-0.8458,128.4914,0.7153,0.0,0.5035,8,9.8185,107.3805,69.1617,1.3137,0.9438,12,5,True,19
34.3175,37.7885,-3.471,-9.19,-21.9995,123.8882,-44.9922,13.2392,9.3398,1.0667,0.0667,139.9607,0.25,0.5,0.0,0,9.4294,117.0291,77.6322,0.8669,1.3187,11,7,True,20
-225.7467,37.7885,-263.5352,-697.4,-149.5855,163.3693,-107.4314,15.8123,116.2869,0.14,-0.86,135.2173,0.0,0.75,5.4786,33,12.4345,107.6656,51.7936,3.0865,1.981,8,7,True,21
-61.6574,37.7885,-99.4459,-263.16,-28.7274,112.2997,-24.1357,14.7972,106.2967,0.2011,-0.7989,133.0611,0.75,0.0,0.9913,13,8.5474,125.6247,52.5168,1.4671,1.2454,13,4,True,22
171.2075,37.7885,133.419,353.07,-36.4794,137.3141,166.247,15.4868,80.3875,0.3709,-0.6291,127.7903,0.4751,-0.0,0.7263,11,10.4513,179.7146,34.975,1.3996,1.1818,12,4,True,23
115.7831,37.7885,77.9946,206.4,57.4312,117.9809,-40.2278,10.952,8.4492,1.0602,0.0602,140.3068,0.5,0.7182,0.0,0,8.9798,111.5204,43.2627,0.5995,0.8486,18,7,True,24
-166.209,37.7885,-203.9975,-539.84,-9.3908,162.8025,-202.6184,14.7048,102.2975,0.2525,-0.7475,136.8497,0.5,0.25,0.1363,3,12.3913,76.3437,71.7644,1.1296,1.3838,22,7,True,25
-124.475,37.7885,-162.2635,-429.4,40.1724,148.1924,-185.0427,11.3774,116.4197,0.14,-0.86,135.3718,1.0,0.7251,1.0053,11,11.2793,76.6575,44.7996,1.1914,1.4572,19,7,True,26
295.892,37.7885,258.1035,683.02,51.4502,149.8283,116.0058,14.3621,7.0302,0.9457,-0.0543,129.3817,0.25,0.25,0.0,0,11.4038,175.9463,49.835,0.9781,1.4495,13,7,True,27
-4.0839,37.7885,-41.8724,-110.81,-89.2158,150.7353,14.64,14.2524,65.991,0.5038,-0.4962,132.9913,0.75,0.0,0.6323,13,11.4729,134.7393,49.9389,1.1746,1.2012,19,1,True,28
-64.5341,37.7885,-102.3226,-270.78,20.4911,126.4974,-136.009,9.2674,66.2462,1.4706,0.4706,140.7569,1.4682,0.25,0.0,0,9.628,51.032,46.9695,0.4934,1.5408,16,6,True,29
-14.9973,37.7885,-52.7858,-139.69,-6.7961,140.5749,-22.4759,11.4022,114.8979,0.14,-0.86,133.6022,1.25,0.4682,1.0065,13,10.6995,127.4063,48.6355,1.2985,0.9021,21,13,True,30
