beneficio_real [€],beneficio_previsto [€],desviacion [€],desviacion [%],ingreso_spot_real [€],ingreso_disp_real [€],ingreso_act_real [€],coste_deg_real [€],penalizacion_soc [€],soc_final [MWh],soc_final_desv [MWh],precio_medio_dia [€/MWh],energia_no_cargada [MWh],energia_no_operada [MWh],energia_recortada [MWh],intervalos_soc_critico,pi_disp_real [€/MWh],pi_act_up_real [€/MWh],pi_act_down_real [€/MWh],factor_act_up,factor_act_down,n_pujas_perdidas,n_fallos_tecnicos,extremo,sim_id
5.5104,37.7885,-32.2781,-85.42,-33.8819,122.9763,-60.5026,14.427,8.6544,1.068,0.068,127.2687,0.25,0.0,0.0,0,9.36,103.4514,52.7991,0.847,0.8744,5,2,False,1
35.6883,37.7885,-2.1002,-5.56,-26.5863,132.0949,7.415,14.2327,63.0027,0.5148,-0.4852,129.8401,0.5,0.25,0.4075,7,10.0541,130.2925,43.2195,1.0973,0.9504,6,2,False,2
-82.7251,37.7885,-120.5136,-318.92,-40.5329,130.8494,-93.2008,16.1876,63.6532,0.4982,-0.5018,126.8383,0.2182,-0.0,0.0082,2,9.9593,96.3764,43.1616,1.2062,1.1,9,5,False,3
-25.9778,37.7885,-63.7663,-168.75,-34.7251,134.5591,-67.9641,15.7693,42.0783,0.6666,-0.3334,126.2253,0.25,0.0,0.0,0,10.2416,101.7566,47.2431,1.0678,0.8301,4,2,False,4
24.2893,37.7885,-13.4992,-35.72,-55.3894,142.923,-41.5126,15.3757,6.356,1.0501,0.0501,126.7852,0.0,0.0,0.0,0,10.8782,108.3893,56.3175,0.8872,1.0663,6,0,False,5
62.728,37.7885,24.9395,66.0,-67.8768,123.9509,48.3442,15.5404,26.1499,0.7938,-0.2062,126.8117,0.25,0.0,0.0854,2,9.4342,139.7286,46.089,1.0221,0.9974,3,0,False,6
17.3818,37.7885,-20.4067,-54.0,-58.8722,135.6875,-42.0732,12.5234,4.837,0.9616,-0.0384,125.9791,0.75,0.25,0.0,0,10.3275,104.6752,54.2659,0.7496,1.1845,8,2,False,7
-5.4869,37.7885,-43.2754,-114.52,-43.2317,129.6925,-27.0328,16.7553,48.1595,0.6216,-0.3784,127.2801,0.0,0.0,0.25,7,9.8712,115.0189,51.2785,1.2138,1.3057,1,1,False,8
-3.1159,37.7885,-40.9044,-108.25,-59.6257,133.3082,-57.5431,16.1179,3.1373,0.9756,-0.0244,128.6823,0.0,0.0,0.0,0,10.1464,110.3181,40.0167,1.038,1.1633,4,2,False,9
-84.218,37.7885,-122.0065,-322.87,-46.4549,130.969,-51.8807,14.8035,102.0479,0.1976,-0.8024,127.1821,0.75,0.25,0.3313,8,9.9684,110.1954,58.3484,1.2485,0.9839,5,3,False,10
44.9311,37.7885,7.1426,18.9,-49.4318,130.1055,-16.1433,13.1345,6.4647,0.9497,-0.0503,128.5638,0.25,0.4682,0.0,0,9.9027,117.3024,44.4507,0.772,0.8279,4,3,False,11
-13.3784,37.7885,-51.1669,-135.4,-41.2586,138.6842,-38.7881,14.1779,57.838,0.5452,-0.4548,127.1674,0.25,0.5,0.2189,4,10.5556,110.6312,49.8376,1.0465,1.0189,7,5,False,12
-109.4151,37.7885,-147.2036,-389.55,-49.1559,135.2584,-69.2809,14.9073,111.3294,0.14,-0.86,129.4527,0.5,0.25,0.137,3,10.2949,105.2346,54.5049,1.098,1.0536,3,1,False,13
-8.1738,37.7885,-45.9623,-121.63,-48.5233,137.2007,-55.8156,15.5274,25.5083,0.801,-0.199,128.189,0.25,0.0,0.0,0,10.4427,105.3974,53.8191,0.9924,1.2168,2,0,False,14
8.0692,37.7885,-29.7193,-78.65,-36.9776,124.9195,-24.1487,15.7344,39.9895,0.686,-0.314,127.3707,0.25,0.0,0.5025,9,9.5079,117.8437,49.9942,1.2351,1.2025,6,4,False,15
-39.1609,37.7885,-76.9494,-203.63,-50.3413,126.8928,-62.981,15.6953,37.0361,0.7077,-0.2923,126.7262,0.25,0.0,0.2603,5,9.6581,103.3827,54.5584,1.125,0.8535,5,1,False,16
62.5939,37.7885,24.8054,65.64,-47.8349,133.1591,1.1636,15.8972,7.9967,1.0633,0.0633,126.3549,0.0,0.0,0.0,0,10.1351,122.8985,53.7343,1.0038,1.0848,2,2,False,17
-44.8443,37.7885,-82.6328,-218.67,-60.5566,134.2313,6.261,15.0222,109.7577,0.14,-0.86,127.6253,0.7182,0.0,0.0028,1,10.2167,127.3036,49.0182,1.0746,0.8179,9,2,False,18
